name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Dry;Cráneo, BEJO;El Tobogán;2023-05-11;134200;;['acid house'];Cráneo & Bejo - Dry (Lyric Video);https://www.youtube.com/watch?v=ajvBmp9yatQ&pp=ygURRHJ5IENyw6FuZW8sIEJFSk8%3D;True
Derrapando;Cráneo, BEJO;El Tobogán;2023-05-11;175573;;['acid house'];Cráneo & Bejo - Derrapando (Lyric Video);https://www.youtube.com/watch?v=NtX8FEqc8sA&pp=ygUYRGVycmFwYW5kbyBDcsOhbmVvLCBCRUpP;True
Nada;Cráneo, BEJO;El Tobogán;2023-05-11;224000;;['acid house'];Cráneo & Bejo - Nada (Lyric Video);https://www.youtube.com/watch?v=lG0VNNvBkns&pp=ygUSTmFkYSBDcsOhbmVvLCBCRUpP0gcJCb0Ag7Wk3p_U;False
Give me the Kush;Cráneo, BEJO;El Tobogán;2023-05-11;155733;;['acid house'];BEJO, CRÁNEO - GIVE ME THE KUSH;https://www.youtube.com/watch?v=qdCLgzZGChQ&pp=ygUeR2l2ZSBtZSB0aGUgS3VzaCBDcsOhbmVvLCBCRUpP;False
Truman;Cráneo, BEJO;El Tobogán;2023-05-11;164813;;['acid house'];Cráneo & Bejo - Truman (Lyric Video);https://www.youtube.com/watch?v=RLPrv45ISsk&pp=ygUUVHJ1bWFuIENyw6FuZW8sIEJFSk8%3D;False
Tráelo;Cráneo, BEJO;El Tobogán;2023-05-11;197026;;['acid house'];Cráneo & Bejo - Tráelo (Lyric Video);https://www.youtube.com/watch?v=a5y0ku66dnk&pp=ygUVVHLDoWVsbyBDcsOhbmVvLCBCRUpP;False
Un Clavo;Cráneo, BEJO;El Tobogán;2023-05-11;168133;;['acid house'];Cráneo & Bejo - Un clavo (Lyric Video);https://www.youtube.com/watch?v=rlNW3KDbrmw&pp=ygUWVW4gQ2xhdm8gQ3LDoW5lbywgQkVKT9IHCQm9AIO1pN6f1A%3D%3D;False
Atmósfera;Cráneo, BEJO;El Tobogán;2023-05-11;229333;;['acid house'];Cráneo & Bejo - Atmósfera;https://www.youtube.com/watch?v=f9OxiY5dyq8&pp=ygUYQXRtw7NzZmVyYSBDcsOhbmVvLCBCRUpP;False
Resaca;Cráneo, BEJO;El Tobogán;2023-05-11;169813;;['acid house'];Cráneo & Bejo - Resaca (Lyric Video);https://www.youtube.com/watch?v=n2RYnGMImws&pp=ygUUUmVzYWNhIENyw6FuZW8sIEJFSk8%3D;False
El Tobogán;Cráneo, BEJO;El Tobogán;2023-05-11;174000;;['acid house'];Cráneo & Bejo - El Tobogán [TRABAJO COMPLETO] (Lyric video);https://www.youtube.com/watch?v=Bjv61y6gH20&pp=ygUZRWwgVG9ib2fDoW4gQ3LDoW5lbywgQkVKTw%3D%3D;False
