name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Borracho en el Salón;Rels B;Inéditos;2017-03-09;151569;;['urbano latino', 'trap latino'];Rels B - Borracho en el Salón ( LETRA );https://www.youtube.com/watch?v=7Rbwv8ytd8w&pp=ygUcQm9ycmFjaG8gZW4gZWwgU2Fsw7NuIFJlbHMgQg%3D%3D;False
Don't Tell My Mama;Rels B;Inéditos;2017-03-09;132989;;['urbano latino', 'trap latino'];;;False
Palm Tree;Rels B;Inéditos;2017-03-09;169325;;['urbano latino', 'trap latino'];;;False
Hood Girl;Rels B;Inéditos;2017-03-09;198008;;['urbano latino', 'trap latino'];;;False
Mr. Internacional;Rels B;Inéditos;2017-03-09;162037;;['urbano latino', 'trap latino'];"Ep 243 ""ME REHUSO A PASAR PENA EN CASA AJENA""| Historias de papás de mis amigos";https://www.youtube.com/watch?v=GqKLqRlCwaw&pp=ygUYTXIuIEludGVybmFjaW9uYWwgUmVscyBC0gcJCcEJAYcqIYzv;False
Skinnyflakkkkkkk;Rels B;Inéditos;2017-03-09;159373;;['urbano latino', 'trap latino'];;;False
Tienes el Don;Rels B;Inéditos;2017-03-09;241972;;['urbano latino', 'trap latino'];;;False
Really On;Rels B;Inéditos;2017-03-09;215484;;['urbano latino', 'trap latino'];;;False
Low Cost;Rels B;Inéditos;2017-03-09;163343;;['urbano latino', 'trap latino'];;;False
Mama & Prometida;Rels B;Boys Don't Cry;2016-09-25;272000;;['urbano latino', 'trap latino'];;;False
Re-Member;Rels B;Boys Don't Cry;2016-09-25;186279;;['urbano latino', 'trap latino'];Rels B - Re·Member, Itchy, buco & Miss D / En Vivo SLP, Tour 2017/2018;https://www.youtube.com/watch?v=ItA7bX-NeKM&pp=ygUQUmUtTWVtYmVyIFJlbHMgQg%3D%3D;False
Fiesta en Keli;Rels B;Boys Don't Cry;2016-09-25;134719;;['urbano latino', 'trap latino'];Rels B - Re·Member, Itchy, buco & Miss D / En Vivo SLP, Tour 2017/2018;https://www.youtube.com/watch?v=ItA7bX-NeKM&pp=ygUQUmUtTWVtYmVyIFJlbHMgQg%3D%3D;False
Skit - After Party;Rels B;Boys Don't Cry;2016-09-25;35437;;['urbano latino', 'trap latino'];Rels B - Re·Member, Itchy, buco & Miss D / En Vivo SLP, Tour 2017/2018;https://www.youtube.com/watch?v=ItA7bX-NeKM&pp=ygUQUmUtTWVtYmVyIFJlbHMgQg%3D%3D;False
Vamos a Mirarnos;Rels B;Boys Don't Cry;2016-09-25;243290;;['urbano latino', 'trap latino'];Rels B - Re·Member, Itchy, buco & Miss D / En Vivo SLP, Tour 2017/2018;https://www.youtube.com/watch?v=ItA7bX-NeKM&pp=ygUQUmUtTWVtYmVyIFJlbHMgQg%3D%3D;False
Al Carajo;Rels B, DJ Naked;Boys Don't Cry;2016-09-25;146990;;['urbano latino', 'trap latino'];Rels B en Montevideo - Al Carajo (Live);https://www.youtube.com/watch?v=osus8mbyjqE&pp=ygUaQWwgQ2FyYWpvIFJlbHMgQiwgREogTmFrZWQ%3D;False
