name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
A Chitón;Ska-P;Game Over;2018-10-05;248720;;['mexican ska', 'ska punk', 'ska'];A Chitón;https://www.youtube.com/watch?v=sHhVv8093qY&list=RDsHhVv8093qY&start_radio=1&pp=ygUPQSBDaGl0w7NuIFNrYS1QoAcB;True
Eurotrama;Ska-P;Game Over;2018-10-05;155840;;['mexican ska', 'ska punk', 'ska'];Eurotrama;https://www.youtube.com/watch?v=gRGlELJHkS8&list=RDgRGlELJHkS8&start_radio=1&pp=ygUPRXVyb3RyYW1hIFNrYS1QoAcB0gcJCccJAYcqIYzv;True
No Lo Volveré a Hacer Más;Ska-P;Game Over;2018-10-05;263933;;['mexican ska', 'ska punk', 'ska'];No Lo Volveré a Hacer Más;https://www.youtube.com/watch?v=wjjIlS5XVHk&list=RDwjjIlS5XVHk&start_radio=1&pp=ygUhTm8gTG8gVm9sdmVyw6kgYSBIYWNlciBNw6FzIFNrYS1QoAcB;True
The Lobby Man;Ska-P;Game Over;2018-10-05;239520;;['mexican ska', 'ska punk', 'ska'];The Lobby Man;https://www.youtube.com/watch?v=Ipb8TmANqfk&list=RDIpb8TmANqfk&start_radio=1&pp=ygUTVGhlIExvYmJ5IE1hbiBTa2EtUKAHAQ%3D%3D;True
Colores;Ska-P;Game Over;2018-10-05;221200;;['mexican ska', 'ska punk', 'ska'];Colores;https://www.youtube.com/watch?v=Sg5Wp-y84eU&list=RDSg5Wp-y84eU&start_radio=1&pp=ygUNQ29sb3JlcyBTa2EtUKAHAQ%3D%3D;True
La Fábrica;Ska-P;Game Over;2018-10-05;277866;;['mexican ska', 'ska punk', 'ska'];La Fábrica;https://www.youtube.com/watch?v=X5rKdmJO5mA&list=RDX5rKdmJO5mA&start_radio=1&pp=ygURTGEgRsOhYnJpY2EgU2thLVCgBwE%3D;True
Patriotadas;Ska-P;Game Over;2018-10-05;237240;;['mexican ska', 'ska punk', 'ska'];Patriotadas;https://www.youtube.com/watch?v=zI7mnEiOUa8&list=RDzI7mnEiOUa8&start_radio=1&pp=ygURUGF0cmlvdGFkYXMgU2thLVCgBwE%3D;True
Cruz, Oro y Sangre;Ska-P;Game Over;2018-10-05;226706;;['mexican ska', 'ska punk', 'ska'];Cruz, Oro y Sangre;https://www.youtube.com/watch?v=k82sP_ZzahY&list=RDk82sP_ZzahY&start_radio=1&pp=ygUYQ3J1eiwgT3JvIHkgU2FuZ3JlIFNrYS1QoAcB;True
Adoctrinad@s;Ska-P;Game Over;2018-10-05;206173;;['mexican ska', 'ska punk', 'ska'];Adoctrinad@s;https://www.youtube.com/watch?v=VY-Az949Rls&list=RDVY-Az949Rls&start_radio=1&pp=ygUSQWRvY3RyaW5hZEBzIFNrYS1QoAcB;True
El Bufón;Ska-P;Game Over;2018-10-05;244733;;['mexican ska', 'ska punk', 'ska'];El Bufón;https://www.youtube.com/watch?v=dLIOl3e4eu8&list=RDdLIOl3e4eu8&start_radio=1&pp=ygUPRWwgQnVmw7NuIFNrYS1QoAcB;True
