name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Jesus Stole My Girlfriend;Violent Soho;Violent Soho;2010-01-01;177453;38;[];;;False
Daddy WTF?;Russian Village Boys, Jimmy Pop;Daddy WTF?;2022-02-22;204008;17;['gabber'];;;False
Scott Green;Dune Rats;The Kids Will Know It's Bullshit;2017-01-20;130579;39;['garage rock', 'surf rock'];;;False
Temptation's Wings;DOWN;Nola;1995-08-29;264493;34;['metal', 'sludge metal', 'groove metal', 'doom metal', 'stoner rock'];;;False
Anne;John Frusciante;Curtains;2005-02-01;215906;34;[];;;False
War Within a Breath;Rage Against The Machine;The Battle Of Los Angeles;1999-11-02;216426;39;['rap metal', 'rap rock', 'alternative metal', 'nu metal'];;;False
Down In A Hole (2022 Remaster);Alice In Chains;Dirt (2022 Remaster);1992-09-29;338226;66;['grunge', 'post-grunge'];;;False
Ke Le Voy a Hacer;Piperrak;Arde Ribera;1994-08-09;163428;36;['ska punk', 'ska', 'punk'];;;False
На Дне;Molchat Doma;Этажи;2018-09-07;247408;0;['post-punk', 'darkwave', 'cold wave'];;;False
Moon Undah Water;Puma Blue;Moon Undah Water;2018-03-21;332318;0;['bedroom pop'];;;False
Grounds;IDLES;Grounds;2020-06-16;188715;22;['noise rock', 'post-punk', 'punk'];;;False
Santeria;Sublime;Sublime;1996-07-30;182746;75;['ska punk', 'ska', 'reggae rock'];;;False
Sirène;Belako;Plastic Drama;2020-08-28;226447;0;[];;;False
FBI;Gee Tee;Chromo-Zone;2019-11-05;94959;37;['garage rock'];;;False
Komsomol;Futuro Terror;Sangre;2020-06-26;174659;0;['post-punk'];;;False
Deceptacon;Le Tigre;Le Tigre;1999-10-26;184626;65;['electroclash'];;;False
KOURTNEY HATE (feat. Goa);Yung Beef, Goa;El Plugg 2;2021-04-15;157000;21;['neoperreo'];;;False
MTT 420 RR;IDLES;CRAWLER;2021-11-12;330973;39;['noise rock', 'post-punk', 'punk'];;;False
Fui a Comprar a la Cárcel;BRONQUIO, 41V1L;Sea Lo Que Sea;2022-03-25;198000;22;['flamenco'];;;False
Hello Baby / Привет детка;GPF, Russian Village Boys;Hello Baby / Привет детка;2020-12-11;215699;31;['frenchcore', 'speedcore', 'hardcore techno', 'hardcore', 'gabber', 'hardstyle'];;;False
Drive;THE BOBBY LEES;Skin Suit;2020-07-17;173082;0;[];;;False
ТОРПЕДА;ДЕТИ RAVE;ТОРПЕДА;2019-11-21;126000;29;['rave'];;;False
Spiked;Bilk;Spiked;2018-04-13;169386;49;[];;;False
La Gaztea;Chill Mafia Records, Kiliki, Sunny Wright IV;La Gaztea;2023-01-27;172440;24;[];;;False
Stresstest;Skurt, EASTERCAKE;Stresstest;2020-11-20;193333;0;[];;;False
Wachtmuziek (Sped Up);Vieze Asbak, Joost;Wachtmuziek (Sped Up);2022-05-17;117600;5;['tekno', 'hardcore techno', 'hard techno', 'hardcore', 'gabber', 'techno', 'rave'];;;False
Зарядка;Skurt;Зарядка;2021-10-15;133500;0;[];;;False
LADA RACING;GSPD;Ленинградский Электроклуб;2021-01-29;148500;28;['rave'];;;False
Drunk n Disorderly;The Chats;High Risk Behaviour;2020-03-27;75760;42;['punk'];;;False
6L GTR;The Chats;Get Fucked;2022-08-19;125373;48;['punk'];;;False
Closet;Fleshwater;We're Not Here to Be Loved;2022-11-04;122265;54;['shoegaze'];;;False
Maggot;Amyl and The Sniffers;Comfort To Me;2021-09-10;201866;36;['punk'];;;False
GFY;Amyl and The Sniffers;Amyl and The Sniffers;2019-05-24;108893;32;['punk'];;;False
Remember Me - Original Mix;Blue Boy;Remember Me;1997-03-03;424306;2;[];;;False
Revolve;binki;Revolve;2021-06-30;172891;30;[];;;False
Real Thing;Turnstile;Time & Space;2018-02-23;116453;45;['hardcore', 'hardcore punk'];;;False
S.W.A.S.;Teen Mortgage;Life/Death;2019-06-21;113329;49;['garage rock', 'punk'];;;False
mañaneo;trashi, Pedro LaDroga, InnerCut;LO QUE PASÓ ESE VERANO;2021-06-25;163000;26;['cloud rap'];;;False
Московская Народная;DEAD BLONDE;ПРОПАГАНДА;2020-04-30;148500;29;[];;;False
3 Caras;DELLAFUENTE;Lágrimas pa otro día;2023-04-27;134960;37;['flamenco', 'flamenco urbano'];;;False
Ángel gris;La Plata;Ángel gris;2023-04-11;168947;29;['post-punk'];;;False
Friesenjung (Sped Up);Vieze Asbak, Joost, Ski Aggu;Friesenjung (Sped Up);2023-06-27;125796;12;['tekno', 'hardcore techno', 'hard techno', 'hardcore', 'gabber', 'techno', 'rave', 'german hip hop'];;;False
Cristo do Corcovado;Los Chivatos;Stay Ñunk;2019-02-21;190906;0;[];;;False
Crickets Throw Their Voice;Basement;I Wish I Could Stay Here;2011-07-05;204631;42;['shoegaze', 'pop punk', 'midwest emo'];;;False
Bizarre Love Triangle;New Order;Brotherhood (Collector's Edition);1986-09-29;263213;59;['post-punk', 'madchester', 'synthpop', 'new wave'];;;False
Covet;Basement;Colourmeinkindness;2012-10-23;227340;68;['shoegaze', 'pop punk', 'midwest emo'];;;False
Lemak, Aingurak;Berri Txarrak;Denbora Da Poligrafo Bakarra;2014-11-24;212626;0;[];;;False
Zu Atrapatu Arte;Kortatu;A Frontline Compilation;1983-05-15;106453;37;['ska punk', 'ska', 'punk'];;;False
Enemigo Publico;Cicatriz;Inadaptados;1986-07-15;158946;32;['ska punk', 'punk'];;;False
The Past Recedes;John Frusciante;Curtains;2005-02-01;233626;44;[];;;False
Summervibes 2019;Joost;1983;2019-11-15;199961;3;['gabber'];;;False
Punk Rock Loser;Viagra Boys;Cave World;2022-07-08;237980;52;['post-punk'];;;False
Si Veo a Tu Mamá;Bad Bunny;YHLQMDLG;2020-02-29;170971;74;['urbano latino', 'reggaeton', 'trap latino', 'latin'];;;False
Bubbles;Cockney Rejects;Fists Of Fury;2007-04-30;224880;2;['ska punk', 'punk'];;;False
Death or Glory - Remastered;The Clash;London Calling (Remastered);1979-01-01;235000;44;['punk'];;;False
Supa Scoopa and Mighty Scoop;Kyuss;Welcome to Sky Valley;1994-06-07;356200;0;['space rock', 'stoner rock', 'doom metal', 'sludge metal'];;;False
Bitter, Not Better;Cosmic Psychos;Cum the Raw Prawn;2015-06-05;205373;0;['noise rock', 'punk'];;;False
I Love You Mary Jane;Sonic Youth, Cypress Hill;Judgment Night;1993-06-07;229266;45;['grunge', 'post-punk', 'west coast hip hop', 'noise rock', 'alternative rock', 'rap rock', 'hip hop', 'shoegaze'];;;False
Vampireando;Hofe, 4:40, LA ÉLITE;Vampireando;2023-05-31;143733;33;[];;;False
Esta Ciudad;La Plata;Desorden;2018-03-02;168571;20;['post-punk'];;;False
400 Demonios;Taifa Yallah, DELLAFUENTE;Ep.01-Causa;2020-01-20;174111;0;['flamenco', 'flamenco urbano'];;;False
Anti Todo;Eskorbuto;Anti Todo;1986-01-01;101973;0;['ska punk', 'punk'];;;False
I Saw Your Mommy;Suicidal Tendencies;Prime Cuts;1988-01-01;289333;13;['thrash metal', 'hardcore punk', 'speed metal', 'punk', 'skate punk'];;;False
Autosuficiencia;Paralisis Permanente;Los singles y primeras grabaciones;1990-03-03;127600;37;['post-punk', 'darkwave', 'deathrock'];;;False
Destrucción;VVV [Trippin'you];Escama;2020-02-29;238333;29;['post-punk', 'darkwave', 'cold wave'];;;False
Ich geh heut nicht mehr tanzen;AnnenMayKantereit;Schlagschatten;2018-12-07;272190;52;['german pop'];;;False
L.S.D;Skegss;L.S.D;2014-07-31;217538;52;['garage rock', 'surf rock'];;;False
Monotonia;The Growlers;Monotonia;2017-10-06;244180;46;['surf rock'];;;False
I've Been Waiting (feat. ILOVEMAKONNEN) - Original Version;Lil Peep, ILOVEMAKONNEN;EVERYBODY'S EVERYTHING;2019-11-15;273973;42;['cloud rap', 'emo rap'];;;False
They Wanna Get Caught;Ausmuteants;...Present the World in Handcuffs;2019-04-26;105613;27;['garage rock', 'punk'];;;False
Mama No;La Textura, Texture;Mama No;2021-02-11;181391;4;['flamenco', 'flamenco urbano', 'flamenco pop'];;;False
Jipi Japo;Plasaporros, Cristina Aspirina, Robzzz, CRASH BANDICULO;Jipi Japo;2021-09-15;163390;8;['tekno'];;;False
100 pistas;VAN17INO6, Plasaporros;ER PATIO LOS NEONES;2021-07-09;225489;0;['tekno'];;;False
3 Katas;Soto Asa, Chico Blanco;Blanco y Nueve Mix;2021-11-04;245833;29;['neoperreo'];;;False
Criminal;Bounties;Criminal;2021-05-28;130612;20;[];;;False
Tekk Стиль 175;Russian Village Boys;Tekk Стиль;2021-08-27;145371;54;['gabber'];;;False
Ayúdame a Imaginar;Soto Asa, Pablo Chill-E;Ayúdame a Imaginar;2022-01-14;265527;51;['reggaeton chileno', 'argentine trap', 'chilean trap', 'chilean mambo', 'urbano latino', 'mambo', 'neoperreo', 'trap latino'];;;False
In On It;Superheaven;Jar;2013-04-05;203253;55;['shoegaze', 'post-grunge'];;;False
I've Been Bored;Superheaven;Ours Is Chrome;2015-05-04;203133;53;['shoegaze', 'post-grunge'];;;False
Be Quiet and Drive (Far Away);Deftones;Around the Fur;1997-10-27;299866;74;['rap metal', 'shoegaze', 'alternative metal', 'nu metal'];;;False
Ez Dut Beharrik;Bengo, Kiliki, Mon Dvy;Bizirik;2023-01-20;151973;26;[];;;False
Heart Full of Pride;Perkele;No Shame;2012-03-01;280040;0;['ska punk', 'punk'];;;False
Suicide Girls;Cock Sparrer;Here We Stand;2007-06-15;182853;33;['ska punk', 'punk'];;;False
Intro;Cecilio G., Limabeatz;Million Dollar Baby (Ceegeeotcp);2019-03-01;121001;43;[];;;False
You're Wondering Now - 2015 Remaster;The Specials;The Specials (Deluxe Version);1979-11-01;157880;40;['ska punk', 'rocksteady', 'ska'];;;False
First Call;NOFX;Coaster;2009-04-28;153640;0;['ska', 'hardcore punk', 'ska punk', 'melodic hardcore', 'punk', 'skate punk'];;;False
Gouge Away;Pixies;Doolittle;1989-04-17;162533;55;['alternative rock'];;;False
Kmión;kievra;Neodrama;2022-05-18;212173;4;[];;;False
State of Love And Trust - Live MTV Unplugged;Pearl Jam;MTV Unplugged;2020-10-22;223546;42;['grunge', 'rock'];;;False
Elephants;Them Crooked Vultures;Them Crooked Vultures;2009-11-17;409778;42;['stoner rock'];;;False
Bitch Mode;La Zowi;Bitch Mode;2018-05-07;183232;44;['neoperreo'];;;False
Gilipollas;Camellos;Embajadores;2017-04-07;170125;18;[];;;False
Asi Que Esto Es Permanencia;Ghouljaboy;El Rascal;2020-02-07;254105;8;['post-punk'];;;False
Te Estoy Amando Locamente;Las Grecas;Gipsy Rock;1974-09-04;191026;37;['flamenco', 'flamenco pop'];;;False
Paranoia Invernal;El Virtual, Jay Cas;Paranoia Invernal;2021-02-26;122067;0;['hyperpop'];;;False
Me sabe a humo;Los Chunguitos;iCollection;2016-08-19;145853;22;['flamenco', 'flamenco pop'];;;False
Sober;TOOL;Undertow;1993-04-06;306853;66;['progressive metal', 'metal', 'alternative metal', 'progressive rock'];;;False
Touch, Peel And Stand;Days Of The New;The Definitive Collection;2008-01-01;297813;0;['acoustic rock', 'grunge', 'post-grunge'];;;False
poster;oaf1;poster;2020-02-27;121879;38;['glitch', 'hyperpop'];;;False
Дисторшн;Skurt, BOOKER;С работы в студию;2023-04-21;142222;0;[];;;False
CLUB SANDWICH;Joey Valence & Brae;PUNK TACTICS;2023-09-08;159606;41;[];;;False
3ISBÄR;Brutalismus 3000;3ISBÄR;2022-12-09;276659;43;['tekno', 'hard techno', 'acid techno', 'gabber', 'techno', 'rave'];;;False
