name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
El Monte del Edén;VVV [Trippin'you], Lejia;El Monte del Edén;2024-06-21;215005;;['cold wave', 'neoperreo', 'darkwave', 'post-punk'];El Monte del Edén;https://www.youtube.com/watch?v=WXiIUgz7raY&pp=ygUrRWwgTW9udGUgZGVsIEVkw6luIFZWViBbVHJpcHBpbid5b3VdLCBMZWppYQ%3D%3D;True
Zugzwang;VVV [Trippin'you];Vaciador;2023-11-30;236010;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - Zugzwang (Visualizer);https://www.youtube.com/watch?v=ZUmTt3GaNq0&pp=ygUaWnVnendhbmcgVlZWIFtUcmlwcGluJ3lvdV0%3D;True
El Ángel de la Historia;VVV [Trippin'you];Vaciador;2023-11-30;268991;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - El Ángel de la Historia (Visualizer);https://www.youtube.com/watch?v=mrOKPqUFjaA&pp=ygUqRWwgw4FuZ2VsIGRlIGxhIEhpc3RvcmlhIFZWViBbVHJpcHBpbid5b3Vd;True
Mediocres y agresivos;VVV [Trippin'you];Vaciador;2023-11-30;209951;;['cold wave', 'darkwave', 'post-punk'];Mediocres y agresivos;https://www.youtube.com/watch?v=tm25alPC2mk&pp=ygUnTWVkaW9jcmVzIHkgYWdyZXNpdm9zIFZWViBbVHJpcHBpbid5b3Vd;True
Hikutsu;VVV [Trippin'you], Celsior;Vaciador;2023-11-30;200991;;['cold wave', 'darkwave', 'post-punk'];Hikutsu;https://www.youtube.com/watch?v=aNPYJvgOrQk&pp=ygUiSGlrdXRzdSBWVlYgW1RyaXBwaW4neW91XSwgQ2Vsc2lvcg%3D%3D;True
Rush;VVV [Trippin'you];Vaciador;2023-11-30;223457;;['cold wave', 'darkwave', 'post-punk'];Rush;https://www.youtube.com/watch?v=PR4hjNQ_H-0&pp=ygUWUnVzaCBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Bellver;VVV [Trippin'you];Vaciador;2023-11-30;218035;;['cold wave', 'darkwave', 'post-punk'];Bellver;https://www.youtube.com/watch?v=DDWN5rP7ZOk&pp=ygUZQmVsbHZlciBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
KLF;VVV [Trippin'you];Vaciador;2023-11-30;223538;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - KLF (Video Oficial);https://www.youtube.com/watch?v=kkq4AQ-VrvU&pp=ygUVS0xGIFZWViBbVHJpcHBpbid5b3Vd;True
La grieta;VVV [Trippin'you];Vaciador;2023-11-30;272161;;['cold wave', 'darkwave', 'post-punk'];La grieta;https://www.youtube.com/watch?v=rbNcydX1gbQ&pp=ygUbTGEgZ3JpZXRhIFZWViBbVHJpcHBpbid5b3Vd;True
Ctrl + Alt + Supr;VVV [Trippin'you];Vaciador;2023-11-30;119269;;['cold wave', 'darkwave', 'post-punk'];Ctrl + Alt + Supr;https://www.youtube.com/watch?v=va8H-3EvYUY&pp=ygUjQ3RybCArIEFsdCArIFN1cHIgVlZWIFtUcmlwcGluJ3lvdV0%3D;True
Nadie Es Leal;VVV [Trippin'you];Turboviolencia;2021-11-05;138000;;['cold wave', 'darkwave', 'post-punk'];Nadie Es Leal;https://www.youtube.com/watch?v=EgAnbogBRHQ&pp=ygUfTmFkaWUgRXMgTGVhbCBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Hiedra Verde;VVV [Trippin'you];Turboviolencia;2021-11-05;230666;;['cold wave', 'darkwave', 'post-punk'];Hiedra Verde;https://www.youtube.com/watch?v=HlycV7mxxRk&pp=ygUeSGllZHJhIFZlcmRlIFZWViBbVHJpcHBpbid5b3Vd;True
Algo Que Explotar;VVV [Trippin'you];Turboviolencia;2021-11-05;204387;;['cold wave', 'darkwave', 'post-punk'];Algo Que Explotar;https://www.youtube.com/watch?v=QD44L7DXrGs&pp=ygUjQWxnbyBRdWUgRXhwbG90YXIgVlZWIFtUcmlwcGluJ3lvdV0%3D;True
Matar el Tiempo;VVV [Trippin'you];Turboviolencia;2021-11-05;242013;;['cold wave', 'darkwave', 'post-punk'];Matar el Tiempo;https://www.youtube.com/watch?v=DsvoSRJbJ18&pp=ygUhTWF0YXIgZWwgVGllbXBvIFZWViBbVHJpcHBpbid5b3Vd;True
Monstruo;VVV [Trippin'you];Turboviolencia;2021-11-05;105833;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - Monstruo (Videoclip Oficial);https://www.youtube.com/watch?v=GY1F82S-M3w&pp=ygUaTW9uc3RydW8gVlZWIFtUcmlwcGluJ3lvdV0%3D;True
Odiar Frontal;VVV [Trippin'you];Turboviolencia;2021-11-05;163999;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - Odiar Frontal (Video Oficial);https://www.youtube.com/watch?v=z-TRbjcn0F0&pp=ygUfT2RpYXIgRnJvbnRhbCBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Crisis Existencial;VVV [Trippin'you];Turboviolencia;2021-11-05;180000;;['cold wave', 'darkwave', 'post-punk'];Crisis Existencial;https://www.youtube.com/watch?v=E8vmX8IkVIo&pp=ygUkQ3Jpc2lzIEV4aXN0ZW5jaWFsIFZWViBbVHJpcHBpbid5b3Vd;True
Lluvias de Marzo;VVV [Trippin'you];Turboviolencia;2021-11-05;173538;;['cold wave', 'darkwave', 'post-punk'];Lluvias de Marzo;https://www.youtube.com/watch?v=QpPSB4mgLHQ&pp=ygUiTGx1dmlhcyBkZSBNYXJ6byBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Amianto;VVV [Trippin'you];Turboviolencia;2021-11-05;186000;;['cold wave', 'darkwave', 'post-punk'];Amianto;https://www.youtube.com/watch?v=y3ZEMlW_8ao&pp=ygUZQW1pYW50byBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Bosque Infinito;VVV [Trippin'you];Turboviolencia;2021-11-05;254400;;['cold wave', 'darkwave', 'post-punk'];Bosque Infinito;https://www.youtube.com/watch?v=Uvg-VosAtnc&pp=ygUhQm9zcXVlIEluZmluaXRvIFZWViBbVHJpcHBpbid5b3Vd;True
Destrucción;VVV [Trippin'you];Escama;2020-02-29;238333;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - Destrucción (Videoclip Oficial);https://www.youtube.com/watch?v=4gYdXHo0cM4&pp=ygUeRGVzdHJ1Y2Npw7NuIFZWViBbVHJpcHBpbid5b3Vd;True
Fuego Cruzado;VVV [Trippin'you];Escama;2020-02-29;206500;;['cold wave', 'darkwave', 'post-punk'];Fuego Cruzado;https://www.youtube.com/watch?v=-qZGhHRcqLU&pp=ygUfRnVlZ28gQ3J1emFkbyBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Ataque de Pánico en la Sierra;VVV [Trippin'you];Escama;2020-02-29;195125;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - Ataque de pánico en la sierra (Videoclip Oficial);https://www.youtube.com/watch?v=qEFXxys-htE&pp=ygUwQXRhcXVlIGRlIFDDoW5pY28gZW4gbGEgU2llcnJhIFZWViBbVHJpcHBpbid5b3Vd;True
Ya No Tienes Miedo;VVV [Trippin'you];Escama;2020-02-29;184362;;['cold wave', 'darkwave', 'post-punk'];Ya No Tienes Miedo;https://www.youtube.com/watch?v=aQMjEhgIot8&pp=ygUkWWEgTm8gVGllbmVzIE1pZWRvIFZWViBbVHJpcHBpbid5b3Vd;True
Justicia Posmoderna;VVV [Trippin'you];Escama;2020-02-29;239999;;['cold wave', 'darkwave', 'post-punk'];Justicia Posmoderna;https://www.youtube.com/watch?v=YSL-aFRXd9c&pp=ygUlSnVzdGljaWEgUG9zbW9kZXJuYSBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Miedo y Asco en Madrid;VVV [Trippin'you];Escama;2020-02-29;153728;;['cold wave', 'darkwave', 'post-punk'];Miedo y Asco en Madrid;https://www.youtube.com/watch?v=ADUj1UBIEzY&pp=ygUoTWllZG8geSBBc2NvIGVuIE1hZHJpZCBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Ambivalencia;VVV [Trippin'you], Brasov;Escama;2020-02-29;212117;;['cold wave', 'dark trap', 'darkwave', 'post-punk'];Ambivalencia (feat. Brasov);https://www.youtube.com/watch?v=eiMNxFXISV4&pp=ygUmQW1iaXZhbGVuY2lhIFZWViBbVHJpcHBpbid5b3VdLCBCcmFzb3Y%3D;True
Invierno Nuclear;VVV [Trippin'you];Escama;2020-02-29;274000;;['cold wave', 'darkwave', 'post-punk'];VVV [Trippin'You] - Invierno nuclear (Videoclip Oficial);https://www.youtube.com/watch?v=-U1eorx0esM&pp=ygUiSW52aWVybm8gTnVjbGVhciBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Redención;VVV [Trippin'you];Escama;2020-02-29;190222;;['cold wave', 'darkwave', 'post-punk'];Redención;https://www.youtube.com/watch?v=qPrDSZG8C5w&pp=ygUcUmVkZW5jacOzbiBWVlYgW1RyaXBwaW4neW91XQ%3D%3D;True
Siroco;VVV [Trippin'you];Escama;2020-02-29;228750;;['cold wave', 'darkwave', 'post-punk'];Siroco;https://www.youtube.com/watch?v=TOPUsqopJ9Q&pp=ygUYU2lyb2NvIFZWViBbVHJpcHBpbid5b3Vd;True
