name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Introducción;Violadores Del Verso;Vicios y Virtudes;2001-11-19;51880;;['latin hip hop'];Introducción;https://www.youtube.com/watch?v=3B9G4ZBxPCc&pp=ygUiSW50cm9kdWNjacOzbiBWaW9sYWRvcmVzIERlbCBWZXJzbw%3D%3D;True
Vicios y Virtudes;Violadores Del Verso;Vicios y Virtudes;2001-11-19;334040;;['latin hip hop'];VIOLADORES DEL VERSO - VICIOS Y VIRTUDES;https://www.youtube.com/watch?v=OlKhQgMOKeY&pp=ygUmVmljaW9zIHkgVmlydHVkZXMgVmlvbGFkb3JlcyBEZWwgVmVyc28%3D;True
Marrones, Morenas, Coronas;Violadores Del Verso;Vicios y Virtudes;2001-11-19;304453;;['latin hip hop'];Marrones, Morenas, Coronas;https://www.youtube.com/watch?v=IzLKArez9gI&pp=ygUvTWFycm9uZXMsIE1vcmVuYXMsIENvcm9uYXMgVmlvbGFkb3JlcyBEZWwgVmVyc28%3D;True
Trae Ese Ron;Violadores Del Verso;Vicios y Virtudes;2001-11-19;415426;;['latin hip hop'];Trae Ese Ron;https://www.youtube.com/watch?v=Ob0rH2Y3niM&pp=ygUhVHJhZSBFc2UgUm9uIFZpb2xhZG9yZXMgRGVsIFZlcnNv;True
No Es Ningún Trofeo Noble;Violadores Del Verso;Vicios y Virtudes;2001-11-19;358466;;['latin hip hop'];No Es Ningún Trofeo Noble;https://www.youtube.com/watch?v=iEX-yZvRpZs&pp=ygUvTm8gRXMgTmluZ8O6biBUcm9mZW8gTm9ibGUgVmlvbGFkb3JlcyBEZWwgVmVyc28%3D;True
Tú y Tus Historias;Violadores Del Verso;Vicios y Virtudes;2001-11-19;125800;;['latin hip hop'];Tú y Tus Historias;https://www.youtube.com/watch?v=HShfHbvabFc&pp=ygUoVMO6IHkgVHVzIEhpc3RvcmlhcyBWaW9sYWRvcmVzIERlbCBWZXJzbw%3D%3D;True
No Pasa Nada;Violadores Del Verso, Supernafamacho;Vicios y Virtudes;2001-11-19;298640;;['latin hip hop'];No Pasa Nada;https://www.youtube.com/watch?v=C66cTtsUlY4&pp=ygUxTm8gUGFzYSBOYWRhIFZpb2xhZG9yZXMgRGVsIFZlcnNvLCBTdXBlcm5hZmFtYWNobw%3D%3D;True
Modestia Aparte;Violadores Del Verso;Vicios y Virtudes;2001-11-19;308320;;['latin hip hop'];Modestia Aparte;https://www.youtube.com/watch?v=_TITeOeZXfc&pp=ygUkTW9kZXN0aWEgQXBhcnRlIFZpb2xhZG9yZXMgRGVsIFZlcnNv;True
Ninguna Chavala Tiene Dueño - Porque Ella Me Lo Dijo;Violadores Del Verso;Vicios y Virtudes;2001-11-19;269160;;['latin hip hop'];Ninguna Chavala Tiene Dueño - Porque Ella Me Lo Dijo;https://www.youtube.com/watch?v=i9OKhBggKCg&pp=ygVKTmluZ3VuYSBDaGF2YWxhIFRpZW5lIER1ZcOxbyAtIFBvcnF1ZSBFbGxhIE1lIExvIERpam8gVmlvbGFkb3JlcyBEZWwgVmVyc28%3D;True
Cerdo Agridulce;Violadores Del Verso;Vicios y Virtudes;2001-11-19;207760;;['latin hip hop'];Cerdo Agridulce;https://www.youtube.com/watch?v=WaC0cdRQvA8&pp=ygUkQ2VyZG8gQWdyaWR1bGNlIFZpb2xhZG9yZXMgRGVsIFZlcnNv;True
Que Te Importan Todos los Demás (Inspiración, Aspiración);Violadores Del Verso;Vicios y Virtudes;2001-11-19;324946;;['latin hip hop'];Que Te Importan Todos los Demás (Inspiración, Aspiración);https://www.youtube.com/watch?v=w8gAY96l39w&pp=ygVRUXVlIFRlIEltcG9ydGFuIFRvZG9zIGxvcyBEZW3DoXMgKEluc3BpcmFjacOzbiwgQXNwaXJhY2nDs24pIFZpb2xhZG9yZXMgRGVsIFZlcnNv;True
Suizaragoza;Violadores Del Verso, Gran Purismo;Vicios y Virtudes;2001-11-19;113720;;['latin hip hop', 'spanish-language reggae'];Suizaragoza;https://www.youtube.com/watch?v=vGPjejzJcAM&pp=ygUuU3VpemFyYWdvemEgVmlvbGFkb3JlcyBEZWwgVmVyc28sIEdyYW4gUHVyaXNtbw%3D%3D;True
Capricornio;Violadores Del Verso;Vicios y Virtudes;2001-11-19;195413;;['latin hip hop'];Capricornio;https://www.youtube.com/watch?v=3aetmN125K4&pp=ygUgQ2Fwcmljb3JuaW8gVmlvbGFkb3JlcyBEZWwgVmVyc28%3D;True
Por Honor;Violadores Del Verso, Mr. Rango;Vicios y Virtudes;2001-11-19;374840;;['ragga', 'latin hip hop', 'spanish-language reggae'];Por Honor;https://www.youtube.com/watch?v=D_PF5qAnwo0&pp=ygUpUG9yIEhvbm9yIFZpb2xhZG9yZXMgRGVsIFZlcnNvLCBNci4gUmFuZ28%3D;True
La Ciudad Nunca Duerme;Violadores Del Verso;Vicios y Virtudes;2001-11-19;341493;;['latin hip hop'];La Ciudad Nunca Duerme;https://www.youtube.com/watch?v=0DghPO1kCNM&pp=ygUrTGEgQ2l1ZGFkIE51bmNhIER1ZXJtZSBWaW9sYWRvcmVzIERlbCBWZXJzbw%3D%3D;True
