name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Poker Face;Lady Gaga;2000's Pop Hits;2020-07-03;238906;31.0;['pop', 'art pop'];Lady Gaga - Poker Face (Official Music Video);https://www.youtube.com/watch?v=bESGLojNYSo&pp=ygUUUG9rZXIgRmFjZSBMYWR5IEdhZ2E%3D;True
Grace Kelly;MIKA;2000's Pop Hits;2020-07-03;187253;27.0;[];MIKA - Grace Kelly;https://www.youtube.com/watch?v=0CGVgAYJyjk&pp=ygUQR3JhY2UgS2VsbHkgTUlLQQ%3D%3D;True
Where Is The Love?;Black Eyed Peas;2000's Pop Hits;2020-07-03;273813;29.0;[];The Black Eyed Peas - Where Is The Love? (Official Music Video);https://www.youtube.com/watch?v=WpYeekQkAdc&pp=ygUhV2hlcmUgSXMgVGhlIExvdmUgQmxhY2sgRXllZCBQZWFz;True
Cake By The Ocean;DNCE;2000's Pop Hits;2020-07-03;218346;26.0;[];DNCE - Cake By The Ocean;https://www.youtube.com/watch?v=vWaRiD5ym74&pp=ygUWQ2FrZSBCeSBUaGUgT2NlYW4gRE5DRQ%3D%3D;True
Fireflies;Owl City;2000's Pop Hits;2020-07-03;228346;25.0;[];Owl City - Fireflies (Official Music Video);https://www.youtube.com/watch?v=psuRGfAaju4&pp=ygUSRmlyZWZsaWVzIE93bCBDaXR5;True
Sugar;Maroon 5;2000's Pop Hits;2020-07-03;234000;24.0;['pop'];Maroon 5 - Sugar (Official Music Video);https://www.youtube.com/watch?v=09R8_2nJtjg&pp=ygUOU3VnYXIgTWFyb29uIDU%3D;True
Party In The U.S.A.;Miley Cyrus;2000's Pop Hits;2020-07-03;202733;30.0;[];Miley Cyrus - Party In The U.S.A. (Official Video);https://www.youtube.com/watch?v=M11SvDtPBhA&pp=ygUfUGFydHkgSW4gVGhlIFUuUy5BLiBNaWxleSBDeXJ1cw%3D%3D;True
Treat You Better;Shawn Mendes;2000's Pop Hits;2020-07-03;187973;23.0;['pop'];Shawn Mendes - Treat You Better;https://www.youtube.com/watch?v=lY2yjAdbvdQ&pp=ygUdVHJlYXQgWW91IEJldHRlciBTaGF3biBNZW5kZXM%3D;True
In My Head;Jason Derulo;Jason Derulo;2010-02-24;198960;61.0;[];Jason Derulo - In My Head [Official Music Video];https://www.youtube.com/watch?v=UyG1FG3H6rY&pp=ygUXSW4gTXkgSGVhZCBKYXNvbiBEZXJ1bG8%3D;True
Beautiful Girls;Sean Kingston;Beautiful Girls;2007-07-23;225373;78.0;[];Sean Kingston - Beautiful Girls (Official HD Video);https://www.youtube.com/watch?v=MrTz5xjmso4&pp=ygUdQmVhdXRpZnVsIEdpcmxzIFNlYW4gS2luZ3N0b24%3D;True
Right Round (feat. Ke$ha);Flo Rida, Kesha;Right Round;2009-02-09;202680;59.0;[];Flo Rida - Right Round (feat. Ke$ha) (Official Video) [HD];https://www.youtube.com/watch?v=CcCw1ggftuQ&pp=ygUkUmlnaHQgUm91bmQgZmVhdCBLZWhhIEZsbyBSaWRhIEtlc2hh;True
Wild Ones (feat. Sia);Flo Rida, Sia;Wild Ones;2012-06-22;232946;76.0;[];Flo Rida - Wild Ones ft. Sia [Official Video];https://www.youtube.com/watch?v=bpOR_HuHRNs&pp=ygUfV2lsZCBPbmVzIGZlYXQgU2lhIEZsbyBSaWRhIFNpYQ%3D%3D;True
Club Can't Handle Me (feat. David Guetta);Flo Rida, David Guetta;Only One Flo (Part 1);2010-11-24;234560;76.0;['edm', 'dance'];Flo Rida - Club Can't Handle Me ft. David Guetta [Official Music Video] - Step Up 3D;https://www.youtube.com/watch?v=SgM3r8xKfGE&pp=ygU7Q2x1YiBDYW50IEhhbmRsZSBNZSBmZWF0IERhdmlkIEd1ZXR0YSBGbG8gUmlkYSBEYXZpZCBHdWV0dGE%3D;True
Whistle;Flo Rida;Wild Ones;2012-06-22;224653;74.0;[];Flo Rida - Whistle [Official Video];https://www.youtube.com/watch?v=cSnkWzZ7ZAA&pp=ygUQV2hpc3RsZSBGbG8gUmlkYQ%3D%3D;True
Umbrella;Rihanna, JAY-Z;Good Girl Gone Bad;2007-01-01;275986;70.0;['rap', 'east coast hip hop', 'hip hop'];Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z;https://www.youtube.com/watch?v=CvBfHwUxHIk&pp=ygUWVW1icmVsbGEgUmloYW5uYSBKQVktWg%3D%3D;True
Nothin' on You (feat. Bruno Mars);B.o.B, Bruno Mars;B.o.B Presents: The Adventures of Bobby Ray;2010-04-27;268320;76.0;[];B.o.B - Nothin' On You (feat. Bruno Mars) [Official Video];https://www.youtube.com/watch?v=8PTDv_szmL0&pp=ygUzTm90aGluJyBvbiBZb3UgKGZlYXQuIEJydW5vIE1hcnMpIEIuby5CLCBCcnVubyBNYXJz;False
Just the Way You Are;Bruno Mars;Doo-Wops & Hooligans;2010-05-11;220734;85.0;[];Bruno Mars - Just The Way You Are (Official Music Video);https://www.youtube.com/watch?v=LjhCEhWiKXk&pp=ygUfSnVzdCB0aGUgV2F5IFlvdSBBcmUgQnJ1bm8gTWFycw%3D%3D;False
Dynamite;Taio Cruz;The Rokstarr Hits Collection;2010-01-01;202613;72.0;[];Taio Cruz - Dynamite (Official Video);https://www.youtube.com/watch?v=VUjdiDeJ0xg&pp=ygUSRHluYW1pdGUgVGFpbyBDcnV6;False
