name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
The Spark;Kabin Crew Lisdoonvarna Crew;The Spark;13/06/2024;146384;68;;The Spark- Kabin Crew;https://www.youtube.com/watch?v=njE3EknkkBY;False
STOP;Chico Blanco SIMONA;STOP;25/08/2022;266625;0;rbano espanol - pop electron;Chico Blanco  SIMONA - :$TOP;https://www.youtube.com/watch?v=bqukBzgsuyQ;False
Carnage;Trends Boylan;Ninety Nine;07/07/2023;313500;10;rimewave - instrumental gr;Trends  Boylan – Carnage;https://www.youtube.com/watch?v=_iiT2P-bEFY;False
Let It Breathe;Villem Mcleod Leo Wood;Playing the Changes;14/09/2018;289755;29;eep liquid bass - liquid f;Villem  McLeod - Let It Breathe (ft. Leo Wood);https://www.youtube.com/watch?v=kKRKsSB-YBM;False
Ease My Mind (feat. Niki and the Dove);Skrillex Niki & The Dove;Recess;14/03/2014;302520;49;omplextro - swedish synthpop - edm - brostep - indietronica - swedish indie pop - swedish electropop - electro - metropopolis - pop da;Skrillex - Ease My Mind with Niki &amp;https://www.youtube.com/watch?v=hwsXo6fsmso;False
Let's go;DONGURIZU;DONGRHYTHM;28/06/2024;146867;35;apanese alternative ;(DONGURIZU) – Lets go;https://www.youtube.com/watch?v=u_AJB8TvcDo;False
Glue;BICEP;Bicep;01/09/2017;269149;70;lectronica - ambient ho;BICEP | GLUE (Official Video);https://www.youtube.com/watch?v=A7ZxRs45tTg;True
Because You Move Me;Tinlicker Helsloot;Because You Move Me;31/07/2017;196375;75;elodic house - ho;Tinlicker & Helsloot - Because You Move Me;https://www.youtube.com/watch?v=q-e8-kaWDvI;True
BLUEBERRY YUM YUM;BHZ Monk Dead Dawg Big Pat;HALB:VIER DELUXE;16/07/2021;232844;0;erman alternative rap - german trap - german hip ;BLUEBERRY YUM YUM;https://www.youtube.com/watch?v=VNJmhXQoB0Q;True
Crimewave;Crystal Castles HEALTH;Crystal Castles;16/03/2008;258453;62;intendocore - bitpop - indietronica - neo-synthpop - grave wave - new rave - noise rock - digital hardcore - metropopolis - alternative dance - noise ;Crystal Castles - Crimewave (Crystal Castles vs. Health);https://www.youtube.com/watch?v=ayc4Nv1fnZY;True
Overthinker;INZO;Overthinker;23/07/2018;268000;4;;INZO - Overthinker;https://www.youtube.com/watch?v=luQSQuCHtcI;True
Guardian;SpectraSoul;4 Points / Guardian;23/11/2009;357053;20;eurofunk - liquid funk - drum and b;Guardian;https://www.youtube.com/watch?v=lCs9ZyWxWWo;True
Tink Ya Bad - Remix;G Dub Lindo P;Back in Business / Tink Ya Bad (Remix);18/09/2017;265757;14;ump;Tink Ya Bad (Feat. Lindo P) (Remix);https://www.youtube.com/watch?v=Q_tc0EL9lNM;True
Time Tripping;DJ Hazard;Time Tripping / Digital Bumble Bees;24/06/2013;317140;30;ump up - ragga jungle - bass house - drum and bass - jun;DJ Hazard - Time Tripping;https://www.youtube.com/watch?v=JXBnbHA59dY;True
Good Time;Crystal Castles;Crystal Castles;16/03/2008;175520;34;intendocore - bitpop - indietronica - neo-synthpop - new rave - digital hardcore - alternative da;Crystal Castles - Good Time;https://www.youtube.com/watch?v=SnTGSHhEOfI;True
1991;Crystal Castles;Crystal Castles;16/03/2008;113506;38;intendocore - bitpop - indietronica - neo-synthpop - new rave - digital hardcore - alternative da;Crystal Castles - 1991;https://www.youtube.com/watch?v=hYf20ovQm5g;True
Vanished;Crystal Castles;Crystal Castles;16/03/2008;242960;67;intendocore - bitpop - indietronica - neo-synthpop - new rave - digital hardcore - alternative da;Crystal Castles - Vanished;https://www.youtube.com/watch?v=6e6Hj7MwWaI;True
Stop It;FISHER;Oi Oi;10/11/2017;163790;3;ustralian house - ho;FISHER - Stop It;https://www.youtube.com/watch?v=KBDTXl9gD3o;True
Cola;CamelPhat Elderbrook;Cola;16/06/2017;223869;68;eep tech house - uk dance - house - progressive ho;CamelPhat & Elderbrook 'Cola' (Official Video);https://www.youtube.com/watch?v=LcNXG-6SqWA;True
You See;We Are Nuts!;You See;19/12/2016;284160;17;;We Are Nuts! - You See;https://www.youtube.com/watch?v=VQcM06ANeck;True
Sad;UNLOGIX;Sad;15/12/2014;260374;39;;Sad;https://www.youtube.com/watch?v=3Mw_Htu_e7k;True
Rave;Sam Paganini;Satellite;29/09/2014;405699;12;eep minimal techno - minimal techno - italian tec;Sam Paganini - Rave (Original Mix) [DRUMCODE];https://www.youtube.com/watch?v=WWuDiwr30SI;True
I Think I Like It - Original Mix;Fake Blood;I Think I Like It;26/02/2010;336562;20;idget ho;Fake Blood - I Think I Like It;https://www.youtube.com/watch?v=SaoT_ULWJZk;True
Her;Dustycloud;Her;29/08/2017;289933;18;lectro house - bass ho;Dustycloud - Her;https://www.youtube.com/watch?v=PmnQnT93_vk;True
Techno;Destructo;Techno;21/09/2015;225306;35;lectro house - bass ho;The Private Pain of Techno Destructo;https://www.youtube.com/watch?v=tqVaQpdX7ds;True
La Espanolita;UNLOGIX;La Espanolita;14/01/2016;270080;0;;Unlogix - La espanolita   ( Unlogix - remix );https://www.youtube.com/watch?v=wVBz0iiox4k;True
Ya Kidding;FISHER;Ya Kidding;30/06/2017;238080;1;ustralian house - ho;FISHER - Ya Kidding;https://www.youtube.com/watch?v=Om3z8zvNKdY;True
Riverside 2099;Oliver Heldens Sidney Samson;Riverside 2099;06/07/2018;234533;45;dm - electro house - dutch house - melbourne bounce - future house - progressive house - progressive electro house - house - pop da;Oliver Heldens & Sidney Samson - Riverside 2099 (Official Music Video);https://www.youtube.com/watch?v=iGdeqAHbCEU;True
Losing It;FISHER;Losing It;13/07/2018;248035;70;ustralian house - ho;FISHER - Losing It (Official Audio);https://www.youtube.com/watch?v=u31thuMehjM;True
Take It;Dom Dolla;Take It;27/07/2018;234440;60;eep groove house - australian house - ho;Dom Dolla - Take It (Official Music Video);https://www.youtube.com/watch?v=uluaU17xFkc;True
Celestica;Crystal Castles;Crystal Castles (II);01/01/2010;230093;0;intendocore - bitpop - indietronica - neo-synthpop - new rave - digital hardcore - alternative da;Crystal Castles - Celestica;https://www.youtube.com/watch?v=IsxNUl1IHnE;True
