name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Si Tu Kiere;Soto Asa;Si Tu Kiere;2021-09-10;180991;49.0;['neoperreo'];Soto Asa - Si Tu Kiere (Videoclip);https://www.youtube.com/watch?v=vl9FVcDC-DA&pp=ygUUU2kgVHUgS2llcmUgU290byBBc2E%3D;True
Ayúdame a Imaginar;Soto Asa, Pablo Chill-E;Ayúdame a Imaginar;2022-01-14;265527;53.0;['urbano latino', 'neoperreo', 'reggaeton chileno', 'mambo', 'chilean trap', 'trap latino', 'argentine trap', 'chilean mambo'];Soto Asa & Pablo Chill-E - Ayúdame a Imaginar;https://www.youtube.com/watch?v=VR4J8SXEP9Y&pp=ygUpQXl1ZGFtZSBhIEltYWdpbmFyIFNvdG8gQXNhIFBhYmxvIENoaWxsLUU%3D;True
Jugador 9;Soto Asa;Jugador 9;2021-12-02;186559;54.0;['neoperreo'];Soto Asa - Jugador 9 (Videoclip);https://www.youtube.com/watch?v=RkdxNwC29oI&pp=ygUSSnVnYWRvciA5IFNvdG8gQXNh;True
Su Nota;Soto Asa, Yassir, grauu;Su Nota;2022-08-12;194045;41.0;['jersey club', 'neoperreo'];Yassir x Soto Asa - Su Nota (Prod. grauu) (Videoclip);https://www.youtube.com/watch?v=pC0VwF7FlqM&pp=ygUdU3UgTm90YSBTb3RvIEFzYSBZYXNzaXIgZ3JhdXU%3D;True
Las 12;Soto Asa;Las 12;2022-04-21;220963;38.0;['neoperreo'];Soto Asa - Las 12 (Videoclip);https://www.youtube.com/watch?v=6G3nNdMqFHU&pp=ygUPTGFzIDEyIFNvdG8gQXNh;True
Me Gustaron Tus Nai;Soto Asa, Yung Beef;Down Music;2018-10-05;182758;49.0;['neoperreo'];2.Soto Asa - Me gustaron tus Nai (ft. Yung Beef);https://www.youtube.com/watch?v=UpvnycnTRZM&pp=ygUmTWUgR3VzdGFyb24gVHVzIE5haSBTb3RvIEFzYSBZdW5nIEJlZWY%3D;True
Christian Dior;Soto Asa;Coupé;2020-12-18;177437;46.0;['neoperreo'];4.Soto Asa - Christian Dior;https://www.youtube.com/watch?v=1IJs5C-VqaA&pp=ygUXQ2hyaXN0aWFuIERpb3IgU290byBBc2E%3D;True
Hadu;Soto Asa, Avellan;Hadu;2018-12-28;143007;44.0;['neoperreo'];Soto Asa - Hadú (Prod. Avellan);https://www.youtube.com/watch?v=aigpp5AmPp0&pp=ygUVSGFkdSBTb3RvIEFzYSBBdmVsbGFu;True
Tana;Soto Asa, rjmussic;Tana;2022-06-16;209824;33.0;['neoperreo'];Soto Asa - Tana (Videoclip);https://www.youtube.com/watch?v=vIs6feu21Pw&pp=ygUWVGFuYSBTb3RvIEFzYSByam11c3NpYw%3D%3D;True
Most Wanted (Intro);Soto Asa;Coupé;2020-12-18;138841;35.0;['neoperreo'];1.Soto Asa - Most Wanted (Intro);https://www.youtube.com/watch?v=gpFRbmu9pAA&pp=ygUaTW9zdCBXYW50ZWQgSW50cm8gU290byBBc2E%3D;True
