name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Ke No Me Vean;Soto Asa, Chico Blanco;Blanco y Nueve Mix;2021-11-04;274278;20.0;['neoperreo'];Chico Blanco Soto Asa - Ke No Me Vean;https://www.youtube.com/watch?v=M2Qbti4m3JU;True
3 Katas;Soto Asa, Chico Blanco;Blanco y Nueve Mix;2021-11-04;245833;32.0;['neoperreo'];Chico Blanco & Soto Asa - 3 Katas (Videoclip);https://www.youtube.com/watch?v=86a6F2Q2kr4&pp=ygUeMyBLYXRhcyBTb3RvIEFzYSwgQ2hpY28gQmxhbmNv;True
Tech Love (Otra Vez);Chico Blanco;Life After House;2019-02-15;327597;0.0;[];CHICO BLANCO - TECH.LOVE (OTRA VEZ);https://www.youtube.com/watch?v=Mb6s5e4M0-c;True
TODOS LOS DÍAS;Chico Blanco, GAZZI;TODOS LOS DÍAS;2024-03-22;236552;22.0;[];TODOS LOS DÍAS;https://www.youtube.com/watch?v=vFezWjLU82Q&pp=ygUjVE9ET1MgTE9TIETDjUFTIENoaWNvIEJsYW5jbywgR0FaWkk%3D;True
Ojalá (feat. Chico Blanco);C. Tangana, Chico Blanco;Bien:(;2020-05-14;180866;39.0;['flamenco'];C. Tangana - Ojala (Audio) ft. Chico Blanco;https://www.youtube.com/watch?v=PokpuVY3cs8;True
Cadillac;Chico Pablo, Chico Blanco;Cadillac;2023-03-22;233201;28.0;[];Cadillac;https://www.youtube.com/watch?v=dfGbvt1UyK8;True
WTF Is In My Cup;Chico Blanco;WTF Is In My Cup;2018-06-04;267000;27.0;[];CHICO BLANCO - WTF IS IN MY CUP;https://www.youtube.com/watch?v=aneT9MCQfVU&pp=ygUdV1RGIElzIEluIE15IEN1cCBDaGljbyBCbGFuY28%3D;True
Q NO;Chico Blanco;FOREVER 21 (VOL.1);2023-10-04;225333;16.0;[];Q NO;https://www.youtube.com/watch?v=JU3IWir6Yxc&pp=ygURUSBOTyBDaGljbyBCbGFuY28%3D;True
Caramelo House (Otro Lado);Chico Blanco;Caramelo House (Otro Lado);2020-03-06;255230;0.0;[];Caramelo House (Otro Lado);https://www.youtube.com/watch?v=fK-3LlWe8nw;True
mevoyadormir;Chico Blanco;mevoyadormir;2023-04-19;297391;16.0;[];Chico Blanco - mevoyadormir;https://www.youtube.com/watch?v=3q-LOnZx6J0&pp=ygUZbWV2b3lhZG9ybWlyIENoaWNvIEJsYW5jbw%3D%3D;True
AY :P;8kitoo, Chico Blanco;AY :P;2021-02-25;251831;25.0;[];Chico Blanco, 8kitoo - AY :P;https://www.youtube.com/watch?v=UdrxWo3q9hc&pp=ygUaQVkgOlAgOGtpdG9vLCBDaGljbyBCbGFuY28%3D;True
