name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Untrust Us;Crystal Castles;Crystal Castles;2008-03-16;186373;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Untrust Us;https://www.youtube.com/watch?v=oDHAEME84Og&pp=ygUaVW50cnVzdCBVcyBDcnlzdGFsIENhc3RsZXM%3D;True
Alice Practice;Crystal Castles;Crystal Castles;2008-03-16;161373;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Alice Practice;https://www.youtube.com/watch?v=e2FOnrFlEJY&pp=ygUeQWxpY2UgUHJhY3RpY2UgQ3J5c3RhbCBDYXN0bGVz;True
Crimewave;Crystal Castles, HEALTH;Crystal Castles;2008-03-16;258453;;['alternative dance', 'noise rock', 'new rave', 'industrial', 'witch house', 'electroclash'];Crystal Castles - Crimewave (Crystal Castles vs. Health);https://www.youtube.com/watch?v=ayc4Nv1fnZY&pp=ygUhQ3JpbWV3YXZlIENyeXN0YWwgQ2FzdGxlcywgSEVBTFRI0gcJCVEJAYcqIYzv;True
Magic Spells;Crystal Castles;Crystal Castles;2008-03-16;366866;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Magic Spells;https://www.youtube.com/watch?v=fUTJa00puDU&pp=ygUcTWFnaWMgU3BlbGxzIENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
Xxzxcuzx Me;Crystal Castles;Crystal Castles;2008-03-16;113800;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - XXZXCUZX Me;https://www.youtube.com/watch?v=mSIzybHQtNw&pp=ygUbWHh6eGN1enggTWUgQ3J5c3RhbCBDYXN0bGVz;True
Air War;Crystal Castles;Crystal Castles;2008-03-16;252266;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"""Air War"" by Crystal Castles (Official Audio)";https://www.youtube.com/watch?v=2dK3Tzf8KwA&pp=ygUXQWlyIFdhciBDcnlzdGFsIENhc3RsZXM%3D;True
Courtship Dating;Crystal Castles;Crystal Castles;2008-03-16;210453;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Courtship Dating;https://www.youtube.com/watch?v=BnQKxTxOYB0&pp=ygUgQ291cnRzaGlwIERhdGluZyBDcnlzdGFsIENhc3RsZXM%3D;True
Good Time;Crystal Castles;Crystal Castles;2008-03-16;175520;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Good Time;https://www.youtube.com/watch?v=SnTGSHhEOfI&pp=ygUZR29vZCBUaW1lIENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
1991;Crystal Castles;Crystal Castles;2008-03-16;113506;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - 1991;https://www.youtube.com/watch?v=hYf20ovQm5g&pp=ygUUMTk5MSBDcnlzdGFsIENhc3RsZXM%3D;True
Vanished;Crystal Castles;Crystal Castles;2008-03-16;242960;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Vanished;https://www.youtube.com/watch?v=6e6Hj7MwWaI&pp=ygUYVmFuaXNoZWQgQ3J5c3RhbCBDYXN0bGVz;True
