name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
pockets - mixtape version;hard life;creature habits mixtape;2018-04-12;233158;27;;Hard Life - Pockets;https://www.youtube.com/watch?v=oeFq3Sta6bY&pp=ygUjcG9ja2V0cyAtIG1peHRhcGUgdmVyc2lvbiBoYXJkIGxpZmU%3D;False
dead celebrities;hard life;junk food;2020-01-10;196573;38;;hard life - dead celebrities;https://www.youtube.com/watch?v=MY7CFJuBrIs&pp=ygUaZGVhZCBjZWxlYnJpdGllcyBoYXJkIGxpZmU%3D;False
earth;hard life;junk food;2020-01-10;187853;24;;hard life - earth;https://www.youtube.com/watch?v=Z4wR-u_olx8&pp=ygUPZWFydGggaGFyZCBsaWZl;False
ojpl;hard life;frank;2018-07-11;180533;41;;hard life - ojpl | A COLORS SHOW;https://www.youtube.com/watch?v=9-GoTdS5Jaw&pp=ygUOb2pwbCBoYXJkIGxpZmU%3D;False
ice cream;hard life;creature habits mixtape;2018-04-12;235012;29;;hard life - ice cream (visualiser);https://www.youtube.com/watch?v=9swj78vMd24&pp=ygUTaWNlIGNyZWFtIGhhcmQgbGlmZQ%3D%3D;False
peanut butter;hard life;see you later maybe never demos;2020-05-08;160656;0;;peanut butter;https://www.youtube.com/watch?v=-Mg5UwDvr5s&pp=ygUXcGVhbnV0IGJ1dHRlciBoYXJkIGxpZmU%3D;False
daydreams;hard life;lifes a beach;2021-05-28;155845;45;;hard life - daydreams;https://www.youtube.com/watch?v=cWo6p1SQn0U&pp=ygUTZGF5ZHJlYW1zIGhhcmQgbGlmZQ%3D%3D;False
ocean view;hard life;lifes a beach;2021-05-28;174735;47;;hard life - ocean view;https://www.youtube.com/watch?v=nBdb8VmNI8E&pp=ygUUb2NlYW4gdmlldyBoYXJkIGxpZmU%3D;False
skeletons;hard life;lifes a beach;2021-05-28;178713;50;;hard life - skeletons;https://www.youtube.com/watch?v=87U_l3AvyX0&pp=ygUTc2tlbGV0b25zIGhhcmQgbGlmZQ%3D%3D;False
nightmares;hard life;lifes a beach;2021-05-28;207326;51;;hard life - nightmares;https://www.youtube.com/watch?v=-dQnXExTp2w&pp=ygUUbmlnaHRtYXJlcyBoYXJkIGxpZmU%3D;False
wet weekend;hard life;spaceships mixtape;2019-03-18;213146;31;;wet weekend;https://www.youtube.com/watch?v=DexjbX6Jomc&pp=ygUVd2V0IHdlZWtlbmQgaGFyZCBsaWZl;False
have a great day;hard life;lifes a beach;2021-05-28;202090;39;;hard life - have a great day (Visualiser);https://www.youtube.com/watch?v=dKOIOEGPpVY&pp=ygUaaGF2ZSBhIGdyZWF0IGRheSBoYXJkIGxpZmU%3D;False
sunday;hard life;spaceships mixtape;2019-03-18;201506;42;;hard life - sunday;https://www.youtube.com/watch?v=KFiY1xhaN9Q&pp=ygUQc3VuZGF5IGhhcmQgbGlmZQ%3D%3D;False
petty crime;hard life;see you later maybe never demos;2020-05-29;226851;34;;petty crime;https://www.youtube.com/watch?v=7QXhNNlmB3w&pp=ygUVcGV0dHkgY3JpbWUgaGFyZCBsaWZl;False
pop tarts;hard life;who gives a fk;2020-07-10;187418;29;;hard life - pop tarts;https://www.youtube.com/watch?v=M2JZ6r3gyRU&pp=ygUTcG9wIHRhcnRzIGhhcmQgbGlmZQ%3D%3D;False
nice guys;hard life;nice guys;2019-10-21;162239;34;;hard life - nice guys;https://www.youtube.com/watch?v=ta_9RNcKqIs&pp=ygUTbmljZSBndXlzIGhhcmQgbGlmZQ%3D%3D;False
frank;hard life;frank;2018-07-11;205445;36;;hard life - frank (audio);https://www.youtube.com/watch?v=Z10Nl_lQmBo&pp=ygUPZnJhbmsgaGFyZCBsaWZl;False
sangria;hard life Arlo Parks;sangria;2019-11-07;190023;51;;hard life - sangria ft. Arlo Parks;https://www.youtube.com/watch?v=FteLuLDSiIU&pp=ygUcc2FuZ3JpYSBoYXJkIGxpZmUgQXJsbyBQYXJrcw%3D%3D;False
DEAR MISS HOLLOWAY;hard life Kevin Abstract;DEAR MISS HOLLOWAY;2022-05-25;209906;33;;hard life, Kevin Abstract - DEAR MISS HOLLOWAY;https://www.youtube.com/watch?v=vMzT5U0WS0s&pp=ygUrREVBUiBNSVNTIEhPTExPV0FZIGhhcmQgbGlmZSBLZXZpbiBBYnN0cmFjdA%3D%3D;False
BEESWAX;hard life;BEESWAX;2022-04-19;188804;34;;hard life - BEESWAX;https://www.youtube.com/watch?v=C3cMfzxH3ys&pp=ygURQkVFU1dBWCBoYXJkIGxpZmU%3D;False
