name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Momentz (feat. De La Soul);Gorillaz, De La Soul, Kelvin Mercer;Humanz (Deluxe);2017-04-28;196906;48.0;['east coast hip hop', 'jazz rap', 'hip hop'];Momentz (feat. De La Soul);https://www.youtube.com/watch?v=wgFDXSCHkgo&pp=ygU5TW9tZW50eiBmZWF0IERlIExhIFNvdWwgR29yaWxsYXogRGUgTGEgU291bCBLZWx2aW4gTWVyY2Vy;True
Momentary Bliss (feat. slowthai and Slaves);Gorillaz, slowthai, SOFT PLAY;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;221386;54.0;['grime'];Gorillaz - Momentary Bliss ft. slowthai & Slaves (Episode One);https://www.youtube.com/watch?v=QTt7301PR5k&pp=ygVETW9tZW50YXJ5IEJsaXNzIGZlYXQgc2xvd3RoYWkgYW5kIFNsYXZlcyBHb3JpbGxheiBzbG93dGhhaSBTT0ZUIFBMQVk%3D;True
Ascension (feat. Vince Staples);Gorillaz, Vince Staples;Humanz (Deluxe);2017-04-28;155973;55.0;[];Gorillaz - Ascension (Official Audio);https://www.youtube.com/watch?v=hBA0PUQCvIA&pp=ygUzQXNjZW5zaW9uIGZlYXQgVmluY2UgU3RhcGxlcyBHb3JpbGxheiBWaW5jZSBTdGFwbGVz;True
Charger (feat. Grace Jones);Gorillaz, Grace Jones;Humanz (Deluxe);2017-04-28;214386;45.0;['art pop'];Charger (feat. Grace Jones);https://www.youtube.com/watch?v=15qFDdYTUFI&pp=ygUtQ2hhcmdlciBmZWF0IEdyYWNlIEpvbmVzIEdvcmlsbGF6IEdyYWNlIEpvbmVz;True
Saturnz Barz (feat. Popcaan);Gorillaz, Popcaan;Humanz (Deluxe);2017-04-28;181906;59.0;['ragga', 'soca', 'riddim', 'afrobeats', 'dancehall', 'reggae'];Gorillaz - Saturnz Barz (Spirit House);https://www.youtube.com/watch?v=5qJp6xlKEug&pp=ygUuU2F0dXJueiBCYXJ6IChmZWF0LiBQb3BjYWFuKSBHb3JpbGxheiwgUG9wY2Fhbg%3D%3D;True
She's My Collar (feat. Kali Uchis);Gorillaz, Kali Uchis;Humanz (Deluxe);2017-04-28;209560;72.0;[];"Gorillaz - She's My Collar (Lyrics) ft. Kali Uchis ""She's the serpentine, she's my collar"" [Tiktok]";https://www.youtube.com/watch?v=J5G0GC3s3cM&pp=ygU3U2hlJ3MgTXkgQ29sbGFyIChmZWF0LiBLYWxpIFVjaGlzKSBHb3JpbGxheiwgS2FsaSBVY2hpcw%3D%3D;True
We Got the Power (feat. Jehnny Beth);Gorillaz, Jehnny Beth;Humanz (Deluxe);2017-04-28;139560;44.0;[];Gorillaz - We Got The Power / LIVE with Noel Gallagher & Jehnny Beth on The Graham Norton Show;https://www.youtube.com/watch?v=rBTjYcXCOXE&pp=ygU2V2UgR290IHRoZSBQb3dlciBmZWF0IEplaG5ueSBCZXRoIEdvcmlsbGF6IEplaG5ueSBCZXRo;True
Let Me Out (feat. Mavis Staples & Pusha T);Gorillaz, Mavis Staples, Pusha T;Humanz (Deluxe);2017-04-28;175813;45.0;['soul'];Gorillaz - Let Me Out (Official Audio);https://www.youtube.com/watch?v=1dONxX9rifs&pp=ygVFTGV0IE1lIE91dCBmZWF0IE1hdmlzIFN0YXBsZXMgIFB1c2hhIFQgR29yaWxsYXogTWF2aXMgU3RhcGxlcyBQdXNoYSBU;True
The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK);Gorillaz, Rag'n'Bone Man, Zebra Katz, RAY BLK;Humanz (Deluxe);2017-04-28;234933;45.0;['hip house', 'alternative r&b'];The Apprentice - Gorillaz, Rag'n'Bone Man, Zebra Katz, RAY BLK |Lyrics| (Audio);https://www.youtube.com/watch?v=IYTyHrElW9I&pp=ygVdVGhlIEFwcHJlbnRpY2UgZmVhdCBSYWduQm9uZSBNYW4gWmVicmEgS2F0eiAgUkFZIEJMSyBHb3JpbGxheiBSYWduQm9uZSBNYW4gWmVicmEgS2F0eiBSQVkgQkxL;True
Andromeda (feat. DRAM);Gorillaz, DRAM;Humanz (Deluxe);2017-04-28;197546;61.0;[];Gorillaz - Andromeda (DRAM Special) [Audio];https://www.youtube.com/watch?v=zD6PveAO6l0&pp=ygUhQW5kcm9tZWRhIGZlYXQgRFJBTSBHb3JpbGxheiBEUkFN;True
The Valley of The Pagans (feat. Beck);Gorillaz, Beck;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;181028;53.0;[];Gorillaz - The Valley of the Pagans ft. Beck (Episode Eight);https://www.youtube.com/watch?v=aNGA90mUJds&pp=ygUwVGhlIFZhbGxleSBvZiBUaGUgUGFnYW5zIGZlYXQgQmVjayBHb3JpbGxheiBCZWNr;True
Pac-Man (feat. ScHoolboy Q);Gorillaz, ScHoolboy Q;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;192880;54.0;[];Gorillaz - PAC-MAN ft. ScHoolboy Q (Episode Five);https://www.youtube.com/watch?v=G-7U-FDql1A&pp=ygUtUGFjLU1hbiBmZWF0IFNjSG9vbGJveSBRIEdvcmlsbGF6IFNjSG9vbGJveSBR;True
Aries (feat. Peter Hook and Georgia);Gorillaz, Peter Hook, Georgia;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;253333;50.0;['acid house', 'madchester'];Gorillaz - Aries ft. Peter Hook & Georgia (Episode Three);https://www.youtube.com/watch?v=PKXloFW_ZCA&pp=ygU9QXJpZXMgZmVhdCBQZXRlciBIb29rIGFuZCBHZW9yZ2lhIEdvcmlsbGF6IFBldGVyIEhvb2sgR2VvcmdpYQ%3D%3D;True
Désolé (feat. Fatoumata Diawara) - Extended Version;Gorillaz, Fatoumata Diawara;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;333113;52.0;[];Gorillaz - Désolé ft. Fatoumata Diawara (Episode Two);https://www.youtube.com/watch?v=ZLKZKmdZEjM&pp=ygVRRMOpc29sw6kgKGZlYXQuIEZhdG91bWF0YSBEaWF3YXJhKSAtIEV4dGVuZGVkIFZlcnNpb24gR29yaWxsYXosIEZhdG91bWF0YSBEaWF3YXJh;True
Feel Good Inc.;Gorillaz;Demon Days;2005-05-23;222640;85.0;[];Gorillaz - Feel Good Inc. (Official Video);https://www.youtube.com/watch?v=HyHNuVaZJ-k&pp=ygUWRmVlbCBHb29kIEluYyBHb3JpbGxheg%3D%3D;True
Rhinestone Eyes;Gorillaz;Plastic Beach;2010-03-03;200173;75.0;[];Gorillaz - Rhinestone Eyes (Official Audio);https://www.youtube.com/watch?v=7GdsftXc0yU&pp=ygUYUmhpbmVzdG9uZSBFeWVzIEdvcmlsbGF6;True
Clint Eastwood;Gorillaz;Gorillaz;2001-03-26;340920;75.0;[];Gorillaz - Clint Eastwood (Official Video);https://www.youtube.com/watch?v=1V_xRb0x9aw&pp=ygUXQ2xpbnQgRWFzdHdvb2QgR29yaWxsYXo%3D;True
