name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
2 Hearts;Digitalism;I Love You, Dude;2011-06-20;236746;0.0;['alternative dance', 'indietronica', 'electroclash', 'electronic rock', 'new rave', 'french house'];Digitalism - 2 Hearts (Official Video);https://www.youtube.com/watch?v=ppRQEXhNC-o&pp=ygUTMiBIZWFydHMgRGlnaXRhbGlzbQ%3D%3D;False
She Don't Dance;Everyone You Know;She Don't Dance;2019-07-19;226610;49.0;[];Everyone You Know - She Don't Dance (Official Video);https://www.youtube.com/watch?v=ITg14gb3ofo&pp=ygUgU2hlIERvbnQgRGFuY2UgRXZlcnlvbmUgWW91IEtub3c%3D;False
Momentary Bliss (feat. slowthai and Slaves);Gorillaz, slowthai, SOFT PLAY;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;221386;54.0;['grime'];Gorillaz - Momentary Bliss ft. slowthai & Slaves (Episode One);https://www.youtube.com/watch?v=QTt7301PR5k&pp=ygVETW9tZW50YXJ5IEJsaXNzIGZlYXQgc2xvd3RoYWkgYW5kIFNsYXZlcyBHb3JpbGxheiBzbG93dGhhaSBTT0ZUIFBMQVk%3D;False
She's My Collar (feat. Kali Uchis);Gorillaz, Kali Uchis;Humanz (Deluxe);2017-04-28;209560;72.0;[];"Gorillaz - She's My Collar (Lyrics) ft. Kali Uchis ""She's the serpentine, she's my collar"" [Tiktok]";https://www.youtube.com/watch?v=J5G0GC3s3cM&pp=ygU3U2hlJ3MgTXkgQ29sbGFyIChmZWF0LiBLYWxpIFVjaGlzKSBHb3JpbGxheiwgS2FsaSBVY2hpcw%3D%3D;
Andromeda (feat. DRAM);Gorillaz, DRAM;Humanz (Deluxe);2017-04-28;197546;61.0;[];Gorillaz - Andromeda (DRAM Special) [Audio];https://www.youtube.com/watch?v=zD6PveAO6l0&pp=ygUhQW5kcm9tZWRhIGZlYXQgRFJBTSBHb3JpbGxheiBEUkFN;False
Aries (feat. Peter Hook and Georgia);Gorillaz, Peter Hook, Georgia;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;253333;50.0;['acid house', 'madchester'];Gorillaz - Aries ft. Peter Hook & Georgia (Episode Three);https://www.youtube.com/watch?v=PKXloFW_ZCA&pp=ygU9QXJpZXMgZmVhdCBQZXRlciBIb29rIGFuZCBHZW9yZ2lhIEdvcmlsbGF6IFBldGVyIEhvb2sgR2VvcmdpYQ%3D%3D;False
Rhinestone Eyes;Gorillaz;Plastic Beach;2010-03-03;200173;75.0;[];Gorillaz - Rhinestone Eyes (Official Audio);https://www.youtube.com/watch?v=7GdsftXc0yU&pp=ygUYUmhpbmVzdG9uZSBFeWVzIEdvcmlsbGF6;
On Melancholy Hill;Gorillaz;Plastic Beach;2010-03-03;233866;78.0;[];Gorillaz - On Melancholy Hill (Official Video);https://www.youtube.com/watch?v=04mfKJWDSzI&pp=ygUbT24gTWVsYW5jaG9seSBIaWxsIEdvcmlsbGF6;False
DARE;Gorillaz;Demon Days;2005-05-23;244999;76.0;[];Gorillaz - DARE (Official Video);https://www.youtube.com/watch?v=uAOR6ib95kQ&pp=ygUNREFSRSBHb3JpbGxheg%3D%3D;False
Cracker Island (feat. Thundercat);Gorillaz, Thundercat;Cracker Island (feat. Thundercat);2022-06-22;213750;58.0;[];Gorillaz - Cracker Island ft. Thundercat (Official Video);https://www.youtube.com/watch?v=S03T47hapAc&pp=ygUyQ3JhY2tlciBJc2xhbmQgZmVhdCBUaHVuZGVyY2F0IEdvcmlsbGF6IFRodW5kZXJjYXQ%3D;False
Circles;Digitalism;I Love You, Dude;2011-06-20;228293;0.0;['alternative dance', 'indietronica', 'electroclash', 'electronic rock', 'new rave', 'french house'];Digitalism - Circles;https://www.youtube.com/watch?v=xqw6u1cSZB8&pp=ygUSQ2lyY2xlcyBEaWdpdGFsaXNt;False
BEESWAX;hard life;BEESWAX;2022-04-19;188804;34.0;[];hard life - BEESWAX;https://www.youtube.com/watch?v=C3cMfzxH3ys&pp=ygURQkVFU1dBWCBoYXJkIGxpZmU%3D;False
skeletons;hard life;life's a beach;2021-05-28;178713;50.0;[];hard life - skeletons;https://www.youtube.com/watch?v=87U_l3AvyX0&pp=ygUTc2tlbGV0b25zIGhhcmQgbGlmZQ%3D%3D;False
nightmares;hard life;life's a beach;2021-05-28;207326;51.0;[];hard life - nightmares;https://www.youtube.com/watch?v=-dQnXExTp2w&pp=ygUUbmlnaHRtYXJlcyBoYXJkIGxpZmU%3D;False
Fear;Reptile Youth;Fear;2013-04-22;284950;0.0;['electronic rock'];Reptile Youth: Fear (official video);https://www.youtube.com/watch?v=RANSvs3orEk&pp=ygUSRmVhciBSZXB0aWxlIFlvdXRo;False
Colours;Reptile Youth;Rivers That Run for a Sea That Is Gone;2014-03-10;244053;0.0;['electronic rock'];Reptile Youth - Colours;https://www.youtube.com/watch?v=o6ZI9JFtiWE&pp=ygUVQ29sb3VycyBSZXB0aWxlIFlvdXRo;False
JJ;Reptile Youth;Rivers That Run for a Sea That Is Gone;2014-03-10;298346;0.0;['electronic rock'];Reptile Youth - JJ;https://www.youtube.com/watch?v=8ZtlmVoxU6Y&pp=ygUQSkogUmVwdGlsZSBZb3V0aA%3D%3D;False
Blinded By The Moonlight;The Amplifetes;The Amplifetes;2010-01-01;206888;29.0;['electronic rock'];The Amplifetes - Blinded By The Moonlight Official;https://www.youtube.com/watch?v=o5_b2uQwOUM&pp=ygUnQmxpbmRlZCBCeSBUaGUgTW9vbmxpZ2h0IFRoZSBBbXBsaWZldGVz;False
Let’s Go;Stuck in the Sound;Pursuit;2012-01-30;211453;56.0;[];Stuck In the Sound - Let's Go [Official Video];https://www.youtube.com/watch?v=52Gg9CqhbP8&pp=ygUaTGV0cyBHbyBTdHVjayBpbiB0aGUgU291bmQ%3D;False
Truth;Bloc Party;Four;2012-08-20;240373;35.0;['indie rock'];Truth;https://www.youtube.com/watch?v=UsLlJQAaGew&pp=ygUQVHJ1dGggQmxvYyBQYXJ0eQ%3D%3D;
Retreat;The Rakes;Capture / Release;2005-01-01;178093;25.0;['garage rock', 'new rave'];The Rakes - Retreat;https://www.youtube.com/watch?v=bW8mTkP8Ng0&pp=ygURUmV0cmVhdCBUaGUgUmFrZXM%3D;False
Stop Taking My Time;Club 8;Above the City;2013-01-01;170786;6.0;['jangle pop'];"Club 8 ""Stop Taking My Time""";https://www.youtube.com/watch?v=oG6qtjvjrdI&pp=ygUaU3RvcCBUYWtpbmcgTXkgVGltZSBDbHViIDg%3D;False
Suéltame, Bogotá;Diamante Eléctrico;Mira Lo Que Me Hiciste Hacer;2021-02-11;228543;0.0;['latin rock', 'latin r&b', 'latin indie', 'latin alternative', 'rock en español'];Diamante Eléctrico - Suéltame, Bogotá [Video Oficial];https://www.youtube.com/watch?v=sO3UIoD0Ays&pp=ygUiU3VlbHRhbWUgQm9nb3RhIERpYW1hbnRlIEVsZWN0cmljbw%3D%3D;False
Keep Moving;Jungle;Loving In Stereo;2021-08-13;240880;64.0;[];Jungle - Keep Moving (Official Video);https://www.youtube.com/watch?v=7-lWzQd_xeQ&pp=ygUSS2VlcCBNb3ZpbmcgSnVuZ2xl;False
Tiroteo;Marc Seguí, Pol Granch;Tiroteo;2021-01-15;266290;65.0;[];Marc Seguí, Pol Granch - Tiroteo (Videoclip Oficial);https://www.youtube.com/watch?v=dkWuczbmkIo&pp=ygUdVGlyb3RlbyBNYXJjIFNlZ3VpIFBvbCBHcmFuY2g%3D;False
Where Damage Isn't Already Done;The Radio Dept.;Lesser Matters;2004-08-30;163493;32.0;['shoegaze', 'dream pop'];The Radio Dept - Where Damage isnt Already Done (Official Video);https://www.youtube.com/watch?v=7iVXEMyQnpA&pp=ygUtV2hlcmUgRGFtYWdlIElzbnQgQWxyZWFkeSBEb25lIFRoZSBSYWRpbyBEZXB0;False
Tranz;Gorillaz;The Now Now;2018-06-29;162626;62.0;[];Gorillaz - Tranz (Official Video);https://www.youtube.com/watch?v=E2Q52cVx7Bo&pp=ygUOVHJhbnogR29yaWxsYXo%3D;
The Look;Metronomy;The English Riviera;2011-04-11;277653;72.0;['alternative dance', 'indietronica', 'new rave'];Metronomy - The Look (Official Video);https://www.youtube.com/watch?v=sFrNsSnk8GM&pp=ygUSVGhlIExvb2sgTWV0cm9ub215;False
Búho;Mr. Bleat;Búho;2018-06-08;300338;30.0;['latin indie', 'latin alternative'];Mr. Bleat - Búho;https://www.youtube.com/watch?v=sT5PhoXUWQk&pp=ygUNQnVobyBNciBCbGVhdA%3D%3D;False
EME;MIEL, Bardo José;EME;2021-07-28;191213;38.0;['latin indie'];EME;https://www.youtube.com/watch?v=sC-mOCnGI64&pp=ygUTRU1FIE1JRUwgQmFyZG8gSm9zZQ%3D%3D;False
Play God;Everyone You Know;Play God;2019-12-06;178877;31.0;[];Sam Fender - Play God (Everyone You Know Refix);https://www.youtube.com/watch?v=wGd42P6VCKo&pp=ygUaUGxheSBHb2QgRXZlcnlvbmUgWW91IEtub3c%3D;False
