name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Forever Young - Extended Mix;Symbol;SUPER EUROBEAT presents INITIAL D WORLD HITS SELECTION 5;2020-07-08;380533;46.0;[];FOREVER YOUNG;https://www.youtube.com/watch?v=MVg_wpIfcd4&pp=ygUjRm9yZXZlciBZb3VuZyAtIEV4dGVuZGVkIE1peCBTeW1ib2w%3D;True
Save Me - Extended;Leslie Parrish;Eurobeat Sound Tracks;2019-06-01;338156;46.0;[];Save Me (Extended);https://www.youtube.com/watch?v=c8trSrT2cx8&pp=ygUhU2F2ZSBNZSAtIEV4dGVuZGVkIExlc2xpZSBQYXJyaXNo;
Crazy on Emotion - Extended Version;Ace;Eurobeat Ace 1;2018-03-17;241931;0.0;['hi-nrg'];ACE - CRAZY ON EMOTION;https://www.youtube.com/watch?v=C6ji66kPuwU&pp=ygUnQ3Jhenkgb24gRW1vdGlvbiAtIEV4dGVuZGVkIFZlcnNpb24gQWNl;True
DON'T STOP THE MUSIC;Lou Grant;SUPER EUROBEAT presents INITIAL D 〜D SELECTION〜;1998-07-29;288100;53.0;[];LOU GRANT / DON'T STOP THE MUSIC;https://www.youtube.com/watch?v=KFaOi6ViVTY&pp=ygUdRE9OVCBTVE9QIFRIRSBNVVNJQyBMb3UgR3JhbnQ%3D;True
Right Now - Extended;Dark Angel;Eurobeat Sound Tracks;2019-06-01;318813;32.0;[];Right Now (Extended);https://www.youtube.com/watch?v=N7fdriUrapI&pp=ygUfUmlnaHQgTm93IC0gRXh0ZW5kZWQgRGFyayBBbmdlbA%3D%3D;True
LOVE IS IN DANGER;Priscilla;SUPER EUROBEAT presents INITIAL D 〜D SELECTION 2〜;1998-10-28;290233;47.0;[];Love is in Danger (Extended);https://www.youtube.com/watch?v=x9N3SOyRYVA&pp=ygUbTE9WRSBJUyBJTiBEQU5HRVIgUHJpc2NpbGxh;True
Nonsense Sensation;Paul Harris;Delta Ultimate Collection Presents;2019-02-20;314501;23.0;['hi-nrg'];Initial D - Nonsense Sensation;https://www.youtube.com/watch?v=71Z5CMBdGxQ&pp=ygUeTm9uc2Vuc2UgU2Vuc2F0aW9uIFBhdWwgSGFycmlz;True
I Just Wanna Call You Now - Extended Mix;Norma Sheffield;SUPER EUROBEAT presents INITIAL D WORLD HITS SELECTION 5;2020-07-08;326266;29.0;['hi-nrg'];I Just Wanna Call You Now (Extended Mix);https://www.youtube.com/watch?v=_Br6xG7w1R4&pp=ygU4SSBKdXN0IFdhbm5hIENhbGwgWW91IE5vdyAtIEV4dGVuZGVkIE1peCBOb3JtYSBTaGVmZmllbGQ%3D;True
Let'S Go, Come On - Extended Mix;Manuel;SUPER EUROBEAT presents INITIAL D WORLD HITS SELECTION 4;2020-07-08;308466;35.0;[];Manuel - Let's Go, Come On (Extended Mix);https://www.youtube.com/watch?v=0eL4VLebinI&pp=ygUlTGV0UyBHbyBDb21lIE9uIC0gRXh0ZW5kZWQgTWl4IE1hbnVlbA%3D%3D;True
BOOM BOOM JAPAN;dave rodgers;SUPER EUROBEAT presents INITIAL D〜D SELECTION 3〜;1999-01-01;299100;40.0;['hi-nrg'];DAVE RODGERS / BOOM BOOM JAPAN;https://www.youtube.com/watch?v=6dKnG3WMDck&pp=ygUcQk9PTSBCT09NIEpBUEFOIGRhdmUgcm9kZ2Vycw%3D%3D;True
