name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Intro;LA ÉLITE;Sorry Not Sorry;2019-04-10;241333;;['indie punk'];Intro;https://www.youtube.com/watch?v=7xC9BBKpihc&pp=ygUPSW50cm8gTEEgw4lMSVRF;True
Niño Rata;LA ÉLITE;Sorry Not Sorry;2019-04-10;171789;;['indie punk'];La Élite - “Niño rata” | Conciertos de Radio 3 (2023);https://www.youtube.com/watch?v=tvmrPA1u1bc&pp=ygUUTmnDsW8gUmF0YSBMQSDDiUxJVEU%3D;True
Neo Hippie;LA ÉLITE;Sorry Not Sorry;2019-04-10;104842;;['indie punk'];LA ÉLITE - Neo Hippie [SORRY NOT SORRY] [SYNTH PUNK 2019];https://www.youtube.com/watch?v=XvXkUdBZffY&pp=ygUUTmVvIEhpcHBpZSBMQSDDiUxJVEU%3D;True
Siempre Sale Mal;LA ÉLITE;Sorry Not Sorry;2019-04-10;154105;;['indie punk'];Siempre Sale Mal [SORRY NOT SORRY] [SYNTH PUNK 2019];https://www.youtube.com/watch?v=3CLcLITazk0&pp=ygUaU2llbXByZSBTYWxlIE1hbCBMQSDDiUxJVEU%3D;True
Otra Vez;LA ÉLITE, Pokito Paranoiko;Sorry Not Sorry;2019-04-10;226000;;['indie punk'];Otra Vez ft. Pokito Paranoiko [SORRY NOT SORRY] [SYNTH PUNK 2019];https://www.youtube.com/watch?v=sFfuvU94U2c&pp=ygUkT3RyYSBWZXogTEEgw4lMSVRFLCBQb2tpdG8gUGFyYW5vaWtv;True
Se Fijan en Mí;LA ÉLITE;Sorry Not Sorry;2019-04-10;192000;;['indie punk'];Se Fijan En Mi [SORRY NOT SORRY] [SYNTH PUNK 2019];https://www.youtube.com/watch?v=OO1Typ2gSuA&pp=ygUZU2UgRmlqYW4gZW4gTcOtIExBIMOJTElURQ%3D%3D;True
Pigs Don't Cry;LA ÉLITE;Sorry Not Sorry;2019-04-10;101368;;['indie punk'];LA ÉLITE - PIGS DON'T CRY [SORRY NOT SORRY] [SYNTH PUNK 2019];https://www.youtube.com/watch?v=zO-TYo7ByAU&pp=ygUYUGlncyBEb24ndCBDcnkgTEEgw4lMSVRF;True
Vida de 1€;LA ÉLITE;Sorry Not Sorry;2019-04-10;161828;;['indie punk'];Vida de 1€;https://www.youtube.com/watch?v=495PpZgXKlA&pp=ygUWVmlkYSBkZSAx4oKsIExBIMOJTElURQ%3D%3D;True
Dervi Variant;LA ÉLITE, Yudi Saint X;Sorry Not Sorry;2019-04-10;192000;;['indie punk'];Derbi Variant ft. Yudi Saint X [SORRY NOT SORRY] [SYNTH PUNK 2019];https://www.youtube.com/watch?v=519iEPnqrzM&pp=ygUlRGVydmkgVmFyaWFudCBMQSDDiUxJVEUsIFl1ZGkgU2FpbnQgWNIHCQlPCQGHKiGM7w%3D%3D;True
8'70;LA ÉLITE;12 Latas;2019-05-09;166661;;['indie punk'];LA ÉLITE ~~~~~ 8'70 [12 LATAS EP];https://www.youtube.com/watch?v=_Wl17uJLSK0&pp=ygUOOCc3MCBMQSDDiUxJVEU%3D;True
ELLA PERDIÓ EL CONTROL (She's Lost Control);LA ÉLITE;12 Latas;2019-05-09;257670;;['indie punk'];LA ÉLITE ~~~~~ ELLA PERDIÓ EL CONTROL [12 LATAS EP];https://www.youtube.com/watch?v=UjVHO3sIbJA&pp=ygU2RUxMQSBQRVJEScOTIEVMIENPTlRST0wgKFNoZSdzIExvc3QgQ29udHJvbCkgTEEgw4lMSVRF;True
MARLBURRO;LA ÉLITE;12 Latas;2019-05-09;298553;;['indie punk'];LA ÉLITE ~~~~~ MARLBURRO [12 LATAS EP];https://www.youtube.com/watch?v=0or4YZOV4jw&pp=ygUTTUFSTEJVUlJPIExBIMOJTElURQ%3D%3D;True
HAPPY TRIPPY - BONUS TRACK;LA ÉLITE;12 Latas;2019-05-09;64496;;['indie punk'];HAPPY TRIPPY (BONUS TRACK);https://www.youtube.com/watch?v=JuZJzxe1EX4&pp=ygUkSEFQUFkgVFJJUFBZIC0gQk9OVVMgVFJBQ0sgTEEgw4lMSVRF;True
Nuit Folle;LA ÉLITE;Nuevo Punk;2022-12-21;193500;;['indie punk'];LA ÉLITE - Nuit Folle (Audio Oficial) [Synthetik Punk 2021];https://www.youtube.com/watch?v=lsHN8plGHhw&pp=ygUUTnVpdCBGb2xsZSBMQSDDiUxJVEXSBwkJTwkBhyohjO8%3D;True
Transpotting;LA ÉLITE, The Parrots;Nuevo Punk;2022-12-21;115782;;['indie punk'];LA ÉLITE + The Parrots - Transpotting (Video Oficial) [Nuevo Punk 2022];https://www.youtube.com/watch?v=ywyNB3bYGuo&pp=ygUjVHJhbnNwb3R0aW5nIExBIMOJTElURSwgVGhlIFBhcnJvdHPSBwkJTwkBhyohjO8%3D;True
Todos Me Miran Mal;LA ÉLITE;Nuevo Punk;2022-12-21;142001;;['indie punk'];LA ÉLITE — Todos Me Miran Mal (Video Oficial) [SYNTH PUNK 2022];https://www.youtube.com/watch?v=n-tHGLVczuU&pp=ygUcVG9kb3MgTWUgTWlyYW4gTWFsIExBIMOJTElURQ%3D%3D;True
Sixpack;LA ÉLITE;Nuevo Punk;2022-12-21;100764;;['indie punk'];Sixpack;https://www.youtube.com/watch?v=6mUZHkfE7kM&pp=ygURU2l4cGFjayBMQSDDiUxJVEXSBwkJTwkBhyohjO8%3D;True
Contento De Ser Feo;LA ÉLITE;Nuevo Punk;2022-12-21;162119;;['indie punk'];Contento De Ser Feo;https://www.youtube.com/watch?v=_5-2lC31HQU&pp=ygUdQ29udGVudG8gRGUgU2VyIEZlbyBMQSDDiUxJVEU%3D;True
A 180 Con Mi Monopatín;LA ÉLITE;Nuevo Punk;2022-12-21;206909;;['indie punk'];A 180 Con Mi Monopatín;https://www.youtube.com/watch?v=i_5X2ZfyL_c&pp=ygUhQSAxODAgQ29uIE1pIE1vbm9wYXTDrW4gTEEgw4lMSVRF;True
Redneck Punk;LA ÉLITE;Nuevo Punk;2022-12-21;59115;;['indie punk'];Redneck Punk;https://www.youtube.com/watch?v=oKANVqobJwE&pp=ygUWUmVkbmVjayBQdW5rIExBIMOJTElURQ%3D%3D;True
Mata A Tu Jefe;LA ÉLITE;Nuevo Punk;2022-12-21;108215;;['indie punk'];Mata A Tu Jefe;https://www.youtube.com/watch?v=923NZ0cDdBk&pp=ygUYTWF0YSBBIFR1IEplZmUgTEEgw4lMSVRF;True
Bailando;LA ÉLITE;Nuevo Punk;2022-12-21;136550;;['indie punk'];LA ÉLITE - Bailando (Video Oficial) [Synth Punk 2021];https://www.youtube.com/watch?v=YXGcoGfikWg&pp=ygUSQmFpbGFuZG8gTEEgw4lMSVRF;True
Voy A Quemar;LA ÉLITE;Nuevo Punk;2022-12-21;165846;;['indie punk'];Voy A Quemar;https://www.youtube.com/watch?v=hS9DeUMGo0E&pp=ygUWVm95IEEgUXVlbWFyIExBIMOJTElURQ%3D%3D;True
Puti Cluf;LA ÉLITE, Ben Yart, Kiliki;Nuevo Punk;2022-12-21;109596;;['indie punk'];Puti Cluf;https://www.youtube.com/watch?v=9mmhFgrZR5E&pp=ygUlUHV0aSBDbHVmIExBIMOJTElURSwgQmVuIFlhcnQsIEtpbGlraQ%3D%3D;True
Pintando En Un Cd.mp3;LA ÉLITE;Nuevo Punk;2022-12-21;149989;;['indie punk'];Pintando En Un Cd.mp3;https://www.youtube.com/watch?v=4Mqakzg3gR4&pp=ygUfUGludGFuZG8gRW4gVW4gQ2QubXAzIExBIMOJTElURQ%3D%3D;True
Marlburro;LA ÉLITE;Nuevo Punk;2022-12-21;217960;;['indie punk'];LA ÉLITE ~~~~~ MARLBURRO [12 LATAS EP];https://www.youtube.com/watch?v=0or4YZOV4jw&pp=ygUTTWFybGJ1cnJvIExBIMOJTElURQ%3D%3D;True
Me Ha Llamado El Tetico;LA ÉLITE, Mainline Magic Orchestra;Nuevo Punk;2022-12-21;264492;;['hard house', 'indie punk'];Me Ha Llamado El Tetico;https://www.youtube.com/watch?v=oL8AGMnce9U&pp=ygU7TWUgSGEgTGxhbWFkbyBFbCBUZXRpY28gTEEgw4lMSVRFLCBNYWlubGluZSBNYWdpYyBPcmNoZXN0cmE%3D;True
Vampireando;Hofe, 4:40, LA ÉLITE;Vampireando;2023-05-31;143733;;['indie punk'];HOFE X 4:40, LA ÉLITE - VAMPIREANDO;https://www.youtube.com/watch?v=qaRKB86W-bI&pp=ygUhVmFtcGlyZWFuZG8gSG9mZSwgNDo0MCwgTEEgw4lMSVRF0gcJCU8JAYcqIYzv;True
Gran Noche;LA ÉLITE;Escaleras Al Cielo;2024-05-10;144615;;['indie punk'];LA ÉLITE - Gran Noche (video oficial) [SYNTH PUNK 2024];https://www.youtube.com/watch?v=12EY0YecTkA&pp=ygUUR3JhbiBOb2NoZSBMQSDDiUxJVEXSBwkJTwkBhyohjO8%3D;True
Vida de 1€;LA ÉLITE;Escaleras Al Cielo;2024-05-10;123878;;['indie punk'];Vida de 1€;https://www.youtube.com/watch?v=495PpZgXKlA&pp=ygUWVmlkYSBkZSAx4oKsIExBIMOJTElURQ%3D%3D;True
Otra Noche Más;LA ÉLITE, Pokito Paranoiko;Escaleras Al Cielo;2024-05-10;147959;;['indie punk'];Otra Noche Más;https://www.youtube.com/watch?v=f2krb05O7u0&pp=ygUrT3RyYSBOb2NoZSBNw6FzIExBIMOJTElURSwgUG9raXRvIFBhcmFub2lrbw%3D%3D;True
Alejate De Mi;LA ÉLITE;Escaleras Al Cielo;2024-05-10;109202;;['indie punk'];Alejate De Mi;https://www.youtube.com/watch?v=nnOxWz7Qig4&pp=ygUXQWxlamF0ZSBEZSBNaSBMQSDDiUxJVEU%3D;True
Marca Personal;LA ÉLITE;Escaleras Al Cielo;2024-05-10;126679;;['indie punk'];Marca Personal;https://www.youtube.com/watch?v=q8jm_kwA2Tg&pp=ygUYTWFyY2EgUGVyc29uYWwgTEEgw4lMSVRF;True
Boulevard boeis;LA ÉLITE;Escaleras Al Cielo;2024-05-10;125081;;['indie punk'];Boulevard boeis;https://www.youtube.com/watch?v=q-gHqYwKutE&pp=ygUZQm91bGV2YXJkIGJvZWlzIExBIMOJTElURQ%3D%3D;True
Plan de Mierda;LA ÉLITE, Diego Ibáñez;Escaleras Al Cielo;2024-05-10;202348;;['indie punk'];La Élite ft. Diego Ibáñez - Plan de Mierda | GALLERY SESSION;https://www.youtube.com/watch?v=8iONJusFt7Q&pp=ygUoUGxhbiBkZSBNaWVyZGEgTEEgw4lMSVRFLCBEaWVnbyBJYsOhw7Fleg%3D%3D;True
Escaleras Al Cielo;LA ÉLITE;Escaleras Al Cielo;2024-05-10;132937;;['indie punk'];Escaleras Al Cielo;https://www.youtube.com/watch?v=-PRsz9sr5Q4&pp=ygUcRXNjYWxlcmFzIEFsIENpZWxvIExBIMOJTElURQ%3D%3D;True
Me Despido De Ti;LA ÉLITE;Escaleras Al Cielo;2024-05-10;154075;;['indie punk'];Me Despido De Ti;https://www.youtube.com/watch?v=MSuP8-OFj7U&pp=ygUaTWUgRGVzcGlkbyBEZSBUaSBMQSDDiUxJVEU%3D;True
Cucaracha Sexy;LA ÉLITE, Mda;Escaleras Al Cielo;2024-05-10;135464;;['indie punk', 'hyperpop'];LA ÉLITE + MDA - Cucaracha Sexy (Video Oficial) [SYNTH PUNK 2024];https://www.youtube.com/watch?v=KPnnIOcs468&pp=ygUdQ3VjYXJhY2hhIFNleHkgTEEgw4lMSVRFLCBNZGE%3D;True
Frank Cuesta;LA ÉLITE, Nerve Agent;Escaleras Al Cielo;2024-05-10;136474;;['indie punk', 'tekno'];Frank Cuesta;https://www.youtube.com/watch?v=uh7wixiOhXo&pp=ygUjRnJhbmsgQ3Vlc3RhIExBIMOJTElURSwgTmVydmUgQWdlbnQ%3D;True
Gatos Callejeros;LA ÉLITE;Escaleras Al Cielo;2024-05-10;142309;;['indie punk'];Gatos Callejeros;https://www.youtube.com/watch?v=epuoO3QWzas&pp=ygUaR2F0b3MgQ2FsbGVqZXJvcyBMQSDDiUxJVEU%3D;True
Cardio y caladas;Mujeres, LA ÉLITE;Cardio y caladas;2024-06-20;149714;;['indie punk'];Mujeres, LA ÉLITE - Cardio y caladas;https://www.youtube.com/watch?v=C-SAOHsJjpE&pp=ygUjQ2FyZGlvIHkgY2FsYWRhcyBNdWplcmVzLCBMQSDDiUxJVEU%3D;True
Historia Triste;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;122115;;['indie punk'];Historia Triste;https://www.youtube.com/watch?v=wvdST1K60AE&pp=ygUZSGlzdG9yaWEgVHJpc3RlIExBIMOJTElURQ%3D%3D;True
Perro Pantera;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;122927;;['indie punk'];Perro Pantera;https://www.youtube.com/watch?v=05hWJQUMr2c&pp=ygUXUGVycm8gUGFudGVyYSBMQSDDiUxJVEXSBwkJTwkBhyohjO8%3D;True
Illuminati Corp;LA ÉLITE, TETAS FRÍAS;DIRECTOS AL INFIERNO;2024-10-31;138437;;['indie punk'];Illuminati Corp - LA ÉLITE feat. TETAS FRÍAS (lyric video);https://www.youtube.com/watch?v=GHugMBev4u4&pp=ygUnSWxsdW1pbmF0aSBDb3JwIExBIMOJTElURSwgVEVUQVMgRlLDjUFT;True
Sangre Azul;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;144664;;['indie punk'];Sangre Azul;https://www.youtube.com/watch?v=FC9KT76xehQ&pp=ygUVU2FuZ3JlIEF6dWwgTEEgw4lMSVRF;True
Forasteros;LA ÉLITE, LOS PINTAOS;DIRECTOS AL INFIERNO;2024-10-31;161118;;['indie punk', 'punk rap'];LA ÉLITE + LOS PINTAOS - Forasteros (video oficial);https://www.youtube.com/watch?v=VLG5H6zzOJ8&pp=ygUhRm9yYXN0ZXJvcyBMQSDDiUxJVEUsIExPUyBQSU5UQU9T;True
Bar de Paco;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;92802;;['indie punk'];Bar de Paco;https://www.youtube.com/watch?v=zEJpeFsVhuw&pp=ygUVQmFyIGRlIFBhY28gTEEgw4lMSVRF;True
Carafutbol;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;122788;;['indie punk'];Carafutbol;https://www.youtube.com/watch?v=s5Y7Qf88RHo&pp=ygUUQ2FyYWZ1dGJvbCBMQSDDiUxJVEU%3D;True
Heroe Sin Capa;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;97455;;['indie punk'];Heroe Sin Capa;https://www.youtube.com/watch?v=0mntGcPWJE0&pp=ygUYSGVyb2UgU2luIENhcGEgTEEgw4lMSVRF;True
Fuera del Disco-Pub!;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;99466;;['indie punk'];Fuera del Disco-Pub!;https://www.youtube.com/watch?v=-4Gfsj6YY0c&pp=ygUeRnVlcmEgZGVsIERpc2NvLVB1YiEgTEEgw4lMSVRF;True
Cruz Invertida;LA ÉLITE, Rojuu;DIRECTOS AL INFIERNO;2024-10-31;139791;;['indie punk', 'hyperpop'];Cruz Invertida;https://www.youtube.com/watch?v=5zD9eCtJ6JE&pp=ygUfQ3J1eiBJbnZlcnRpZGEgTEEgw4lMSVRFLCBSb2p1dQ%3D%3D;True
Lokos i Punkarres;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;128466;;['indie punk'];Lokos i Punkarres;https://www.youtube.com/watch?v=p3D5zig7fPg&pp=ygUbTG9rb3MgaSBQdW5rYXJyZXMgTEEgw4lMSVRF;True
Vivo en un Cenicero;LA ÉLITE, Gloory Hole;DIRECTOS AL INFIERNO;2024-10-31;94630;;['indie punk', 'mexican indie'];Vivo en un Cenicero;https://www.youtube.com/watch?v=-RCVQAj3kBQ&pp=ygUqVml2byBlbiB1biBDZW5pY2VybyBMQSDDiUxJVEUsIEdsb29yeSBIb2xl;True
