name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Soberbia;Kaotiko;Mundo Kaotiko;2001-01-01;179466;;['punk', 'ska', 'ska punk'];Soberbia;https://www.youtube.com/watch?v=tEGhJZ33qTg&pp=ygUQU29iZXJiaWEgS2FvdGlrbw%3D%3D;True
Mi Curro;Kaotiko;Mundo Kaotiko;2001-01-01;196506;;['punk', 'ska', 'ska punk'];Mi Curro;https://www.youtube.com/watch?v=nUAiYNijN9E&pp=ygUQTWkgQ3Vycm8gS2FvdGlrbw%3D%3D;True
Otra Noche;Kaotiko;Mundo Kaotiko;2001-01-01;190746;;['punk', 'ska', 'ska punk'];Kaotiko - Otra Noche;https://www.youtube.com/watch?v=eAMwDYz6PUE&pp=ygUST3RyYSBOb2NoZSBLYW90aWtv;True
Odio Obedecer;Kaotiko;Mundo Kaotiko;2001-01-01;180666;;['punk', 'ska', 'ska punk'];Odio Obedecer;https://www.youtube.com/watch?v=KZDPREnkG_o&pp=ygUVT2RpbyBPYmVkZWNlciBLYW90aWtv;True
Contento de Ser Así;Kaotiko;Mundo Kaotiko;2001-01-01;176320;;['punk', 'ska', 'ska punk'];Contento de Ser Así;https://www.youtube.com/watch?v=HJmJyqs3N4Y&pp=ygUcQ29udGVudG8gZGUgU2VyIEFzw60gS2FvdGlrbw%3D%3D;True
No Como Barby No!!;Kaotiko;Mundo Kaotiko;2001-01-01;198946;;['punk', 'ska', 'ska punk'];No Como Barby No!!;https://www.youtube.com/watch?v=ntEulrdc1DY&pp=ygUaTm8gQ29tbyBCYXJieSBObyEhIEthb3Rpa28%3D;True
En el Barrio de Latón;Kaotiko;Mundo Kaotiko;2001-01-01;209066;;['punk', 'ska', 'ska punk'];En el Barrio de Latón;https://www.youtube.com/watch?v=pphdRiyqB7s&pp=ygUeRW4gZWwgQmFycmlvIGRlIExhdMOzbiBLYW90aWtv;True
Vueltas y Vueltas;Kaotiko;Mundo Kaotiko;2001-01-01;212160;;['punk', 'ska', 'ska punk'];Vueltas y Vueltas;https://www.youtube.com/watch?v=se4MKsqzDXQ&pp=ygUZVnVlbHRhcyB5IFZ1ZWx0YXMgS2FvdGlrbw%3D%3D;True
Mundo Kaotiko;Kaotiko;Mundo Kaotiko;2001-01-01;195933;;['punk', 'ska', 'ska punk'];KAOTIKO - MUNDO KAOTIKO - Album completo - Full Album;https://www.youtube.com/watch?v=tqjRmqkhApQ&pp=ygUVTXVuZG8gS2FvdGlrbyBLYW90aWtv;True
El Último Hipy;Kaotiko;Mundo Kaotiko;2001-01-01;207813;;['punk', 'ska', 'ska punk'];El Último Hipy;https://www.youtube.com/watch?v=FlUQCC70S5g&pp=ygUXRWwgw5psdGltbyBIaXB5IEthb3Rpa2_SBwkJTwkBhyohjO8%3D;True
María Libre;Kaotiko;Mundo Kaotiko;2001-01-01;172640;;['punk', 'ska', 'ska punk'];María Libre;https://www.youtube.com/watch?v=7YuHu3rAtQA&pp=ygUUTWFyw61hIExpYnJlIEthb3Rpa2_SBwkJTwkBhyohjO8%3D;True
Siempre Igual;Kaotiko;Mundo Kaotiko;2001-01-01;193386;;['punk', 'ska', 'ska punk'];Siempre Igual;https://www.youtube.com/watch?v=C_BO8oQ407I&pp=ygUVU2llbXByZSBJZ3VhbCBLYW90aWtv;True
Jhimy Kaos!!;Kaotiko;Mundo Kaotiko;2001-01-01;125573;;['punk', 'ska', 'ska punk'];Jhimy Kaos!!;https://www.youtube.com/watch?v=SY9dTRPHYiY&pp=ygUUSmhpbXkgS2FvcyEhIEthb3Rpa28%3D;True
