name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Ndnt;Rodol VX, Nerve Agent;Autosabotaje;2021-03-26;223315;15;['tekno'];Ndnt;https://www.youtube.com/watch?v=Ljr0nLP584k&pp=ygUaTmRudCBSb2RvbCBWWCwgTmVydmUgQWdlbnQ%3D;True
Veinte Metros (Y Fin);Rodol VX, Nerve Agent;Autosabotaje;2021-03-26;226729;6;['tekno'];Veinte Metros (Y Fin);https://www.youtube.com/watch?v=EZ4fUIjKjAs&pp=ygUrVmVpbnRlIE1ldHJvcyAoWSBGaW4pIFJvZG9sIFZYLCBOZXJ2ZSBBZ2VudA%3D%3D;True
Se Que No Debo - Remix;Parkineos, Orslok;Se Que No Debo (Remix);2022-04-08;172935;34;['tekno', 'hardcore techno', 'hyperpop', 'hardcore', 'techno'];Se Que No Debo (Remix);https://www.youtube.com/watch?v=hV6zOtTg9gQ&pp=ygUoU2UgUXVlIE5vIERlYm8gLSBSZW1peCBQYXJraW5lb3MsIE9yc2xvaw%3D%3D;True
Trabajar? una Mierda;Nerve Agent;12 Atentados;2022-01-28;167598;30;['tekno'];Trabajar? una Mierda;https://www.youtube.com/watch?v=nuVxqcOl_WA&pp=ygUgVHJhYmFqYXI_IHVuYSBNaWVyZGEgTmVydmUgQWdlbnQ%3D;True
Gamberros - Álbum Mix;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;141542;18;['tekno'];Gamberros (Nu Mix);https://www.youtube.com/watch?v=sdYDrFNQcjY&pp=ygUsR2FtYmVycm9zIC0gw4FsYnVtIE1peCBOZXJ2ZSBBZ2VudCwgUm9kb2wgVlg%3D;True
La Caza del Pijo;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;214757;26;['tekno'];NERVE AGENT - LA CAZA DEL PIJO (VIDEOCLIP);https://www.youtube.com/watch?v=ZcOV0qbpo-s&pp=ygUmTGEgQ2F6YSBkZWwgUGlqbyBOZXJ2ZSBBZ2VudCwgUm9kb2wgVlg%3D;True
Muerte y Caos en el Orden;Nerve Agent, Quantum Void, Rodol VX;12 Atentados;2022-01-28;230750;13;['tekno'];Nerve Agent ft Quantum Void - Muerte Y Caos en El Orden (Videclip);https://www.youtube.com/watch?v=yZ9YoC4muvk&pp=ygU9TXVlcnRlIHkgQ2FvcyBlbiBlbCBPcmRlbiBOZXJ2ZSBBZ2VudCwgUXVhbnR1bSBWb2lkLCBSb2RvbCBWWA%3D%3D;True
Agentes Nerviosos;Nerve Agent;12 Atentados;2022-01-28;154428;14;['tekno'];Agentes Nerviosos;https://www.youtube.com/watch?v=LJFceO5M-O4&pp=ygUdQWdlbnRlcyBOZXJ2aW9zb3MgTmVydmUgQWdlbnQ%3D;True
La Ciudad - Remix;Lil Mess, Aft3rlife;La Ciudad (Remix);2022-10-21;199500;30;[];Lil Mess, Aft3rlife - La Ciudad REMIX [WINTER EDITION];https://www.youtube.com/watch?v=Ti9SIx4J75k&pp=ygUlTGEgQ2l1ZGFkIC0gUmVtaXggTGlsIE1lc3MsIEFmdDNybGlmZQ%3D%3D;True
Más Gas;Sugarless;Más Gas;2002-01-01;149678;9;['rap metal'];Sugarless - 02 - Mas gas [ Mas gas ] (2002).wmv;https://www.youtube.com/watch?v=DDv38vl_hcg&pp=ygUSTcOhcyBHYXMgU3VnYXJsZXNz;True
Ruido;Los De Marras;Surrealismo;2014-09-30;244106;33;['ska punk'];Los De Marras - Ruido (Surrealismo) [Audio Oficial];https://www.youtube.com/watch?v=qevSjsFIl_I&pp=ygUTUnVpZG8gTG9zIERlIE1hcnJhcw%3D%3D;True
Otra Noche;Kaotiko;Mundo Kaotiko;2001-01-01;190746;48;['ska punk', 'punk'];Kaotiko - Otra Noche;https://www.youtube.com/watch?v=eAMwDYz6PUE&pp=ygUST3RyYSBOb2NoZSBLYW90aWtv;True
María Libre;Kaotiko;Mundo Kaotiko;2001-01-01;172640;11;['ska punk', 'punk'];María Libre;https://www.youtube.com/watch?v=7YuHu3rAtQA&pp=ygUUTWFyw61hIExpYnJlIEthb3Rpa28%3D;True
Pekao;Nerve Agent, Plasaporros, Robzzz, CRASH BANDICULO;12 Atentados;2022-01-28;171000;23;['tekno'];NERVE AGENT FT. PLASAPORROS - PEKAO;https://www.youtube.com/watch?v=XoNV0rVDBqE&pp=ygU3UGVrYW8gTmVydmUgQWdlbnQsIFBsYXNhcG9ycm9zLCBSb2J6enosIENSQVNIIEJBTkRJQ1VMTw%3D%3D;True
Atentado Personal;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;166222;13;['tekno'];NERVE AGENT - ATENTADO PERSONAL (gLiTcH ViDeoO);https://www.youtube.com/watch?v=wUcflzyykn8&pp=ygUnQXRlbnRhZG8gUGVyc29uYWwgTmVydmUgQWdlbnQsIFJvZG9sIFZY;True
Gafas de Ciclista;Nerve Agent;12 Atentados;2022-01-28;161695;16;['tekno'];Gafas de Ciclista;https://www.youtube.com/watch?v=uomVkwZtbts&pp=ygUdR2FmYXMgZGUgQ2ljbGlzdGEgTmVydmUgQWdlbnQ%3D;True
To Se Va a Descontrolar;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;170887;26;['tekno'];NERVE AGENT - To se va a descontrolar (Videoclip);https://www.youtube.com/watch?v=0lgI9pf-xXQ&pp=ygUtVG8gU2UgVmEgYSBEZXNjb250cm9sYXIgTmVydmUgQWdlbnQsIFJvZG9sIFZY;True
Vandalizar Y Beber;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;102330;30;['tekno'];Vandalizar Y Beber;https://www.youtube.com/watch?v=lLsJCunJebY&pp=ygUoVmFuZGFsaXphciBZIEJlYmVyIE5lcnZlIEFnZW50LCBSb2RvbCBWWA%3D%3D;True
Pa Follar;Nerve Agent, Rodol VX, KxxL;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;154409;24;['tekno'];Nerve Agent ft. KxxL - PA F*llar (Videoclip);https://www.youtube.com/watch?v=VMQ7ZK4q9_Q&pp=ygUlUGEgRm9sbGFyIE5lcnZlIEFnZW50LCBSb2RvbCBWWCwgS3h4TA%3D%3D;True
LNSANA;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;171013;23;['tekno'];LNSANA;https://www.youtube.com/watch?v=YUZZZ9CnPdk&pp=ygUcTE5TQU5BIE5lcnZlIEFnZW50LCBSb2RvbCBWWA%3D%3D;True
Agustismo;Nerve Agent, Rodol VX, Killmiya;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;149202;15;['tekno'];Agustismo (feat. Killmiya);https://www.youtube.com/watch?v=5IsuwDK7iGs&pp=ygUpQWd1c3Rpc21vIE5lcnZlIEFnZW50LCBSb2RvbCBWWCwgS2lsbG1peWE%3D;True
5 Estrellas;Nerve Agent, Rodol VX, CRASH BANDICULO, Cristina Aspirina;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;162124;15;['tekno'];5 Estrellas (feat. CRASH BANDICULO & Cristina Aspirina);https://www.youtube.com/watch?v=bK8pBObiFdk&pp=ygVFNSBFc3RyZWxsYXMgTmVydmUgQWdlbnQsIFJvZG9sIFZYLCBDUkFTSCBCQU5ESUNVTE8sIENyaXN0aW5hIEFzcGlyaW5h;True
Agentes Nerviosos - 2023 Mix;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;154291;13;['tekno'];Agentes Nerviosos (2023 Mix);https://www.youtube.com/watch?v=dSBjlspvPME&pp=ygUyQWdlbnRlcyBOZXJ2aW9zb3MgLSAyMDIzIE1peCBOZXJ2ZSBBZ2VudCwgUm9kb2wgVlg%3D;True
Vandalizar Y Beber - Parkineos Remix;Nerve Agent, Rodol VX, Parkineos;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;167631;19;['techno', 'hardcore techno', 'hardcore', 'tekno'];Vandalizar Y Beber (Parkineos Remix);https://www.youtube.com/watch?v=OO68iqTvJb0&pp=ygVFVmFuZGFsaXphciBZIEJlYmVyIC0gUGFya2luZW9zIFJlbWl4IE5lcnZlIEFnZW50LCBSb2RvbCBWWCwgUGFya2luZW9z;True
Los Ricos También Lloran;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;179161;24;['tekno'];Los Ricos También Lloran;https://www.youtube.com/watch?v=LI1dEeIAF9Y&pp=ygUvTG9zIFJpY29zIFRhbWJpw6luIExsb3JhbiBOZXJ2ZSBBZ2VudCwgUm9kb2wgVlg%3D;True
Casa Kira;Carolina Durante, Orslok;Casa Kira;2022-09-14;234147;45;['hyperpop'];Carolina Durante, Orslok - Casa Kira;https://www.youtube.com/watch?v=49ISq1mbJ6k&pp=ygUiQ2FzYSBLaXJhIENhcm9saW5hIER1cmFudGUsIE9yc2xvaw%3D%3D;True
Mundo Kaotiko;Kaotiko;Mundo Kaotiko;2001-01-01;195933;14;['ska punk', 'punk'];KAOTIKO - MUNDO KAOTIKO - Album completo - Full Album;https://www.youtube.com/watch?v=tqjRmqkhApQ&pp=ygUVTXVuZG8gS2FvdGlrbyBLYW90aWtv;True
Odio Obedecer;Kaotiko;Mundo Kaotiko;2001-01-01;180666;20;['ska punk', 'punk'];Odio Obedecer;https://www.youtube.com/watch?v=KZDPREnkG_o&pp=ygUVT2RpbyBPYmVkZWNlciBLYW90aWtv;True
Albacete Rural Crew;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;161750;23;['tekno'];NERVE AGENT - ALBACETE RURAL CREW (VIDEOCLIP);https://www.youtube.com/watch?v=TJ5M9iYCVxE&pp=ygUpQWxiYWNldGUgUnVyYWwgQ3JldyBOZXJ2ZSBBZ2VudCwgUm9kb2wgVlg%3D;True
Odiar Frontal_remix x [Parkineos];VVV [Trippin'you], Parkineos;Turboviolencia_remixes;2022-11-10;217945;25;['tekno', 'post-punk', 'cold wave', 'hardcore techno', 'hardcore', 'darkwave', 'techno'];VVV [Trippin'you], Parkineos - Odiar Frontal_remix x [Parkineos] (Visualizer);https://www.youtube.com/watch?v=qO47RkmyFFI&pp=ygU-T2RpYXIgRnJvbnRhbF9yZW1peCB4IFtQYXJraW5lb3NdIFZWViBbVHJpcHBpbid5b3VdLCBQYXJraW5lb3M%3D;True
Gamberros;Nerve Agent, Rodol VX;Gamberros;2021-12-05;140816;17;['tekno'];NERVE AGENT - GAMBERROS (VIDEOCLIP);https://www.youtube.com/watch?v=4Gjj6A7zSDs&pp=ygUfR2FtYmVycm9zIE5lcnZlIEFnZW50LCBSb2RvbCBWWA%3D%3D;True
Overdrived;Rodol VX, KxxL;Overdrived;2023-05-19;144724;10;['tekno'];Rodol VX ft. KxxL - OVERDRIVED;https://www.youtube.com/watch?v=-GXfb6vodWs&pp=ygUZT3ZlcmRyaXZlZCBSb2RvbCBWWCwgS3h4TA%3D%3D;True
Putos Vecinos;Nerve Agent, Plasaporros, Robzzz;12 Atentados;2022-01-28;231167;23;['tekno'];Putos Vecinos;https://www.youtube.com/watch?v=e-iIQVoaVnU&pp=ygUuUHV0b3MgVmVjaW5vcyBOZXJ2ZSBBZ2VudCwgUGxhc2Fwb3Jyb3MsIFJvYnp6eg%3D%3D;True
Caballo Maldito;Nerve Agent, Rodol VX;Caballo Maldito;2022-09-18;166499;21;['tekno'];Caballo Maldito;https://www.youtube.com/watch?v=ji9vhfABRdU&pp=ygUlQ2FiYWxsbyBNYWxkaXRvIE5lcnZlIEFnZW50LCBSb2RvbCBWWA%3D%3D;True
Paso de Entrar;Jarfaiter, Parkineos;Paso de Entrar;2022-12-10;228379;39;['techno', 'hardcore techno', 'hardcore', 'tekno'];Jarfaiter x @parkineos - PASO DE ENTRAR - 💣;https://www.youtube.com/watch?v=RyjZBrWlXPQ&pp=ygUjUGFzbyBkZSBFbnRyYXIgSmFyZmFpdGVyLCBQYXJraW5lb3M%3D;True
