name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Skate;Pimp Flaco;Skate;2023-06-02;186857;19.0;[];Pimp Flaco - SKATE;https://www.youtube.com/watch?v=qkMOi4skhEs&pp=ygUQU2thdGUgUGltcCBGbGFjbw%3D%3D;False
<3;Kinder Malo, Pimp Flaco;Terremoto Turquesa;2017-06-09;204355;0.0;[];Pimp Flaco ( Pico Tres;https://www.youtube.com/watch?v=1vkDOORaYwI&pp=ygUYMyBLaW5kZXIgTWFsbyBQaW1wIEZsYWNv;False
Laberinto de Amor;Pimp Flaco, Kinder Malo, WBMS;Laberinto de Amor;2017-11-02;215779;41.0;[];"Pimp Flaco ; Kinder malo - Laberinto de Amor (BSO ""Algo muy gordo"")";https://www.youtube.com/watch?v=YOHfMrV0S1Y&pp=ygUtTGFiZXJpbnRvIGRlIEFtb3IgUGltcCBGbGFjbyBLaW5kZXIgTWFsbyBXQk1T;False
Nuse;Pimp Flaco, WBMS;23;2017-11-24;224444;17.0;[];Pimp Flaco - Nuse (Video Oficial);https://www.youtube.com/watch?v=RdoE8xq9lbw&pp=ygUUTnVzZSBQaW1wIEZsYWNvIFdCTVM%3D;False
Verdades;Kinder Malo, Pimp Flaco;Terremoto Turquesa;2017-06-09;191085;0.0;[];"PIMP FLACO ; KINDER MALO ( VERDADES";https://www.youtube.com/watch?v=diqhWLsBgG0&pp=ygUfVmVyZGFkZXMgS2luZGVyIE1hbG8gUGltcCBGbGFjbw%3D%3D;False
Na Na Na Na;Kinder Malo, Pimp Flaco, WBMS;Terremoto Turquesa;2017-06-09;221962;0.0;[];8. Na na na na [Terremoto Turquesa] Prod. WBMS;https://www.youtube.com/watch?v=TaNu1ZF5dfU&pp=ygUnTmEgTmEgTmEgTmEgS2luZGVyIE1hbG8gUGltcCBGbGFjbyBXQk1T;False
El Solitario;Kinder Malo, Pimp Flaco;Terremoto Turquesa;2017-06-09;279327;0.0;[];7. El Solitario [Terremoto Turquesa] Prod. Kuor Larraz;https://www.youtube.com/watch?v=UKqSLT0zMXU&pp=ygUjRWwgU29saXRhcmlvIEtpbmRlciBNYWxvIFBpbXAgRmxhY28%3D;False
Haters;Pimp Flaco;Haters;2015-01-18;190824;34.0;[];PIMP FLACO ( HATERS [ VIDEOCLIP ];https://www.youtube.com/watch?v=0m3pGVWWRgw&pp=ygURSGF0ZXJzIFBpbXAgRmxhY28%3D;False
XD;Pimp Flaco;XD;2016-01-02;126603;17.0;[];PIMP FLACO ( xd;https://www.youtube.com/watch?v=t34gd2IDguw&pp=ygUNWEQgUGltcCBGbGFjbw%3D%3D;False
Sintigo;Pimp Flaco, Sandro Jeeawock;Sintigo;2016-02-27;268146;22.0;[];PIMP FLACO ( Sintigo;https://www.youtube.com/watch?v=zPT9-R-hn24&pp=ygUiU2ludGlnbyBQaW1wIEZsYWNvIFNhbmRybyBKZWVhd29jaw%3D%3D;False
Porfi;Pimp Flaco, WBMS;Porfi;2016-10-19;196075;26.0;[];Porfi;https://www.youtube.com/watch?v=noRG-gQEsv8&pp=ygUVUG9yZmkgUGltcCBGbGFjbyBXQk1T;False
Chemtrails;Kinder Malo, Pimp Flaco, WBMS;Chemtrails;2016-11-24;194246;0.0;[];Pimp Flaco & Kinder Malo - Chemtrails | A COLORS SHOW;https://www.youtube.com/watch?v=Yid881W2lpI&pp=ygUmQ2hlbXRyYWlscyBLaW5kZXIgTWFsbyBQaW1wIEZsYWNvIFdCTVM%3D;False
Ñoco ñoco;Pimp Flaco;Ñoco ñoco;2016-12-20;137586;15.0;[];PIMP FLACO ( ÑOCO ÑOCO;https://www.youtube.com/watch?v=iLDJf5oz_vA&pp=ygUUTm9jbyBub2NvIFBpbXAgRmxhY28%3D;False
Serán las Gafas;Pimp Flaco;Serán las Gafas;2017-01-02;211382;23.0;[];PIMP FLACO ( SERAN LAS GAFAS?;https://www.youtube.com/watch?v=uyVXEFRdY8s&pp=ygUaU2VyYW4gbGFzIEdhZmFzIFBpbXAgRmxhY28%3D;False
Me Da Igual;Pimp Flaco, WBMS;Me Da Igual;2017-01-20;222145;32.0;[];Pimp Flaco ( Me da igual;https://www.youtube.com/watch?v=JpkuAm-2wGU&pp=ygUbTWUgRGEgSWd1YWwgUGltcCBGbGFjbyBXQk1T;False
Yoganoma;Pimp Flaco, WBMS;Yoganoma;2017-09-23;241045;20.0;[];PIMP FLACO ( YOGANOMA;https://www.youtube.com/watch?v=O9fF9hycqU0&pp=ygUYWW9nYW5vbWEgUGltcCBGbGFjbyBXQk1T;False
Husky;Pimp Flaco;Husky;2017-10-16;199000;19.0;[];Pimp Flaco ( Husky;https://www.youtube.com/watch?v=zejRWrBXAeY&pp=ygUQSHVza3kgUGltcCBGbGFjbw%3D%3D;False
