name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Levanta la Cara;El Chojin;Levanta la Cara;2018-10-01;180266;32;[];El Chojin - Levanta la Cara (Vídeoclip Oficial);https://www.youtube.com/watch?v=v2QnBQwSPNg&pp=ygUZTGV2YW50YSBsYSBDYXJhIEVsIENob2ppbg%3D%3D;True
Bacalao;Kase.O, El Momo;Bacalao;2019-02-22;180000;31;['latin hip hop'];KASE.O - BACALAO feat. EL MOMO a.k.a. MARIO MAHER;https://www.youtube.com/watch?v=ueo-k-GNqvU&pp=ygUXQmFjYWxhbyBLYXNlLk8sIEVsIE1vbW8%3D;True
Por Honor;Violadores Del Verso, Mr. Rango;Vicios y Virtudes;2001-11-19;374840;32;['ragga', 'spanish language reggae', 'latin hip hop'];Por Honor;https://www.youtube.com/watch?v=D_PF5qAnwo0&pp=ygUpUG9yIEhvbm9yIFZpb2xhZG9yZXMgRGVsIFZlcnNvLCBNci4gUmFuZ28%3D;True
Contra Todos;995, El Chojin;995;2001-10-19;319920;45;['spanish language reggae'];995 - 06 Contra todos HD;https://www.youtube.com/watch?v=WO36aqyJhvM&pp=ygUbQ29udHJhIFRvZG9zIDk5NSwgRWwgQ2hvamlu;True
Todo Va a Estar Bien;Don Patricio;La Dura Vida del Joven Rapero;2019-01-27;218181;0;[];Todo va a estar bien - Don Patricio | La dura vida del joven rapero;https://www.youtube.com/watch?v=6E3B_Y69Pbs&pp=ygUhVG9kbyBWYSBhIEVzdGFyIEJpZW4gRG9uIFBhdHJpY2lv;True
Easy;Luisaker;Easy;2017-05-31;163555;0;[];LUISAKER - EASY (PROD. VNDER);https://www.youtube.com/watch?v=lNRUo8IwF38&pp=ygUNRWFzeSBMdWlzYWtlcg%3D%3D;True
Hazme Five;Dirty Porko;Hazme Five;2018-01-31;150720;0;[];DIRTY PORKO 🔥 HAZME FIVE (PROD. CLAS BEATS);https://www.youtube.com/watch?v=1n9lsYbxTuE&pp=ygUWSGF6bWUgRml2ZSBEaXJ0eSBQb3Jrbw%3D%3D;True
Lucifer;SFDK;Redención (Versión Exclusiva Spotify);2018-03-02;215500;46;[];SFDK - Lucifer (Lyric Video Oficial);https://www.youtube.com/watch?v=IhCm40mqglI&pp=ygUMTHVjaWZlciBTRkRL;True
Siente el Faya;Kulto Kultibo;La Mazeta;2016-06-10;241346;0;['spanish language reggae'];Siente el Faya - Kulto Kultibo - La Mazeta (Official Video);https://www.youtube.com/watch?v=X6EMToB01gI&pp=ygUcU2llbnRlIGVsIEZheWEgS3VsdG8gS3VsdGlibw%3D%3D;True
En venta? ¡No!;Kulto Kultibo;Ahora o Nunca;2013-12-27;211877;0;['spanish language reggae'];En Venta? ¡No! (feat. Jonmi al Saxo) - Kulto Kultibo - Ahora o Nunca (Official Video);https://www.youtube.com/watch?v=XrVgcM9OSOA&pp=ygUdRW4gdmVudGE_IMKhTm8hIEt1bHRvIEt1bHRpYm8%3D;True
Rap;Kaze;No Encajes;2016-11-25;200510;0;[];KAZE - RAP - VIDEOCLIP [PROD. MANI DEÏZ] #NOENCAJES;https://www.youtube.com/watch?v=aUrGR-4FwYY&pp=ygUIUmFwIEthemU%3D;True
Yo Puedo;Putolargo, Legendario;Limonada Planet;2016-05-01;242360;10;[];PUTOLARGO Y LEGENDARIO - YO PUEDO (Directed by Ladiëresis Visual);https://www.youtube.com/watch?v=5WG1Xo8cDXQ&pp=ygUeWW8gUHVlZG8gUHV0b2xhcmdvLCBMZWdlbmRhcmlv;True
En Bucle;Blake;En Bucle;2018-07-24;190902;0;[];BLAKE - EN BUCLE [VIDEOCLIP OFICIAL] B.L.K.FILMS;https://www.youtube.com/watch?v=DA78C8dTxy8&pp=ygUORW4gQnVjbGUgQmxha2U%3D;True
Pura Droga Sin Cortar;Violadores Del Verso;Vivir para Contarlo;2006-01-01;374853;51;['latin hip hop'];Pura Droga Sin Cortar;https://www.youtube.com/watch?v=B3GiCGz0gXM&pp=ygUqUHVyYSBEcm9nYSBTaW4gQ29ydGFyIFZpb2xhZG9yZXMgRGVsIFZlcnNv;True
Dora la Exploradora;BEJO, Dj Pimp;Dora la Exploradora;2019-03-31;183600;0;[];BEJO - Dora La Exploradora (Prod. Dj Pimp);https://www.youtube.com/watch?v=zQV5BStW-3M&pp=ygUhRG9yYSBsYSBFeHBsb3JhZG9yYSBCRUpPLCBEaiBQaW1w;True
Choices (Yup);E-40;Sharp on All 4 Corners: Corner 1;2014-12-09;272720;0;['west coast hip hop', 'g-funk', 'hyphy'];"E-40 ""Choices (Yup)"" (WSHH Exclusive - Official Music Video)";https://www.youtube.com/watch?v=arqTu9Ay4Ig&pp=ygUSQ2hvaWNlcyAoWXVwKSBFLTQw;True
Chamber Of Reflection;Mac DeMarco;Salad Days;2014-04-01;231723;1;['indie'];Chamber Of Reflection;https://www.youtube.com/watch?v=pQsF3pzOc54&pp=ygUhQ2hhbWJlciBPZiBSZWZsZWN0aW9uIE1hYyBEZU1hcmNv;True
No Me Creo Nada;Endikah, 935;No Me Creo Nada;2019-03-10;207699;0;[];Endikah ft 935 - No me creo nada (Prod. Principe Palanca) Scratches Dj Rune;https://www.youtube.com/watch?v=wWcasWb7ak8&pp=ygUcTm8gTWUgQ3JlbyBOYWRhIEVuZGlrYWgsIDkzNQ%3D%3D;True
SERÁ POR ALGO;Endikah, FERNANDOCOSTA, J Dose;SERÁ POR ALGO;2019-04-16;220481;0;[];"Endikah ft. J Dose & Fernando Costa - ""Será por algo"" (Prod. Sceno)";https://www.youtube.com/watch?v=QokzNsb_wXI&pp=ygUtU0VSw4EgUE9SIEFMR08gRW5kaWthaCwgRkVSTkFORE9DT1NUQSwgSiBEb3Nl;True
Keep Floatin';G. Soldier;Quasar;2016-07-04;106684;17;[];G. soldier - 03 Keep Floatin' [QUASAR];https://www.youtube.com/watch?v=kF8f_eS_FRo&pp=ygUYS2VlcCBGbG9hdGluJyBHLiBTb2xkaWVy;True
Demons;Nadal015, Miranda;Demons;2019-01-18;236030;0;[];MIRANDA ❌ NADAL015 - DEMONS (PROD. XINKOA);https://www.youtube.com/watch?v=Yzz6zoiN8NM&pp=ygUYRGVtb25zIE5hZGFsMDE1LCBNaXJhbmRh;True
