name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Más Gas;Sugarless;Más Gas;2002-01-01;149678;19.0;['rap metal'];Sugarless - 02 - Mas gas [ Mas gas ] (2002).wmv;https://www.youtube.com/watch?v=DDv38vl_hcg&pp=ygUSTcOhcyBHYXMgU3VnYXJsZXNz;
Animales Hambrientos;Desakato;La Teoría del Fuego;2016-03-09;201649;0.0;['ska punk'];DESAKATO - Animales hambrientos;https://www.youtube.com/watch?v=VxQi3BbvULg&pp=ygUdQW5pbWFsZXMgSGFtYnJpZW50b3MgRGVzYWthdG8%3D;False
Cristales Rotos;Sons of Aguirre, Scila;Azul/Rojo;2018-05-04;162181;43.0;['rap metal'];SONS OF AGUIRRE & SCILA - CRISTALES ROTOS (AUDIO OFICIAL);https://www.youtube.com/watch?v=P3fGzxLvUMs&pp=ygUlQ3Jpc3RhbGVzIFJvdG9zIFNvbnMgb2YgQWd1aXJyZSBTY2lsYQ%3D%3D;False
A la soledad;Desakato;Con el Viento de Cara;2008-01-02;281320;0.0;['ska punk'];A la soledad;https://www.youtube.com/watch?v=oOKZXPTISQA&pp=ygUVQSBsYSBzb2xlZGFkIERlc2FrYXRv;False
Yoni el Robot;Narco, Space Surimi;Espichufrenia;2017-12-15;277333;0.0;['rap metal', 'neoperreo', 'moombahton', 'ska punk'];NARCO - Yoni El Robot (con Space Surimi);https://www.youtube.com/watch?v=sReCzMCaFQo&pp=ygUgWW9uaSBlbCBSb2JvdCBOYXJjbyBTcGFjZSBTdXJpbWk%3D;False
Chispazo;Narco;Dios Te Odia;2014-12-15;261546;0.0;['rap metal', 'ska punk'];Chispazo;https://www.youtube.com/watch?v=CvBBAH7ljzE&pp=ygUOQ2hpc3Bhem8gTmFyY28%3D;False
Hablarán las Calles;Boikot, Ciudad Jara, ZOO, Aspencat, Los Chikos del Maiz;Hablarán las Calles;2018-04-24;325187;42.0;['punk', 'ska', 'ska punk'];"BOIKOT ""Hablarán Las Calles"" ft. Aspencat, Zoo, Los Chikos del Maíz y Ciudad Jara (Videoclip)";https://www.youtube.com/watch?v=5zInfvKxtWc&pp=ygVHSGFibGFyYW4gbGFzIENhbGxlcyBCb2lrb3QgQ2l1ZGFkIEphcmEgWk9PIEFzcGVuY2F0IExvcyBDaGlrb3MgZGVsIE1haXo%3D;False
Agua de Mayo;Hora Zulu;Me Duele la Boca de Decirlo;2002-06-18;229693;0.0;['rap metal'];Hora Zulu - Agua de mayo (Audio);https://www.youtube.com/watch?v=75-yOrLu3IA&pp=ygUWQWd1YSBkZSBNYXlvIEhvcmEgWnVsdQ%3D%3D;False
Jarama;Boikot;Jarama;2017-03-24;217595;41.0;['punk', 'ska', 'ska punk'];Boikot - Jarama (Videoclip Oficial);https://www.youtube.com/watch?v=4z0uOMvXghA&pp=ygUNSmFyYW1hIEJvaWtvdA%3D%3D;False
Privilegiados;Sons of Aguirre, Scila, Dj Plan B, Guaja D;Azul/Rojo;2018-05-04;220923;33.0;['rap metal'];SONS OF AGUIRRE & SCILA - PRIVILEGIADOS FEAT. PLAN B (AUDIO OFICIAL);https://www.youtube.com/watch?v=WqyjRMYTOII&pp=ygU1UHJpdmlsZWdpYWRvcyBTb25zIG9mIEFndWlycmUgU2NpbGEgRGogUGxhbiBCIEd1YWphIEQ%3D;False
Aquellas Cosas Que Solíamos Hacer;Benito Kamelas, Poncho K;Sin Trampa Ni Cartón;2005-05-01;289626;0.0;['rock urbano'];Benito Kamelas - Aquellas cosas que solíamos hacer (Versión Original);https://www.youtube.com/watch?v=ZFo7rG1ac64&pp=ygU5QXF1ZWxsYXMgQ29zYXMgUXVlIFNvbGlhbW9zIEhhY2VyIEJlbml0byBLYW1lbGFzIFBvbmNobyBL;False
El 4k Se Llevó a Mi Chica;Lendakaris Muertos;Podrán Cortar la Droga Pero No la Primavera;2017-11-17;137317;40.0;['punk', 'ska', 'ska punk'];Lendakaris Muertos - El 4K Se Llevó A Mi Chica (Podrán Cortar La Droga Pero No La Primavera, 2017);https://www.youtube.com/watch?v=GHZ7rDAGRdg&pp=ygUsRWwgNGsgU2UgTGxldm8gYSBNaSBDaGljYSBMZW5kYWthcmlzIE11ZXJ0b3M%3D;False
