name;artist;album;release_date;duration_ms;popularity;genres
Destrucción;VVV [Trippin'you];Escama;2020-02-29;238333;;['cold wave', 'darkwave', 'post-punk']
Fuego Cruzado;VVV [Trippin'you];Escama;2020-02-29;206500;;['cold wave', 'darkwave', 'post-punk']
Ataque de Pánico en la Sierra;VVV [Trippin'you];Escama;2020-02-29;195125;;['cold wave', 'darkwave', 'post-punk']
Ya No Tienes Miedo;VVV [Trippin'you];Escama;2020-02-29;184362;;['cold wave', 'darkwave', 'post-punk']
Justicia Posmoderna;VVV [Trippin'you];Escama;2020-02-29;239999;;['cold wave', 'darkwave', 'post-punk']
Miedo y Asco en Madrid;VVV [Trippin'you];Escama;2020-02-29;153728;;['cold wave', 'darkwave', 'post-punk']
Ambivalencia;VVV [Trippin'you], Brasov;Escama;2020-02-29;212117;;['cold wave', 'dark trap', 'darkwave', 'post-punk']
Invierno Nuclear;VVV [Trippin'you];Escama;2020-02-29;274000;;['cold wave', 'darkwave', 'post-punk']
Redención;VVV [Trippin'you];Escama;2020-02-29;190222;;['cold wave', 'darkwave', 'post-punk']
Siroco;VVV [Trippin'you];Escama;2020-02-29;228750;;['cold wave', 'darkwave', 'post-punk']
