name;artist;album;release_date;duration_ms;popularity;genres
Nadie Es Leal;VVV [Trippin'you];Turboviolencia;2021-11-05;138000;;['cold wave', 'darkwave', 'post-punk']
Hiedra Verde;VVV [Trippin'you];Turboviolencia;2021-11-05;230666;;['cold wave', 'darkwave', 'post-punk']
Algo Que Explotar;VVV [Trippin'you];Turboviolencia;2021-11-05;204387;;['cold wave', 'darkwave', 'post-punk']
Matar el Tiempo;VVV [Trippin'you];Turboviolencia;2021-11-05;242013;;['cold wave', 'darkwave', 'post-punk']
Monstruo;VVV [Trippin'you];Turboviolencia;2021-11-05;105833;;['cold wave', 'darkwave', 'post-punk']
Odiar Frontal;VVV [Trippin'you];Turboviolencia;2021-11-05;163999;;['cold wave', 'darkwave', 'post-punk']
Crisis Existencial;VVV [Trippin'you];Turboviolencia;2021-11-05;180000;;['cold wave', 'darkwave', 'post-punk']
Lluvias de Marzo;VVV [Trippin'you];Turboviolencia;2021-11-05;173538;;['cold wave', 'darkwave', 'post-punk']
Amianto;VVV [Trippin'you];Turboviolencia;2021-11-05;186000;;['cold wave', 'darkwave', 'post-punk']
Bosque Infinito;VVV [Trippin'you];Turboviolencia;2021-11-05;254400;;['cold wave', 'darkwave', 'post-punk']
