name;artist;album;release_date;duration_ms;popularity;genres
Introducción;Violadores Del Verso;Vicios y Virtudes;2001-11-19;51880;;['latin hip hop']
Vicios y Virtudes;Violadores Del Verso;Vicios y Virtudes;2001-11-19;334040;;['latin hip hop']
Marrones, Morenas, Coronas;Violadores Del Verso;Vicios y Virtudes;2001-11-19;304453;;['latin hip hop']
Trae Ese Ron;Violadores Del Verso;Vicios y Virtudes;2001-11-19;415426;;['latin hip hop']
No Es Ningún Trofeo Noble;Violadores Del Verso;Vicios y Virtudes;2001-11-19;358466;;['latin hip hop']
Tú y Tus Historias;Violadores Del Verso;Vicios y Virtudes;2001-11-19;125800;;['latin hip hop']
No Pasa Nada;Violadores Del Verso, Supernafamacho;Vicios y Virtudes;2001-11-19;298640;;['latin hip hop']
Modestia Aparte;Violadores Del Verso;Vicios y Virtudes;2001-11-19;308320;;['latin hip hop']
Ninguna Chavala Tiene Dueño - Porque Ella Me Lo Dijo;Violadores Del Verso;Vicios y Virtudes;2001-11-19;269160;;['latin hip hop']
Cerdo Agridulce;Violadores Del Verso;Vicios y Virtudes;2001-11-19;207760;;['latin hip hop']
Que Te Importan Todos los Demás (Inspiración, Aspiración);Violadores Del Verso;Vicios y Virtudes;2001-11-19;324946;;['latin hip hop']
Suizaragoza;Violadores Del Verso, Gran Purismo;Vicios y Virtudes;2001-11-19;113720;;['latin hip hop', 'spanish-language reggae']
Capricornio;Violadores Del Verso;Vicios y Virtudes;2001-11-19;195413;;['latin hip hop']
Por Honor;Violadores Del Verso, Mr. Rango;Vicios y Virtudes;2001-11-19;374840;;['ragga', 'latin hip hop', 'spanish-language reggae']
La Ciudad Nunca Duerme;Violadores Del Verso;Vicios y Virtudes;2001-11-19;341493;;['latin hip hop']
