name;artist;album;release_date;duration_ms;popularity;genres
Poker Face;Lady Gaga;2000's Pop Hits;2020-07-03;238906;31;['pop', 'art pop']
Grace Kelly;MIKA;2000's Pop Hits;2020-07-03;187253;27;[]
Where Is The Love?;Black Eyed Peas;2000's Pop Hits;2020-07-03;273813;29;[]
Cake By The Ocean;DNCE;2000's Pop Hits;2020-07-03;218346;26;[]
Fireflies;Owl City;2000's Pop Hits;2020-07-03;228346;25;[]
Sugar;Maroon 5;2000's Pop Hits;2020-07-03;234000;24;['pop']
Party In The U.S.A.;Miley Cyrus;2000's Pop Hits;2020-07-03;202733;30;[]
Treat You Better;Shawn Mendes;2000's Pop Hits;2020-07-03;187973;23;['pop']
In My Head;Jason Derulo;Jason Derulo;2010-02-24;198960;61;[]
Beautiful Girls;Sean Kingston;Beautiful Girls;2007-07-23;225373;78;[]
Right Round (feat. Ke$ha);Flo Rida, Kesha;Right Round;2009-02-09;202680;59;[]
Wild Ones (feat. Sia);Flo Rida, Sia;Wild Ones;2012-06-22;232946;76;[]
Club Can't Handle Me (feat. David Guetta);Flo Rida, David Guetta;Only One Flo (Part 1);2010-11-24;234560;76;['edm', 'dance']
Whistle;Flo Rida;Wild Ones;2012-06-22;224653;74;[]
Umbrella;Rihanna, JAY-Z;Good Girl Gone Bad;2007-01-01;275986;70;['rap', 'east coast hip hop', 'hip hop']
Nothin' on You (feat. Bruno Mars);B.o.B, Bruno Mars;B.o.B Presents: The Adventures of Bobby Ray;2010-04-27;268320;76;[]
Just the Way You Are;Bruno Mars;Doo-Wops & Hooligans;2010-05-11;220734;85;[]
Dynamite;Taio Cruz;The Rokstarr Hits Collection;2010-01-01;202613;72;[]
Feel This Moment (feat. Christina Aguilera);Pitbull, Christina Aguilera;Global Warming: Meltdown (Deluxe Version);2012;229506;76;[]
Scream & Shout;will.i.am, Britney Spears;#willpower;2013-01-01;283400;76;['pop']
Play Hard (feat. Ne-Yo & Akon);David Guetta, Ne-Yo, Akon;Nothing but the Beat 2.0;2011-08-24;201000;60;['edm', 'dance']
Fireflies;Owl City;Ocean Eyes;2009-01-01;228346;76;[]
Titanium (feat. Sia);David Guetta, Sia;Nothing but the Beat 2.0;2011-08-24;245040;68;['edm', 'dance']
Uptown Funk (feat. Bruno Mars);Mark Ronson, Bruno Mars;Uptown Special;2015-01-12;269666;84;[]
Replay;Iyaz;Replay;2009-08-11;182306;72;[]
Fire Burning;Sean Kingston;Tomorrow;2009-09-07;239986;70;[]
Hotel Room Service;Pitbull;Pitbull Starring In Rebelution;2009-08-27;237600;72;[]
Give Me Everything (feat. Nayer);Pitbull, AFROJACK, Ne-Yo, Nayer;Planet Pit (Deluxe Version);2011-06-17;252306;84;['big room', 'edm', 'latin dance']
International Love (feat. Chris Brown);Pitbull, Chris Brown;Planet Pit (Deluxe Version);2011-06-17;227280;78;['r&b']
