name;artist;album;release_date;duration_ms;popularity;genres
Si Tu Kiere;Soto Asa;Si Tu Kiere;2021-09-10;180991;49;['neoperreo']
Ayúdame a Imaginar;Soto Asa, Pablo Chill-E;Ayúdame a Imaginar;2022-01-14;265527;53;['urbano latino', 'neoperreo', 'reggaeton chileno', 'mambo', 'chilean trap', 'trap latino', 'argentine trap', 'chilean mambo']
Jugador 9;Soto Asa;Jugador 9;2021-12-02;186559;54;['neoperreo']
Su Nota;Soto Asa, Yassir, grauu;Su Nota;2022-08-12;194045;41;['jersey club', 'neoperreo']
Las 12;Soto Asa;Las 12;2022-04-21;220963;38;['neoperreo']
Me Gustaron Tus Nai;Soto Asa, Yung Beef;Down Music;2018-10-05;182758;49;['neoperreo']
Christian Dior;Soto Asa;Coupé;2020-12-18;177437;46;['neoperreo']
Hadu;Soto Asa, Avellan;Hadu;2018-12-28;143007;44;['neoperreo']
Tana;Soto Asa, rjmussic;Tana;2022-06-16;209824;33;['neoperreo']
Most Wanted (Intro);Soto Asa;Coupé;2020-12-18;138841;35;['neoperreo']
Caminando;Soto Asa;Coupé;2020-12-18;197144;28;['neoperreo']
Mirándote;Rvfv;Mirándote;2019-06-18;135914;72;['flamenco urbano', 'flamenco']
Todo De Ti;Rauw Alejandro;Todo De Ti;2021-05-20;199604;71;['urbano latino', 'trap latino', 'reggaeton', 'latin']
Un Ratito Más;John Pollõn, Yeez Codein, Sanju;Un Ratito Más;2020-07-20;284000;43;[]
Black Hole;John Pollõn;Black Hole;2021-06-17;185454;0;[]
Rascacielos;Yung Nick, John Pollõn, Pokito Paranoiko;Rascacielos;2021-04-16;223212;43;[]
Chocolate;John Pollõn, Yeez Codein;Chocolate;2022-04-29;217500;39;[]
No es lo mío;John Pollõn;No es lo mío;2022-09-02;154285;56;[]
NUBES;Yung Nick, John Pollõn, Mvrtin;NUBES;2022-07-29;216446;41;[]
Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;Quevedo: Bzrp Music Sessions, Vol. 52;2022-07-06;198937;79;['argentine trap', 'reggaeton', 'trap latino', 'urbano latino']
Villano Antillano: Bzrp Music Sessions, Vol. 51;Bizarrap, Villano Antillano;Villano Antillano: Bzrp Music Sessions, Vol. 51;2022-06-08;187500;67;['argentine trap', 'neoperreo', 'trap latino', 'urbano latino']
Nathy Peluso: Bzrp Music Sessions, Vol. 36;Bizarrap, NATHY PELUSO;Nathy Peluso: Bzrp Music Sessions, Vol. 36;2020-11-27;171215;64;['argentine trap', 'trap latino', 'urbano latino', 'latin hip hop']
Tiago PZK: Bzrp Music Sessions, Vol. 48;Bizarrap, Tiago PZK;Tiago PZK: Bzrp Music Sessions, Vol. 48;2021-12-29;160000;2;['argentine trap', 'trap latino', 'urbano latino']
OMG;Periglo, John Pollõn, DeBlanco;OMG;2022-09-08;190610;29;[]
Spaceship;Soto Asa;Spaceship;2022-10-06;188923;25;['neoperreo']
No Necesito Nada Aquí;Lil Mess, John Pollõn;No Necesito Nada Aquí;2021-08-06;210989;0;[]
Prepary;Marcianeke, Soto Asa;Prepary;2021-11-19;192788;37;['neoperreo', 'reggaeton chileno', 'mambo', 'guaracha', 'chilean trap', 'turreo', 'chilean mambo', 'rkt']
MANDALORIANO;John Pollõn, Los Jackson 4;MANDALORIANO;2023-02-03;178500;33;[]
El Apagón;Bad Bunny;Un Verano Sin Ti;2022-05-06;201816;67;['urbano latino', 'trap latino', 'reggaeton', 'latin']
Callaita;Bad Bunny, Tainy;Un Verano Sin Ti;2022-05-06;250533;73;['urbano latino', 'trap latino', 'reggaeton', 'latin']
Andrea;Bad Bunny, Buscabulla;Un Verano Sin Ti;2022-05-06;339611;75;['urbano latino', 'latin indie', 'latin', 'trap latino', 'reggaeton']
Party;Bad Bunny, Rauw Alejandro;Un Verano Sin Ti;2022-05-06;227628;73;['urbano latino', 'trap latino', 'reggaeton', 'latin']
Smartphone;Soto Asa, La Zowi;Coupé;2020-12-18;179303;55;['neoperreo']
Tarot;Bad Bunny, JHAYCO;Un Verano Sin Ti;2022-05-06;237894;76;['urbano latino', 'trap latino', 'reggaeton', 'latin']
