name;artist;album;release_date;duration_ms;popularity;genres
Untrust Us;Crystal Castles;Crystal Castles;2008-03-16;186373;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Alice Practice;Crystal Castles;Crystal Castles;2008-03-16;161373;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Crimewave;Crystal Castles, HEALTH;Crystal Castles;2008-03-16;258453;;['alternative dance', 'noise rock', 'new rave', 'industrial', 'witch house', 'electroclash']
Magic Spells;Crystal Castles;Crystal Castles;2008-03-16;366866;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Xxzxcuzx Me;Crystal Castles;Crystal Castles;2008-03-16;113800;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Air War;Crystal Castles;Crystal Castles;2008-03-16;252266;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Courtship Dating;Crystal Castles;Crystal Castles;2008-03-16;210453;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Good Time;Crystal Castles;Crystal Castles;2008-03-16;175520;;['new rave', 'alternative dance', 'witch house', 'electroclash']
1991;Crystal Castles;Crystal Castles;2008-03-16;113506;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Vanished;Crystal Castles;Crystal Castles;2008-03-16;242960;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Knights;Crystal Castles;Crystal Castles;2008-03-16;193706;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Love and Caring;Crystal Castles;Crystal Castles;2008-03-16;138920;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Through the Hosiery;Crystal Castles;Crystal Castles;2008-03-16;186920;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Reckless;Crystal Castles;Crystal Castles;2008-03-16;208400;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Black Panther;Crystal Castles;Crystal Castles;2008-03-16;177173;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Tell Me What to Swallow;Crystal Castles;Crystal Castles;2008-03-16;133586;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Trash Hologram;Crystal Castles;Crystal Castles;2008-03-16;137053;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Air War - David Wolf Remix;Crystal Castles;Crystal Castles;2008-03-16;202866;;['new rave', 'alternative dance', 'witch house', 'electroclash']
