name;artist;album;release_date;duration_ms;popularity;genres
Fainting Spells;Crystal Castles;(II);2011-01-01;161600;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Celestica;Crystal Castles;(II);2011-01-01;228400;;['new rave', 'alternative dance', 'witch house', 'electroclash']
"Doe Deer - 12"" Version";Crystal Castles;(II);2011-01-01;95680;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Baptism;Crystal Castles;(II);2011-01-01;251440;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Year Of Silence;Crystal Castles;(II);2011-01-01;292080;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Empathy;Crystal Castles;(II);2011-01-01;249520;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Suffocation;Crystal Castles;(II);2011-01-01;240626;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Violent Dreams;Crystal Castles;(II);2011-01-01;273493;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Vietnam;Crystal Castles;(II);2011-01-01;306453;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Birds;Crystal Castles;(II);2011-01-01;149386;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Pap Smear;Crystal Castles;(II);2011-01-01;221093;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Not In Love - Radio Version;Crystal Castles, Robert Smith;(II);2011-01-01;226986;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Intimate;Crystal Castles;(II);2011-01-01;284826;;['new rave', 'alternative dance', 'witch house', 'electroclash']
I Am Made Of Chalk;Crystal Castles;(II);2011-01-01;189386;;['new rave', 'alternative dance', 'witch house', 'electroclash']
