name;artist;album;release_date;duration_ms;popularity;genres
Plague;Crystal Castles;(III);2012-01-01;295868;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Kerosene;Crystal Castles;(III);2012-01-01;192000;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Wrath Of God;Crystal Castles;(III);2012-01-01;186612;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Affection;Crystal Castles;(III);2012-01-01;156716;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Pale Flesh;Crystal Castles;(III);2012-01-01;178797;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Sad Eyes;Crystal Castles;(III);2012-01-01;207015;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Insulin;Crystal Castles;(III);2012-01-01;106819;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Transgender;Crystal Castles;(III);2012-01-01;184764;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Violent Youth;Crystal Castles;(III);2012-01-01;261650;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Telepath;Crystal Castles;(III);2012-01-01;234513;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Mercenary;Crystal Castles;(III);2012-01-01;158480;;['new rave', 'alternative dance', 'witch house', 'electroclash']
Child I Will Hurt You;Crystal Castles;(III);2012-01-01;212997;;['new rave', 'alternative dance', 'witch house', 'electroclash']
