name;artist;album;release_date;duration_ms;popularity;genres
pockets - mixtape version;hard life;creature habits mixtape;2018-04-12;233158;27;[]
dead celebrities;hard life;junk food;2020-01-10;196573;39;[]
earth;hard life;junk food;2020-01-10;187853;24;[]
ojpl;hard life;frank;2018-07-11;180533;41;[]
ice cream;hard life;creature habits mixtape;2018-04-12;235012;29;[]
peanut butter;hard life;see you later maybe never (demos);2020-05-08;160656;0;[]
daydreams;hard life;life's a beach;2021-05-28;155845;45;[]
ocean view;hard life;life's a beach;2021-05-28;174735;47;[]
skeletons;hard life;life's a beach;2021-05-28;178713;50;[]
nightmares;hard life;life's a beach;2021-05-28;207326;51;[]
wet weekend;hard life;spaceships mixtape;2019-03-18;213146;31;[]
have a great day;hard life;life's a beach;2021-05-28;202090;39;[]
sunday;hard life;spaceships mixtape;2019-03-18;201506;42;[]
petty crime;hard life;see you later maybe never (demos);2020-05-29;226851;34;[]
pop tarts;hard life;who gives a f**k?;2020-07-10;187418;30;[]
nice guys;hard life;nice guys;2019-10-21;162239;34;[]
frank;hard life;frank;2018-07-11;205445;36;[]
sangria;hard life, Arlo Parks;sangria;2019-11-07;190023;51;[]
DEAR MISS HOLLOWAY;hard life, Kevin Abstract;DEAR MISS HOLLOWAY;2022-05-25;209906;33;[]
BEESWAX;hard life;BEESWAX;2022-04-19;188804;34;[]
