name;artist;album;release_date;duration_ms;popularity;genres
Momentz (feat. De La Soul);Gorillaz, De La Soul, Kelvin Mercer;Humanz (Deluxe);2017-04-28;196906;48;['east coast hip hop', 'jazz rap', 'hip hop']
Momentary Bliss (feat. slowthai and Slaves);Gorillaz, slowthai, SOFT PLAY;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;221386;54;['grime']
Ascension (feat. Vince Staples);Gorillaz, Vince Staples;Humanz (Deluxe);2017-04-28;155973;55;[]
Charger (feat. Grace Jones);Gorillaz, Grace Jones;Humanz (Deluxe);2017-04-28;214386;45;['art pop']
Saturnz Barz (feat. Popcaan);Gorillaz, Popcaan;Humanz (Deluxe);2017-04-28;181906;59;['ragga', 'soca', 'riddim', 'afrobeats', 'dancehall', 'reggae']
She's My Collar (feat. Kali Uchis);Gorillaz, Kali Uchis;Humanz (Deluxe);2017-04-28;209560;72;[]
We Got the Power (feat. Jehnny Beth);Gorillaz, Jehnny Beth;Humanz (Deluxe);2017-04-28;139560;44;[]
Let Me Out (feat. Mavis Staples & Pusha T);Gorillaz, Mavis Staples, Pusha T;Humanz (Deluxe);2017-04-28;175813;45;['soul']
The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK);Gorillaz, Rag'n'Bone Man, Zebra Katz, RAY BLK;Humanz (Deluxe);2017-04-28;234933;45;['hip house', 'alternative r&b']
Andromeda (feat. DRAM);Gorillaz, DRAM;Humanz (Deluxe);2017-04-28;197546;61;[]
The Valley of The Pagans (feat. Beck);Gorillaz, Beck;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;181028;53;[]
Pac-Man (feat. ScHoolboy Q);Gorillaz, ScHoolboy Q;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;192880;54;[]
Aries (feat. Peter Hook and Georgia);Gorillaz, Peter Hook, Georgia;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;253333;50;['acid house', 'madchester']
Désolé (feat. Fatoumata Diawara) - Extended Version;Gorillaz, Fatoumata Diawara;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;333113;52;[]
Feel Good Inc.;Gorillaz;Demon Days;2005-05-23;222640;85;[]
Rhinestone Eyes;Gorillaz;Plastic Beach;2010-03-03;200173;75;[]
Clint Eastwood;Gorillaz;Gorillaz;2001-03-26;340920;75;[]
Kids with Guns;Gorillaz;Demon Days;2005-05-23;225773;66;[]
