name;artist;album;release_date;duration_ms;popularity;genres
2 Hearts;Digitalism;I Love You, Dude;2011-06-20;236746;0;['alternative dance', 'indietronica', 'electroclash', 'electronic rock', 'new rave', 'french house']
She Don't Dance;Everyone You Know;She Don't Dance;2019-07-19;226610;49;[]
Momentary Bliss (feat. slowthai and Slaves);Gorillaz, slowthai, SOFT PLAY;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;221386;54;['grime']
She's My Collar (feat. Kali Uchis);Gorillaz, Kali Uchis;Humanz (Deluxe);2017-04-28;209560;72;[]
Andromeda (feat. DRAM);Gorillaz, DRAM;Humanz (Deluxe);2017-04-28;197546;61;[]
Aries (feat. Peter Hook and Georgia);Gorillaz, Peter Hook, Georgia;Song Machine, Season One: Strange Timez (Deluxe);2020-10-23;253333;50;['acid house', 'madchester']
Rhinestone Eyes;Gorillaz;Plastic Beach;2010-03-03;200173;75;[]
On Melancholy Hill;Gorillaz;Plastic Beach;2010-03-03;233866;78;[]
DARE;Gorillaz;Demon Days;2005-05-23;244999;76;[]
Cracker Island (feat. Thundercat);Gorillaz, Thundercat;Cracker Island (feat. Thundercat);2022-06-22;213750;58;[]
Circles;Digitalism;I Love You, Dude;2011-06-20;228293;0;['alternative dance', 'indietronica', 'electroclash', 'electronic rock', 'new rave', 'french house']
BEESWAX;hard life;BEESWAX;2022-04-19;188804;34;[]
skeletons;hard life;life's a beach;2021-05-28;178713;50;[]
nightmares;hard life;life's a beach;2021-05-28;207326;51;[]
Fear;Reptile Youth;Fear;2013-04-22;284950;0;['electronic rock']
Colours;Reptile Youth;Rivers That Run for a Sea That Is Gone;2014-03-10;244053;0;['electronic rock']
JJ;Reptile Youth;Rivers That Run for a Sea That Is Gone;2014-03-10;298346;0;['electronic rock']
Blinded By The Moonlight;The Amplifetes;The Amplifetes;2010;206888;29;['electronic rock']
Let’s Go;Stuck in the Sound;Pursuit;2012-01-30;211453;56;[]
Truth;Bloc Party;Four;2012-08-20;240373;35;['indie rock']
Retreat;The Rakes;Capture / Release;2005-01-01;178093;25;['garage rock', 'new rave']
Stop Taking My Time;Club 8;Above the City;2013-01-01;170786;6;['jangle pop']
Suéltame, Bogotá;Diamante Eléctrico;Mira Lo Que Me Hiciste Hacer;2021-02-11;228543;0;['latin rock', 'latin r&b', 'latin indie', 'latin alternative', 'rock en español']
Keep Moving;Jungle;Loving In Stereo;2021-08-13;240880;64;[]
Tiroteo;Marc Seguí, Pol Granch;Tiroteo;2021-01-15;266290;65;[]
Where Damage Isn't Already Done;The Radio Dept.;Lesser Matters;2004-08-30;163493;32;['shoegaze', 'dream pop']
Tranz;Gorillaz;The Now Now;2018-06-29;162626;62;[]
The Look;Metronomy;The English Riviera;2011-04-11;277653;72;['alternative dance', 'indietronica', 'new rave']
Búho;Mr. Bleat;Búho;2018-06-08;300338;30;['latin indie', 'latin alternative']
EME;MIEL, Bardo José;EME;2021-07-28;191213;38;['latin indie']
Play God;Everyone You Know;Play God;2019-12-06;178877;31;[]
You Were Right;RÜFÜS DU SOL;Bloom;2016-01-22;239417;46;['indietronica']
Ratchet;Bloc Party;FOUR (Deluxe Version);2013-08-26;198017;48;['indie rock']
Navy Light;Labyrinth Ear;Oak;2010-03-08;187506;55;['witch house', 'darkwave', 'cold wave']
Odessa;Caribou;Swim;2010-04-16;315293;24;['indietronica', 'idm']
Trash - Original;The Whip;Trash;2008-03-16;383653;22;['alternative dance', 'indietronica', 'electroclash', 'electronic rock', 'new rave', 'indie dance']
Kids;MGMT;Oracular Spectacular;2007-12-14;302840;78;['indietronica', 'indie']
Skinny Ape;Gorillaz;Cracker Island;2023-02-24;281258;47;[]
Vertebrae;Channo, Luchii;Vertebrae;2020-11-24;177301;53;[]
Oil (feat. Stevie Nicks);Gorillaz, Stevie Nicks;Cracker Island;2023-02-24;230141;55;[]
New Gold (feat. Tame Impala and Bootie Brown);Gorillaz, Tame Impala, Bootie Brown;Cracker Island;2023-02-24;215149;65;['psychedelic pop', 'indie']
Blind - Radio Edit;Hercules & Love Affair;Blind;2008-02-29;345560;45;[]
Over And Over;Hot Chip;The Warning;2006-05-22;347880;53;['alternative dance', 'indietronica', 'new rave', 'indie dance']
It's Not Over Yet;Klaxons;Myths Of The Near Future;2007;215253;50;['alternative dance', 'new rave', 'indie']
O.N.E.;Yeasayer;Odd Blood;2010-02-09;321013;38;[]
Lilas;MIEL;ƎDÉN;2020-11-27;213896;29;['latin indie']
Evil;Interpol;Antics;2004-09-27;215826;49;['indie rock', 'modern rock', 'post-punk']
HAUT LES COEURS;Fauve;HAUT LES COEURS;2013-12-20;268961;38;['variété française', 'chanson', 'french pop', 'spoken word', 'french house']
Makeba;Jain;Zanaka;2016-10-21;249533;65;['french pop']
Shut up My Moms Calling;Hotel Ugly;Shut up My Moms Calling;2020-02-10;164571;84;[]
NO ESTOY;Kinder Malo;NO ESTOY;2023-05-18;153901;17;[]
Dissolve;Absofacto, NITESHIFT;Thousand Peaces;2017-11-03;224660;57;[]
Play Together;Chew Lips;Unicorn;2010-01-25;155666;24;['electroclash', 'alternative dance', 'new rave']
ROCKETPOWERS;Dillom, Saramalacara;POST MORTEM;2021-12-01;188238;56;['argentine trap', 'trap', 'hyperpop']
Lost mary;Issermann;very dramatic and a little pathetic;2023-12-08;173500;0;[]
With Every Heartbeat;Kleerup, Robyn;Kleerup;2009-05-22;253186;32;['chillstep']
Little Dark Age;MGMT;Little Dark Age;2018-02-09;299960;75;['indietronica', 'indie']
azul;Bloodstein;azul;2024-02-16;172000;17;[]
La Ciudad;Lil Mess;La Ciudad;2022-07-29;169846;29;[]
Fantasia;Chico Pablo, Chico Blanco;Fantasia;2020-07-16;282694;49;[]
Off We Go Into The Wild Pale Yonder;Sea Power;Disco Elysium;2020-06-21;237773;35;[]
Cada superficie;Casero;estoy exagerando???;2024-11-08;155145;30;[]
Pesticides - Remix;Moselle, Matt Hip;Pesticides (Remix);2024-05-06;166874;40;[]
El Xokas;Hofe, 4:40, Kiliki, Sunny Wright IV;Amorrua;2023-11-15;196000;36;[]
Ian Curtis;Hofe, 4:40, JEWLN;Amorrua;2023-11-15;184941;20;[]
Ez garela etsaiak;Hofe, 4:40;Amorrua;2023-11-15;33399;31;[]
Edamame;Hofe, 4:40, L'haine, NormanBate$, J Cream;Amorrua;2023-11-15;169600;25;[]
