name;artist;album;release_date;duration_ms;popularity;genres
Forever Young - Extended Mix;Symbol;SUPER EUROBEAT presents INITIAL D WORLD HITS SELECTION 5;2020-07-08;380533;46;[]
Save Me - Extended;Leslie Parrish;Eurobeat Sound Tracks;2019-06-01;338156;46;[]
Crazy on Emotion - Extended Version;Ace;Eurobeat Ace 1;2018-03-17;241931;0;['hi-nrg']
DON'T STOP THE MUSIC;Lou Grant;SUPER EUROBEAT presents INITIAL D 〜D SELECTION〜;1998-07-29;288100;53;[]
Right Now - Extended;Dark Angel;Eurobeat Sound Tracks;2019-06-01;318813;32;[]
LOVE IS IN DANGER;Priscilla;SUPER EUROBEAT presents INITIAL D 〜D SELECTION 2〜;1998-10-28;290233;47;[]
Nonsense Sensation;Paul Harris;Delta Ultimate Collection Presents;2019-02-20;314501;23;['hi-nrg']
I Just Wanna Call You Now - Extended Mix;Norma Sheffield;SUPER EUROBEAT presents INITIAL D WORLD HITS SELECTION 5;2020-07-08;326266;29;['hi-nrg']
Let'S Go, Come On - Extended Mix;Manuel;SUPER EUROBEAT presents INITIAL D WORLD HITS SELECTION 4;2020-07-08;308466;35;[]
BOOM BOOM JAPAN;dave rodgers;SUPER EUROBEAT presents INITIAL D〜D SELECTION 3〜;1999-01-01;299100;40;['hi-nrg']
I Can't Stop Loving You;Dream Fighters;I Can't Stop Loving You;2019-10-28;311575;28;['hi-nrg']
DANCING QUEEN;KING & QUEEN;SUPER EUROBEAT presents INITIAL D 〜D SELECTION 2〜;1998-10-28;296166;43;['hi-nrg']
Crazy Night - Extended mix;Boys Band;Bratt Sinclaire Eurobeat Style Vol.2;2019-01-25;385320;29;[]
I NEED YOUR LOVE;Dave Simon;SUPER EUROBEAT presents INITIAL D 〜D SELECTION 2〜;1998-10-28;286566;48;[]
Streets of Fire - Extended Version;Dave MC Loud;Eurobeat Kudos 11;2018-03-16;293453;0;[]
DANCING;Vicky Vale;SUPER EUROBEAT presents INITIAL D 〜D SELECTION 2〜;1998-10-28;286266;49;['hi-nrg']
Number One - Stardust 2008 Version;FASTWAY & CHRISTINE;Eurobeat Kudos 23;2018-06-29;274859;0;[]
Adrenaline;Ace;Eurobeat Ace 1;2018-03-17;263350;0;['hi-nrg']
