name;artist;album;release_date;duration_ms;popularity;genres
Nuit Folle;LA ÉLITE;Nuevo Punk;2022-12-21;193500;;['indie punk']
Transpotting;LA ÉLITE, The Parrots;Nuevo Punk;2022-12-21;115782;;['indie punk']
Todos Me Miran Mal;LA ÉLITE;Nuevo Punk;2022-12-21;142001;;['indie punk']
Sixpack;LA ÉLITE;Nuevo Punk;2022-12-21;100764;;['indie punk']
Contento De Ser Feo;LA ÉLITE;Nuevo Punk;2022-12-21;162119;;['indie punk']
A 180 Con Mi Monopatín;LA ÉLITE;Nuevo Punk;2022-12-21;206909;;['indie punk']
Redneck Punk;LA ÉLITE;Nuevo Punk;2022-12-21;59115;;['indie punk']
Mata A Tu Jefe;LA ÉLITE;Nuevo Punk;2022-12-21;108215;;['indie punk']
Bailando;LA ÉLITE;Nuevo Punk;2022-12-21;136550;;['indie punk']
Voy A Quemar;LA ÉLITE;Nuevo Punk;2022-12-21;165846;;['indie punk']
Puti Cluf;LA ÉLITE, Ben Yart, Kiliki;Nuevo Punk;2022-12-21;109596;;['indie punk']
Pintando En Un Cd.mp3;LA ÉLITE;Nuevo Punk;2022-12-21;149989;;['indie punk']
Marlburro;LA ÉLITE;Nuevo Punk;2022-12-21;217960;;['indie punk']
Me Ha Llamado El Tetico;LA ÉLITE, Mainline Magic Orchestra;Nuevo Punk;2022-12-21;264492;;['hard house', 'indie punk']
