name;artist;album;release_date;duration_ms;popularity;genres
Gran Noche;LA ÉLITE;Escaleras Al Cielo;2024-05-10;144615;;['indie punk']
Vida de 1€;LA ÉLITE;Escaleras Al Cielo;2024-05-10;123878;;['indie punk']
Otra Noche Más;LA ÉLITE, Pokito Paranoiko;Escaleras Al Cielo;2024-05-10;147959;;['indie punk']
Alejate De Mi;LA ÉLITE;Escaleras Al Cielo;2024-05-10;109202;;['indie punk']
Marca Personal;LA ÉLITE;Escaleras Al Cielo;2024-05-10;126679;;['indie punk']
Boulevard boeis;LA ÉLITE;Escaleras Al Cielo;2024-05-10;125081;;['indie punk']
Plan de Mierda;LA ÉLITE, Diego Ibáñez;Escaleras Al Cielo;2024-05-10;202348;;['indie punk']
Escaleras Al Cielo;LA ÉLITE;Escaleras Al Cielo;2024-05-10;132937;;['indie punk']
Me Despido De Ti;LA ÉLITE;Escaleras Al Cielo;2024-05-10;154075;;['indie punk']
Cucaracha Sexy;LA ÉLITE, Mda;Escaleras Al Cielo;2024-05-10;135464;;['indie punk', 'hyperpop']
Frank Cuesta;LA ÉLITE, Nerve Agent;Escaleras Al Cielo;2024-05-10;136474;;['indie punk', 'tekno']
Gatos Callejeros;LA ÉLITE;Escaleras Al Cielo;2024-05-10;142309;;['indie punk']
