name;artist;album;release_date;duration_ms;popularity;genres
Historia Triste;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;122115;;['indie punk']
Perro Pantera;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;122927;;['indie punk']
Illuminati Corp;LA ÉLITE, TETAS FRÍAS;DIRECTOS AL INFIERNO;2024-10-31;138437;;['indie punk']
Sangre Azul;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;144664;;['indie punk']
Forasteros;LA ÉLITE, LOS PINTAOS;DIRECTOS AL INFIERNO;2024-10-31;161118;;['indie punk', 'punk rap']
Bar de Paco;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;92802;;['indie punk']
Carafutbol;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;122788;;['indie punk']
Heroe Sin Capa;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;97455;;['indie punk']
Fuera del Disco-Pub!;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;99466;;['indie punk']
Cruz Invertida;LA ÉLITE, Rojuu;DIRECTOS AL INFIERNO;2024-10-31;139791;;['indie punk', 'hyperpop']
Lokos i Punkarres;LA ÉLITE;DIRECTOS AL INFIERNO;2024-10-31;128466;;['indie punk']
Vivo en un Cenicero;LA ÉLITE, Gloory Hole;DIRECTOS AL INFIERNO;2024-10-31;94630;;['indie punk', 'mexican indie']
