name;artist;album;release_date;duration_ms;popularity;genres
Soberbia;Kaotiko;Mundo Kaotiko;2001;179466;;['punk', 'ska', 'ska punk']
Mi Curro;Kaotiko;Mundo Kaotiko;2001;196506;;['punk', 'ska', 'ska punk']
Otra Noche;Kaotiko;Mundo Kaotiko;2001;190746;;['punk', 'ska', 'ska punk']
Odio Obedecer;Kaotiko;Mundo Kaotiko;2001;180666;;['punk', 'ska', 'ska punk']
Contento de Ser Así;Kaotiko;Mundo Kaotiko;2001;176320;;['punk', 'ska', 'ska punk']
No Como Barby No!!;Kaotiko;Mundo Kaotiko;2001;198946;;['punk', 'ska', 'ska punk']
En el Barrio de Latón;Kaotiko;Mundo Kaotiko;2001;209066;;['punk', 'ska', 'ska punk']
Vueltas y Vueltas;Kaotiko;Mundo Kaotiko;2001;212160;;['punk', 'ska', 'ska punk']
Mundo Kaotiko;Kaotiko;Mundo Kaotiko;2001;195933;;['punk', 'ska', 'ska punk']
El Último Hipy;Kaotiko;Mundo Kaotiko;2001;207813;;['punk', 'ska', 'ska punk']
María Libre;Kaotiko;Mundo Kaotiko;2001;172640;;['punk', 'ska', 'ska punk']
Siempre Igual;Kaotiko;Mundo Kaotiko;2001;193386;;['punk', 'ska', 'ska punk']
Jhimy Kaos!!;Kaotiko;Mundo Kaotiko;2001;125573;;['punk', 'ska', 'ska punk']
