name;artist;album;release_date;duration_ms;popularity;genres
Ndnt;Rodol VX, Nerve Agent;Autosabotaje;2021-03-26;223315;15;['tekno']
Veinte Metros (Y Fin);Rodol VX, Nerve Agent;Autosabotaje;2021-03-26;226729;6;['tekno']
Se Que No Debo - Remix;Parkineos, Orslok;Se Que No Debo (Remix);2022-04-08;172935;34;['tekno', 'hardcore techno', 'hyperpop', 'hardcore', 'techno']
Trabajar? una Mierda;Nerve Agent;12 Atentados;2022-01-28;167598;30;['tekno']
Gamberros - Álbum Mix;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;141542;18;['tekno']
La Caza del Pijo;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;214757;26;['tekno']
Muerte y Caos en el Orden;Nerve Agent, Quantum Void, Rodol VX;12 Atentados;2022-01-28;230750;13;['tekno']
Agentes Nerviosos;Nerve Agent;12 Atentados;2022-01-28;154428;14;['tekno']
La Ciudad - Remix;Lil Mess, Aft3rlife;La Ciudad (Remix);2022-10-21;199500;30;[]
Más Gas;Sugarless;Más Gas;2002-01-01;149678;9;['rap metal']
Ruido;Los De Marras;Surrealismo;2014-09-30;244106;33;['ska punk']
Otra Noche;Kaotiko;Mundo Kaotiko;2001;190746;48;['ska punk', 'punk']
María Libre;Kaotiko;Mundo Kaotiko;2001;172640;11;['ska punk', 'punk']
Pekao;Nerve Agent, Plasaporros, Robzzz, CRASH BANDICULO;12 Atentados;2022-01-28;171000;23;['tekno']
Atentado Personal;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;166222;13;['tekno']
Gafas de Ciclista;Nerve Agent;12 Atentados;2022-01-28;161695;16;['tekno']
To Se Va a Descontrolar;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;170887;26;['tekno']
Vandalizar Y Beber;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;102330;30;['tekno']
Pa Follar;Nerve Agent, Rodol VX, KxxL;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;154409;24;['tekno']
LNSANA;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;171013;23;['tekno']
Agustismo;Nerve Agent, Rodol VX, Killmiya;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;149202;15;['tekno']
5 Estrellas;Nerve Agent, Rodol VX, CRASH BANDICULO, Cristina Aspirina;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;162124;15;['tekno']
Agentes Nerviosos - 2023 Mix;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;154291;13;['tekno']
Vandalizar Y Beber - Parkineos Remix;Nerve Agent, Rodol VX, Parkineos;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;167631;19;['techno', 'hardcore techno', 'hardcore', 'tekno']
Los Ricos También Lloran;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;179161;24;['tekno']
Casa Kira;Carolina Durante, Orslok;Casa Kira;2022-09-14;234147;45;['hyperpop']
Mundo Kaotiko;Kaotiko;Mundo Kaotiko;2001;195933;14;['ska punk', 'punk']
Odio Obedecer;Kaotiko;Mundo Kaotiko;2001;180666;20;['ska punk', 'punk']
Albacete Rural Crew;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;161750;23;['tekno']
Odiar Frontal_remix x [Parkineos];VVV [Trippin'you], Parkineos;Turboviolencia_remixes;2022-11-10;217945;25;['tekno', 'post-punk', 'cold wave', 'hardcore techno', 'hardcore', 'darkwave', 'techno']
Gamberros;Nerve Agent, Rodol VX;Gamberros;2021-12-05;140816;17;['tekno']
Overdrived;Rodol VX, KxxL;Overdrived;2023-05-19;144724;10;['tekno']
