name;artist;album;release_date;duration_ms;popularity;genres
Skate;Pimp Flaco;Skate;2023-06-02;186857;19;[]
<3;Kinder Malo, Pimp Flaco;Terremoto Turquesa;2017-06-09;204355;0;[]
Laberinto de Amor;Pimp Flaco, Kinder Malo, WBMS;Laberinto de Amor;2017-11-02;215779;41;[]
Nuse;Pimp Flaco, WBMS;23;2017-11-24;224444;17;[]
Verdades;Kinder Malo, Pimp Flaco;Terremoto Turquesa;2017-06-09;191085;0;[]
Na Na Na Na;Kinder Malo, Pimp Flaco, WBMS;Terremoto Turquesa;2017-06-09;221962;0;[]
El Solitario;Kinder Malo, Pimp Flaco;Terremoto Turquesa;2017-06-09;279327;0;[]
Haters;Pimp Flaco;Haters;2015-01-18;190824;34;[]
XD;Pimp Flaco;XD;2016-01-02;126603;17;[]
Sintigo;Pimp Flaco, Sandro Jeeawock;Sintigo;2016-02-27;268146;22;[]
Porfi;Pimp Flaco, WBMS;Porfi;2016-10-19;196075;26;[]
Chemtrails;Kinder Malo, Pimp Flaco, WBMS;Chemtrails;2016-11-24;194246;0;[]
Ñoco ñoco;Pimp Flaco;Ñoco ñoco;2016-12-20;137586;15;[]
Serán las Gafas;Pimp Flaco;Serán las Gafas;2017-01-02;211382;23;[]
Me Da Igual;Pimp Flaco, WBMS;Me Da Igual;2017-01-20;222145;32;[]
Yoganoma;Pimp Flaco, WBMS;Yoganoma;2017-09-23;241045;20;[]
Husky;Pimp Flaco;Husky;2017-10-16;199000;19;[]
Me Voy;Pimp Flaco, WBMS;23;2017-11-24;205310;25;[]
Nada Más;Pimp Flaco, WBMS;23;2017-11-24;181486;38;[]
Mentira;Kinder Malo, Pimp Flaco, WBMS;Mentira;2018-06-15;291194;30;[]
Tsumugi;Pimp Flaco, Kinder Malo, Blackthoven;Tsumugi;2018-09-24;200970;0;[]
Chulo Flaco;Pimp Flaco, Kinder Malo, Blackthoven;Chulo Flaco;2018-10-26;261224;28;[]
Sad Boy;Kinder Malo;Sad Boy;2015-04-05;205270;0;[]
Baumschulenweg;Kinder Malo;Baumschulenweg;2015-09-30;179983;0;[]
La Ley de Eddie Murphy;Kinder Malo;La Ley de Eddie Murphy;2015-12-13;461225;0;[]
Quiero;Kinder Malo;Quiero;2016-01-05;240300;0;[]
Metrakit;Kinder Malo;Metrakit;2016-01-24;156551;0;[]
De Una;Kinder Malo;De Una;2016-03-12;146259;0;[]
NO ESTOY;Kinder Malo;NO ESTOY;2023-05-18;153901;17;[]
Vol;Kinder Malo;Vol;2016-04-10;133485;0;[]
Bostezo;Sandro Jeeawock, Pimp Flaco;Golden Boy;2017-06-16;174545;22;[]
No Te Panikees;Pimp Flaco;No Te Panikees;2016-08-03;177658;24;[]
Los Buenos Siempre Ganan;Pimp Flaco;Los Buenos Siempre Ganan;2016-04-06;159608;23;[]
Cuál Es el Tabaco Más Caro Que Hay;Kinder Malo;Cuál Es el Tabaco Más Caro Que Hay;2015-06-28;202475;0;[]
Water Boy;Pimp Flaco;Water Boy;2015-09-15;196278;22;[]
Bon Voyage;Kinder Malo;Bon Voyage;2016-05-11;167680;0;[]
Terremoto Turquesa;Kinder Malo, Pimp Flaco;Terremoto Turquesa;2017-06-09;202370;0;[]
Cabello de Angel;Pimp Flaco;Cabello de Angel;2017-01-02;187689;18;[]
Vente Conmigo;Pimp Flaco;Mmmua;2023-07-14;164285;34;[]
