name;artist;album;release_date;duration_ms;popularity;genres
Levanta la Cara;El Chojin;Levanta la Cara;2018-10-01;180266;32;[]
Bacalao;Kase.O, El Momo;Bacalao;2019-02-22;180000;30;['latin hip hop']
Por Honor;Violadores Del Verso, Mr. Rango;Vicios y Virtudes;2001-11-19;374840;31;['ragga', 'spanish language reggae', 'latin hip hop']
Contra Todos;995, El Chojin;995;2001-10-19;319920;44;['spanish language reggae']
Todo Va a Estar Bien;Don Patricio;La Dura Vida del Joven Rapero;2019-01-27;218181;0;[]
Easy;Luisaker;Easy;2017-05-31;163555;0;[]
Hazme Five;Dirty Porko;Hazme Five;2018-01-31;150720;0;[]
Lucifer;SFDK;Redención (Versión Exclusiva Spotify);2018-03-02;215500;46;[]
Siente el Faya;Kulto Kultibo;La Mazeta;2016-06-10;241346;0;['spanish language reggae']
En venta? ¡No!;Kulto Kultibo;Ahora o Nunca;2013-12-27;211877;0;['spanish language reggae']
Rap;Kaze;No Encajes;2016-11-25;200510;0;[]
Yo Puedo;Putolargo, Legendario;Limonada Planet;2016-05-01;242360;9;[]
En Bucle;Blake;En Bucle;2018-07-24;190902;0;[]
Pura Droga Sin Cortar;Violadores Del Verso;Vivir para Contarlo;2006;374853;51;['latin hip hop']
Dora la Exploradora;BEJO, Dj Pimp;Dora la Exploradora;2019-03-31;183600;0;[]
Choices (Yup);E-40;Sharp on All 4 Corners: Corner 1;2014-12-09;272720;0;['g-funk', 'hyphy', 'west coast hip hop']
Chamber Of Reflection;Mac DeMarco;Salad Days;2014-04-01;231723;1;['indie']
No Me Creo Nada;Endikah, 935;No Me Creo Nada;2019-03-10;207699;0;[]
SERÁ POR ALGO;Endikah, FERNANDOCOSTA, J Dose;SERÁ POR ALGO;2019-04-16;220481;0;[]
Keep Floatin';G. Soldier;Quasar;2016-07-04;106684;17;[]
Demons;Nadal015, Miranda;Demons;2019-01-18;236030;0;[]
Sola;Delaossa, Perea, Carrion GodBle$$, J.Moods;Sola;2018-05-09;242857;0;[]
22;Luisaker;22;2018-03-30;142959;0;[]
Ese cosquilleo;Ayax y Prok, Blasfem, J Dose;Cara y cruz;2018-05-18;206533;0;['rap']
En Lo Más Oscuro;Killah Man, SWIT EME, Garolo, XEFF;En Lo Más Oscuro (feat. XEFF);2019-03-08;288426;0;['reggae', 'spanish language reggae']
Benicàssim;Juancho Marqués, Don Patricio, InnerCut;Benicàssim;2019-08-14;199591;0;[]
光 Luz;Lil Supa;SERIO;2017-02-03;284000;0;['latin hip hop']
Lento;FERNANDOCOSTA, Sceno;Lento;2019-08-23;206982;0;[]
Guerrero psicodélico;Foyone, Kase.O, Sceno;Rico sin denuncia;2017-10-17;340044;0;['latin hip hop']
90 Retro;Santa Salut;90 Retro;2019-06-27;123141;0;['latin hip hop']
Bala Perdida;Adala, Santa Salut;Bala Perdida;2019-06-26;165494;0;['latin hip hop']
