name;artist;album;release_date;duration_ms;popularity;genres
Más Gas;Sugarless;Más Gas;2002-01-01;149678;19;['rap metal']
Animales Hambrientos;Desakato;La Teoría del Fuego;2016-03-09;201649;0;['ska punk']
Cristales Rotos;Sons of Aguirre, Scila;Azul/Rojo;2018-05-04;162181;43;['rap metal']
A la soledad;Desakato;Con el Viento de Cara;2008-01-02;281320;0;['ska punk']
Yoni el Robot;Narco, Space Surimi;Espichufrenia;2017-12-15;277333;0;['rap metal', 'neoperreo', 'moombahton', 'ska punk']
Chispazo;Narco;Dios Te Odia;2014-12-15;261546;0;['rap metal', 'ska punk']
Hablarán las Calles;Boikot, Ciudad Jara, ZOO, Aspencat, Los Chikos del Maiz;Hablarán las Calles;2018-04-24;325187;42;['punk', 'ska', 'ska punk']
Agua de Mayo;Hora Zulu;Me Duele la Boca de Decirlo;2002-06-18;229693;0;['rap metal']
Jarama;Boikot;Jarama;2017-03-24;217595;41;['punk', 'ska', 'ska punk']
Privilegiados;Sons of Aguirre, Scila, Dj Plan B, Guaja D;Azul/Rojo;2018-05-04;220923;33;['rap metal']
Aquellas Cosas Que Solíamos Hacer;Benito Kamelas, Poncho K;Sin Trampa Ni Cartón;2005-05-01;289626;0;['rock urbano']
El 4k Se Llevó a Mi Chica;Lendakaris Muertos;Podrán Cortar la Droga Pero No la Primavera;2017-11-17;137317;40;['punk', 'ska', 'ska punk']
Cuando Salga el Sol;Desakato;Inercia;2012-01-24;200160;0;['ska punk']
Sexo en la Calle;Los De Marras;Precede;2001;240933;0;['ska punk']
Lloraré;Boikot;Lloraré;2018-12-14;204699;38;['punk', 'ska', 'ska punk']
Ruido;Los De Marras;Surrealismo;2014-09-30;244106;0;['ska punk']
Sarri, Sarri;Kortatu;A Frontline Compilation;1983-05-15;245853;45;['punk', 'ska', 'ska punk']
Mierda De Ciudad;Kortatu;Aizkolari;1985-05-01;197480;44;['punk', 'ska', 'ska punk']
El Último Ska de Manolo Rastamán;Kortatu;Kortatu, Cicatriz, Jotakie, Kontuz Hi!;1985-11-05;234066;10;['punk', 'ska', 'ska punk']
Amoeba;Adolescents;Adolescents;1981;186626;51;['punk', 'hardcore punk', 'skate punk']
Dispárame;Calero LDN, Lendakaris Muertos, BOXINBOX;Rozando el cielo;2021-10-01;152000;40;['punk', 'ska', 'ska punk']
Ayer Soñe;Benito Kamelas;Sin Trampa Ni Cartón;2005-05-01;238493;39;[]
E.T.A., Deja Alguna Discoteca;Lendakaris Muertos;Se Habla Español;2006-05-15;78426;37;['punk', 'ska', 'ska punk']
Sin Tiempo para Respirar;Boikot;Lágrimas de Rabia (Edición Exclusiva Spotify);2012-10-01;217106;39;['punk', 'ska', 'ska punk']
