name;artist;album;release_date;duration_ms;popularity;genres
Glue;BICEP;Bicep;2017-09-01;269149;68;[]
Because You Move Me;Tinlicker, Helsloot;Because You Move Me;2017-07-31;196375;72;['chill house', 'melodic house', 'melodic techno', 'house', 'progressive house']
BLUEBERRY YUM YUM;BHZ, Monk, Dead Dawg, Big Pat;HALB:VIER DELUXE;2021-07-16;232844;0;['german hip hop']
Crimewave;Crystal Castles, HEALTH;Crystal Castles;2008-03-16;258453;61;['electroclash', 'new rave', 'noise rock', 'alternative dance', 'witch house', 'industrial']
Overthinker;INZO;Overthinker;2018-07-23;268000;0;['future bass']
Guardian;SpectraSoul;4 Points / Guardian;2009-11-23;357053;17;['liquid funk', 'drum and bass', 'jungle']
Tink Ya Bad - Remix;G Dub, Lindo P;Back in Business / Tink Ya Bad (Remix);2017-09-18;265757;14;['bassline', 'drum and bass', 'jungle']
Time Tripping;DJ Hazard;Time Tripping / Digital Bumble Bees;2013-06-24;317140;29;['bassline', 'drum and bass', 'jungle']
Good Time;Crystal Castles;Crystal Castles;2008-03-16;175520;33;['witch house', 'alternative dance', 'electroclash', 'new rave']
1991;Crystal Castles;Crystal Castles;2008-03-16;113506;36;['witch house', 'alternative dance', 'electroclash', 'new rave']
Vanished;Crystal Castles;Crystal Castles;2008-03-16;242960;66;['witch house', 'alternative dance', 'electroclash', 'new rave']
Stop It;FISHER;Oi Oi;2017-11-10;163790;16;['house', 'tech house', 'techno']
Cola;CamelPhat, Elderbrook;Cola;2017-06-16;223869;66;['melodic house', 'melodic techno', 'house', 'tech house', 'progressive house']
You See;We Are Nuts!;You See;2016-12-19;284160;15;['bassline', 'bass house', 'uk garage']
Sad;UNLOGIX;Sad;2014-12-15;260374;36;['psytrance', 'techno', 'tekno']
Rave;Sam Paganini;Satellite;2014-09-29;405699;15;['techno', 'minimal techno', 'acid techno']
I Think I Like It - Original Mix;Fake Blood;I Think I Like It;2010-02-26;336562;19;['electronica']
Her;Dustycloud;Her;2017-08-29;289933;17;['g-house', 'bass house', 'future house']
Techno;Destructo;Techno;2015-09-21;225306;32;['g-house', 'bass house']
La Espanolita;UNLOGIX;La Espanolita;2016-01-14;270080;0;['psytrance', 'techno', 'tekno']
Ya Kidding;FISHER;Ya Kidding;2017-06-30;238080;1;['house', 'tech house', 'techno']
Riverside 2099;Oliver Heldens, Sidney Samson;Riverside 2099;2018-07-06;234533;43;['house', 'future house']
Losing It;FISHER;Losing It;2018-07-13;248035;68;['house', 'tech house', 'techno']
Take It;Dom Dolla;Take It;2018-07-27;234440;58;['house', 'tech house']
Celestica;Crystal Castles;Crystal Castles (II);2010-01-01;230093;0;['witch house', 'alternative dance', 'electroclash', 'new rave']
Empathy;Crystal Castles;Crystal Castles (II);2010-01-01;251106;0;['witch house', 'alternative dance', 'electroclash', 'new rave']
Vietnam;Crystal Castles;Crystal Castles (II);2010-01-01;308240;0;['witch house', 'alternative dance', 'electroclash', 'new rave']
Circles;Digitalism;I Love You, Dude;2011-06-15;227520;7;['electronic rock', 'electroclash', 'french house', 'new rave']
Big Joint - Original Mix;Mandragora, LIL NINJA;Big Joint;2016-09-27;292058;18;['psytrance', 'trance', 'rave', 'progressive trance', 'tekno']
F O R C E / I M P U L S E;1788-L;S E N T I E N C E;2018-08-24;218666;13;['dubstep']
Anarchy;Delta Heavy, Everyone You Know;Only In Dreams;2019-03-22;218057;0;['drumstep', 'liquid funk', 'dubstep', 'drum and bass']
Spin It;JVST SAY YES;Spin It;2018-09-07;172500;0;['bassline', 'electro house', 'g-house', 'bass house', 'future house']
Cash Money;Malaa;Cash Money;2018-09-13;241951;0;['g-house', 'bass house', 'future house']
In The Zone;Jauz, Example;In The Zone;2018-03-23;195625;0;['bassline', 'dubstep', 'electro house', 'edm', 'bass house', 'future house']
Kung Fu;Dr. Fresch, BIJOU;Gangsta Party EP;2019-01-25;179824;0;['tech house', 'g-house', 'bass house']
Gallina y Cocaina;John Pollõn, Parkineos;Gallina y Cocaina;2021-09-30;202903;0;['techno', 'hardcore techno', 'hardcore', 'tekno']
Pogo;Digitalism;Idealism;2007-05-09;226466;1;['electronic rock', 'electroclash', 'french house', 'new rave']
JPEG;Digitalism;JPEG;2019-12-06;171866;34;['electronic rock', 'electroclash', 'french house', 'new rave']
Illusion;Digitalism;Illusion;2021-11-26;310452;12;['electronic rock', 'electroclash', 'french house', 'new rave']
Zdarlight;Digitalism;Idealism;2007-05-09;340773;0;['electronic rock', 'electroclash', 'french house', 'new rave']
Battlecry;Digitalism;Mirage;2016-05-13;259013;1;['electronic rock', 'electroclash', 'french house', 'new rave']
No Cash;Digitalism;Mirage;2016-05-13;350320;0;['electronic rock', 'electroclash', 'french house', 'new rave']
Arena;Digitalism;Mirage;2016-05-13;180960;0;['electronic rock', 'electroclash', 'french house', 'new rave']
Panic Attack;Echonomist, Jenia Tarsol;Panic Attack;2021-10-15;389500;0;['indie dance', 'melodic house', 'melodic techno']
Let’s Go;Stuck in the Sound;Pursuit;2012-01-30;211453;54;[]
Fractals - Digitalism Remix;QRTR, Digitalism;infina ad nausea: the remixes [international disco pack];2022-01-07;307358;0;['electroclash', 'stutter house', 'new rave', 'electronic rock', 'french house']
Panavision;Digitalism;JPEG_complete;2021-05-21;272573;8;['electronic rock', 'electroclash', 'french house', 'new rave']
Olympia;Digitalism;JPEG_complete;2021-05-21;250906;5;['electronic rock', 'electroclash', 'french house', 'new rave']
In Heat. - Spooki Remix;Spooki, Hentai Xander;In Heat. (Spooki Remix);2021-07-05;332347;0;['funky house', 'hyperpop', 'disco house']
Bangarang (feat. Sirah);Skrillex, Sirah;Bangarang EP;2011-12-27;215253;65;['electronic', 'electro', 'dubstep', 'edm']
Drink Ist Kalt;BHZ, Ion Miles, Big Pat, Longus Mongus;halb:vier;2021-06-18;187542;0;['german hip hop']
Speeddance - Antonio Gram Remix;Reptile Youth, Esben Valløe;Remixed;2013-05-06;448278;0;['electronic rock']
Healing;COMPUTER DATA;Emotional Shift;2018-11-22;375000;43;['lo-fi house']
Papi;DJ Gigola, Kev Koko;Tender Trance;2019-06-14;295258;0;['techno']
The Soul Condor;Curry & Krawall;The Soul Condor (Remixes);2016-05-13;374400;29;[]
Guess Who Just Rolled Back into Town;Does It Offend You, Yeah?;Guess Who Just Rolled Back into Town;2022-05-02;208415;16;['alternative dance', 'electronic rock', 'electroclash', 'new rave']
Wolves - Instrumental;Digitalism;Wolves (Instrumental);2014-05-12;283439;0;['electronic rock', 'electroclash', 'french house', 'new rave']
LOVE WILL GUIDE YOU;Shinichi Osawa, Tommie Sunshine;SO2;2010-06-30;338800;14;['future house', 'bass house', 'j-dance']
One In a Million (Club Version);Data;One In a Million - EP;2009-04-27;338779;11;['french house', 'nu disco']
Couldn't Have Known;!!!;Wallop;2019-08-30;215111;0;['alternative dance', 'electroclash', 'new rave']
engravings;Ethan Bortnick;engravings;2022-06-24;173466;0;[]
Nightshade;Blood Orchid;Nightshade;2019-12-02;152920;31;[]
All Stars;Grafton Primary;Eon;2008-09-13;263960;28;['alternative dance', 'electroclash', 'synthpop', 'new rave']
I DON'T CARE;박혜진 Park Hye Jin;IF U WANT IT;2018-12-13;340660;39;['lo-fi house']
IF U WANT IT;박혜진 Park Hye Jin;IF U WANT IT;2018-12-13;226341;26;['lo-fi house']
Come Check This;FETISH;Come Check This;2020;191904;47;['g-house', 'bass house']
The Perfect Girl;Mareux;The Perfect Girl;2021-12-08;194423;73;['darkwave']
Spaceship;Soto Asa;Spaceship;2022-10-06;188923;23;['neoperreo']
I Took A Pill In Ibiza - Seeb Remix;Mike Posner, Seeb;At Night, Alone.;2016-05-06;197933;61;[]
Fluorescent;Pet Shop Boys;Electric;2013-07-15;374805;0;['synthpop', 'new wave']
Stop Taking My Time;Club 8;Above the City;2013-01-01;170786;5;['jangle pop']
I'm Good (Blue);David Guetta, Bebe Rexha;I'm Good (Blue);2022-08-26;175238;82;['dance', 'edm']
Don't You Worry Child - Radio Edit;Swedish House Mafia, John Martin;Don't You Worry Child;2012-09-14;212862;77;['edm']
On My Knees;RÜFÜS DU SOL;Surrender;2021-10-21;261001;67;[]
People & Machines;Digitalism;People & Machines;2022-10-14;299935;7;['electronic rock', 'electroclash', 'french house', 'new rave']
Double Bass;Gorillaz;Gorillaz;2001-03-26;286933;41;[]
Dreamscape;009 Sound System;009 Sound System;2010;277489;46;[]
You Were Right;RÜFÜS DU SOL;Bloom;2016-01-22;239417;45;[]
Stamina;Vitalic;Rave Age;2012-11-05;222426;40;['electronica', 'electro', 'electroclash', 'french house']
Boxer - Exclusive to This Product;Crookers;From Then Until Now;2012-10-29;245500;23;['italian trap']
1992;No_4mat;1992;2018-11-16;404998;42;['lo-fi house']
Game Over;ALEX, Rachel Mcalpine;SIMULATIONS;2018-09-01;238802;33;['darkwave', 'synthwave']
Alicia - Single Version;M|O|O|N;Alicia;2017-03-07;568652;20;['synthwave', 'vaporwave']
Navy Light - 4am Mix;Labyrinth Ear;Oak;2010-03-08;286305;39;['witch house', 'cold wave', 'darkwave']
Get It Up;Sensity World;Sonido De Valencia 1990-1999;2009-11-09;332733;23;[]
Flying Free - 20th Anniversary - Extended Version;Dj Skudero, Xavier Metralla, Marian Dacal;Flying free (20th Anniversary);2019-11-29;378374;15;[]
Down Under (feat. Colin Hay);Luude, Colin Hay;Down Under (feat. Colin Hay);2021-11-19;158774;59;['drum and bass']
No Fun;Armin van Buuren, The Stickmen Project;Feel Again, Pt. 1;2022-06-10;130412;31;['electronica', 'progressive house', 'trance', 'edm']
Go Crazy;Imanbek, Lil Xan, KDDK;Go Crazy;2021-12-17;160639;28;['slap house', 'cloud rap']
Where I Want 2 B;CID;Where I Want 2 B;2021-08-13;201908;15;['tech house', 'future house']
I See U;Jend;I See U;2021-02-05;154409;28;['stutter house']
Lick It;Kaskade, Skrillex;Fire & Ice;2011-11-08;214402;0;['electronic', 'electro', 'dubstep', 'edm']
Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady];Skrillex, Noisia, josh pan, Dylan Brady;Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady];2021-06-10;167253;53;['electronic', 'electro', 'dubstep', 'hyperpop', 'drumstep', 'bass music', 'breakbeat', 'edm', 'glitch', 'drum and bass', 'jungle']
Summit (feat. Ellie Goulding);Skrillex, Ellie Goulding;Bangarang EP;2011-12-27;373986;53;['electronic', 'electro', 'dubstep', 'edm']
Rumble;Skrillex, Fred again.., Flowdan;Rumble;2023-01-04;146571;56;['electronic', 'electro', 'stutter house', 'dubstep', 'edm', 'house', 'grime', 'drum and bass']
Try It Out (with Alvin Risk) - Neon Mix;Skrillex, Alvin Risk;Recess;2014-03-14;229213;51;['electronic', 'electro', 'dubstep', 'moombahton', 'edm']
Leave Me Like This;Skrillex, Bobby Raps;Leave Me Like This;2023-01-18;188571;41;['electronic', 'electro', 'dubstep', 'edm']
Face My Fears (English Version);Hikaru Utada, Skrillex;Face My Fears;2019-01-18;222013;48;['electro', 'electronic', 'dubstep', 'anime', 'edm', 'j-r&b', 'j-pop']
MANDALORIANO;John Pollõn, Los Jackson 4;MANDALORIANO;2023-02-03;178500;32;[]
Asa Pary;Soto Asa, rjmussic;Remixxxtape;2023-03-10;125035;23;['neoperreo']
Smartphone (Remix);Soto Asa, rjmussic, La Zowi;Remixxxtape;2023-03-10;145560;29;['neoperreo']
Flex (Remix);Soto Asa, rjmussic;Remixxxtape;2023-03-10;160004;15;['neoperreo']
Stupid Sweg;Soto Asa, rjmussic;Remixxxtape;2023-03-10;132923;17;['neoperreo']
El Apagón;Bad Bunny;Un Verano Sin Ti;2022-05-06;201816;65;['reggaeton', 'urbano latino', 'trap latino', 'latin']
Umi - Remix;Parkineos, Rojuu;Bitter Glitter (Remix);2022-01-15;181879;0;['techno', 'hardcore techno', 'hyperpop', 'hardcore', 'tekno']
praise the lord tekkno - Remix;Muppet DJ, SECA Records;praise the lord tekkno (Remix);2023-01-20;327629;0;['turreo', 'nightcore', 'rkt']
SUPERNOVA;SAIKO;SUPERNOVA;2023-04-19;190909;56;[]
Paso de Entrar;Jarfaiter, Parkineos;Paso de Entrar;2022-12-10;228379;39;['techno', 'hardcore techno', 'hardcore', 'tekno']
se que no debo;Orslok;se que no debo;2021-09-24;129453;41;['hyperpop']
Tofu Delivery;Orslok, Rojuu;Tofu Delivery;2021-10-29;184000;44;['hyperpop']
Casa Kira;Carolina Durante, Orslok;Casa Kira;2022-09-14;234147;45;['hyperpop']
Xanadu;Ummet Ozcan;Xanadu;2022-08-11;229926;55;['edm', 'big room']
Marianela (Que Pasa) - Extended Mix;HUGEL, Merk & Kremont, Lirico En La Casa;Marianela (Que Pasa);2022-11-25;247862;31;['dembow', 'tech house', 'afro house', 'latin house']
This Feeling;Noisestorm;This Feeling;2016-07-11;261818;41;['drumstep', 'dubstep']
Synrise - Soulwax Remix;GOOSE, Soulwax;Synrise (10 Year Anniversary Edition);2020-10-22;222270;38;['alternative dance', 'electronic rock', 'electroclash', 'new rave']
Dragostea din tei;O-Zone;DiscO-Zone;2004-02-23;215386;66;['europop', 'eurodance']
FLEXXXXXXXXX;Soto Asa, Marvin Cruz;Flexxxxxxxxx;2019-11-21;144923;23;['neoperreo']
Ascension (feat. Vince Staples) - Nic Fanciulli Remix;Gorillaz, Vince Staples, Nic Fanciulli;Ascension (feat. Vince Staples) [Nic Fanciulli Remix];2017-04-07;369250;25;['house', 'tech house']
