name;artist;album;release_date;duration_ms;popularity;genres
Blinding Lights;The Weeknd;After Hours;2020-03-20;200040;87;[]
In Heat. - Spooki Remix;Spooki, Hentai Xander;In Heat. (Spooki Remix);2021-07-05;332347;0;['disco house', 'hyperpop', 'funky house']
Судно (Борис Рижий);Molchat Doma;Этажи;2018-09-07;141394;71;['darkwave', 'cold wave', 'post-punk', 'sovietwave']
Baby's On Fire;Die Antwoord;Ten$ion;2012-01-31;236840;62;[]
Cenizas;Luisaker, Sara Socas;Cenizas;2020-09-18;169894;24;[]
La Florinata;BEJO;La Florinata;2022-03-03;236009;38;[]
Pogo;Digitalism;Idealism;2007-05-09;226466;4;['alternative dance', 'indietronica', 'electroclash', 'electronic rock', 'new rave', 'french house']
affection;BETWEEN FRIENDS;we just need some time together;2018-04-05;235225;1;[]
pockets - mixtape version;hard life;creature habits mixtape;2018-04-12;233158;27;[]
petty crime;hard life;see you later maybe never (demos);2020-05-29;226851;34;[]
Drink Ist Kalt;BHZ, Ion Miles, Big Pat, Longus Mongus;halb:vier;2021-06-18;187542;0;['german hip hop']
Glue;BICEP;Bicep;2017-09-01;269149;70;[]
Anarchy;Delta Heavy, Everyone You Know;Only In Dreams;2019-03-22;218057;0;['dubstep', 'liquid funk', 'drum and bass', 'drumstep']
Bangarang (feat. Sirah);Skrillex, Sirah;Bangarang EP;2011-12-27;215253;66;['dubstep', 'edm', 'electro', 'electronic']
Heart Blood Beat;Reptile Youth;Reptile Youth;2012-09-24;216894;12;['electronic rock']
Speeddance;Reptile Youth;Reptile Youth;2012-09-24;177373;26;['electronic rock']
The Less I Know The Better;Tame Impala;Currents;2015-07-17;216320;83;['psychedelic pop', 'indie']
Tick Tick Boom;The Hives;The Black and White album;2007-01-01;205386;55;['garage rock']
Away;Reptile Youth;Away;2015-05-04;379471;2;['electronic rock']
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine;Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit];2021-01-15;169153;75;['house']
Healing;COMPUTER DATA;Emotional Shift;2018-11-22;375000;45;['lo-fi house']
Miss Alissa;Eagles Of Death Metal;Peace Love Death Metal;2004-03-23;158600;60;['garage rock', 'stoner rock']
Falangista;Los Toreros Muertos;Los Toreros Muertos;2007-03-27;233933;17;['rock en español', 'latin rock']
Papi;DJ Gigola, Kev Koko;Tender Trance;2019-06-14;295258;0;['eurotrance', 'techno']
Las 12;Soto Asa;Las 12;2022-04-21;220963;38;['neoperreo']
Couldn't Have Known;!!!;Wallop;2019-08-30;215111;0;['electroclash', 'alternative dance', 'new rave']
Moving Men;Myd, Mac DeMarco;Born a Loser;2021-04-30;167093;48;['indie', 'french house']
engravings;Ethan Bortnick;engravings;2022-06-24;173466;0;[]
All Stars;Grafton Primary;Eon;2008-09-13;263960;30;['electroclash', 'synthpop', 'alternative dance', 'new rave']
Retreat;The Rakes;Capture / Release;2005-01-01;178093;25;['garage rock', 'new rave']
The Perfect Girl;Mareux;The Perfect Girl;2021-12-08;194423;76;['darkwave']
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X, Jack Harlow;MONTERO;2021-09-17;212352;71;[]
Don't You Worry Child - Radio Edit;Swedish House Mafia, John Martin;Don't You Worry Child;2012-09-14;212862;79;['edm']
Maps;Maroon 5;V;2014-09-02;189960;82;['pop']
Flying Free - 20th Anniversary - Extended Version;Dj Skudero, Xavier Metralla, Marian Dacal;Flying free (20th Anniversary);2019-11-29;378374;17;[]
Casa Kira;Carolina Durante, Orslok;Casa Kira;2022-09-14;234147;46;['hyperpop']
HAUT LES COEURS;Fauve;HAUT LES COEURS;2013-12-20;268961;38;['variété française', 'chanson', 'french pop', 'spoken word', 'french house']
Fell In Love With a Girl;The White Stripes;White Blood Cells;2001-07-03;110093;67;['garage rock', 'blues rock', 'alternative rock', 'rock']
The Kids Aren't Alright;The Offspring;Americana;1998-11-16;180160;80;['punk', 'skate punk']
HOOLIGANG;Joey Valence & Brae;PUNK TACTICS;2023-09-08;168000;62;[]
Freaks;Surf Curse;Freaks;2021-05-15;147062;83;['indie']
Burn, Baby, Burn;Sea Power;Disco Elysium;2020-06-21;191186;39;[]
Off We Go Into The Wild Pale Yonder;Sea Power;Disco Elysium;2020-06-21;237773;35;[]
California Dreamin' - Single Version;The Mamas & The Papas;If You Can Believe Your Eyes & Ears;1966-03;162373;77;['folk rock']
Walking On Sunshine;Katrina & The Waves;Katrina & The Waves;1985;238733;76;[]
Swiper no robes;El Bugg, El Toca, Benice, Leirosee;Swiper no robes;2023-08-12;145600;42;['flamenco pop', 'flamenco urbano', 'flamenco']
Pesticides - Remix;Moselle, Matt Hip;Pesticides (Remix);2024-05-06;166874;40;[]
