name;artist;album;release_date;duration_ms;popularity;genres
Primera Conjugació;La Fúmiga, Suu;Espremedors;2019-11-05;178586;37;[]
L'Últim Segon;Aspencat;Naixen Primaveres;2011-02-19;229840;36;['ska']
PUNK;Flashy Ice Cream, Sr. Chen;HANGOVER;2022-02-18;219129;8;[]
SECR3T;Julieta, Figa Flawas;SECR3T;2022-11-07;138857;42;[]
Saber Tornar;Adala;Klima;2022-02-22;218000;29;[]
Cap. 2: Havia de Passar;La Fúmiga, The Tyets;Pròxima Parada;2020-11-10;211435;51;[]
Si tu vols;Auxili;Tresors;2018-03-16;235348;29;[]
Nomada;Adala;Blank Fosk;2018-09-25;209000;28;[]
La Il·Lusió És El Finikitu De Les Ganes (Feat. Miki);At Versaris;A Cada Passa;2009-05-15;292880;16;[]
Valentes jugades;Auxili;Guaret;2022-03-30;216857;27;[]
Hui la liem;Auxili;Tresors;2018-03-16;226844;34;[]
Música Naix de la Ràbia (Lo Puto Cat Remix);Aspencat, Lo Puto Cat;Música Naix de la Ràbia (Lo Puto Cat Remix);2021-07-23;264806;6;['ska']
Quan caminàvem;Aspencat;Essència;2013-05-05;234893;39;['ska']
Malafici;Adala;Blank Fosk;2018-09-25;158000;26;[]
Llagrimes de Sang;Flashy Ice Cream, Chill C;Llagrimes de Sang;2019-10-23;141702;0;[]
Carrer de L'Amargura;ZOO;Tempestes Vénen del Sud;2014-11-10;228016;34;[]
Monstres i Gegants;La Fúmiga;Espremedors;2019-11-05;195680;34;[]
4 KISSUS;Figa Flawas;4 KISSUS;2024-01-17;143636;33;[]
CLUB;Julieta, MARIA HEIN;CLUB;2023-02-24;189000;30;[]
Esbarzers (Remix);ZOO, La Gossa Sorda;Esbarzers & Camins;2015-09-23;293541;40;['ska', 'ska punk']
Xuculatina - Remix;Figa Flawas, The Tyets, Julieta;Xuculatina (Remix);2022-08-12;193250;43;[]
Música Naix de la Ràbia;Aspencat;Tot és Ara;2015-09-09;235823;31;['ska']
Naixen Primaveres;Aspencat;Naixen Primaveres;2011-02-19;205866;29;['ska']
Mediterrània;La Fúmiga, El Diluvi, VADEBO;Espremedors;2019-11-05;201786;48;['ska', 'punk rap', 'ska punk']
Superglú;Teuma Thug;Superglú;2021-08-11;186352;20;[]
Quina Calitja;La Gossa Sorda;Saó;2008-04-07;234653;34;['ska', 'ska punk']
Tobogan;ZOO;Llepolies;2021-03-26;293600;49;[]
Camals Mullats;La Gossa Sorda;Saó;2008-04-07;311893;38;['ska', 'ska punk']
Corbelles;ZOO;Tempestes Vénen del Sud;2014-11-10;251750;41;[]
Ventiladors;ZOO;Raval;2017-03-24;214247;43;[]
Camins (Remix);ZOO, Obrint Pas, Oques Grases;Esbarzers & Camins;2015-09-23;266363;32;['ska', 'ska punk']
Estiu;ZOO;Tempestes Vénen del Sud;2014-11-10;215736;44;[]
