name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Blinding Lights;The Weeknd;After Hours;2020-03-20;200040;87.0;[];The Weeknd - Blinding Lights (Official Video);https://www.youtube.com/watch?v=4NRXx6U8ABQ&pp=ygUaQmxpbmRpbmcgTGlnaHRzIFRoZSBXZWVrbmQ%3D;True
In Heat. - Spooki Remix;Spooki, Hentai Xander;In Heat. (Spooki Remix);2021-07-05;332347;0.0;['disco house', 'hyperpop', 'funky house'];Hentai Xander - In Heat. (Spooki Remix);https://www.youtube.com/watch?v=aW3CEoihYCk&pp=ygUrSW4gSGVhdCAtIFNwb29raSBSZW1peCBTcG9va2kgSGVudGFpIFhhbmRlcg%3D%3D;True
Судно (Борис Рижий);Molchat Doma;Этажи;2018-09-07;141394;71.0;['darkwave', 'cold wave', 'post-punk', 'sovietwave'];Molchat Doma - Na Dne;https://www.youtube.com/watch?v=rPS1bTONSsw&pp=ygUQbmFuIE1vbGNoYXQgRG9tYQ%3D%3D;True
Baby's On Fire;Die Antwoord;Ten$ion;2012-01-31;236840;62.0;[];DIE ANTWOORD - BABY'S ON FIRE (OFFICIAL);https://www.youtube.com/watch?v=HcXNPI-IPPM&pp=ygUaQmFieXMgT24gRmlyZSBEaWUgQW50d29vcmQ%3D;True
Cenizas;Luisaker, Sara Socas;Cenizas;2020-09-18;169894;24.0;[];LUISAKER - CENIZAS ft SARA SOCAS;https://www.youtube.com/watch?v=b0fvFQOZGGM&pp=ygUbQ2VuaXphcyBMdWlzYWtlciBTYXJhIFNvY2Fz;True
La Florinata;BEJO;La Florinata;2022-03-03;236009;38.0;[];BEJO - LA FLORINATA;https://www.youtube.com/watch?v=3kjjZugLI4o&pp=ygURTGEgRmxvcmluYXRhIEJFSk8%3D;True
Pogo;Digitalism;Idealism;2007-05-09;226466;4.0;['alternative dance', 'indietronica', 'electroclash', 'electronic rock', 'new rave', 'french house'];Digitalism - Pogo;https://www.youtube.com/watch?v=cZvt23iBVVo&pp=ygUPUG9nbyBEaWdpdGFsaXNt;True
affection;BETWEEN FRIENDS;we just need some time together;2018-04-05;235225;1.0;[];BETWEEN FRIENDS - affection (Official Video);https://www.youtube.com/watch?v=uJoMqYumxmA&pp=ygUZYWZmZWN0aW9uIEJFVFdFRU4gRlJJRU5EUw%3D%3D;True
pockets - mixtape version;hard life;creature habits mixtape;2018-04-12;233158;27.0;[];Hard Life - Pockets;https://www.youtube.com/watch?v=oeFq3Sta6bY&pp=ygUjcG9ja2V0cyAtIG1peHRhcGUgdmVyc2lvbiBoYXJkIGxpZmU%3D;True
petty crime;hard life;see you later maybe never (demos);2020-05-29;226851;34.0;[];hard life - petty crime (Lockdown Version);https://www.youtube.com/watch?v=_ByCKJjP2zk&pp=ygUVcGV0dHkgY3JpbWUgaGFyZCBsaWZl;True
Drink Ist Kalt;BHZ, Ion Miles, Big Pat, Longus Mongus;halb:vier;2021-06-18;187542;0.0;['german hip hop'];BHZ - DRINK IST KALT (Prod. by MotB, Themba, Jaynu Vega & Sami);https://www.youtube.com/watch?v=45OgZnmRnss&pp=ygUyRHJpbmsgSXN0IEthbHQgQkhaIElvbiBNaWxlcyBCaWcgUGF0IExvbmd1cyBNb25ndXM%3D;True
Glue;BICEP;Bicep;2017-09-01;269149;70.0;[];BICEP | GLUE (Official Video);https://www.youtube.com/watch?v=A7ZxRs45tTg&pp=ygUKR2x1ZSBCSUNFUA%3D%3D;True
