name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Moscow Mule;Bad Bunny;Un Verano Sin Ti;2022-05-06;245939;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Moscow Mule (Official Video) | Un Verano Sin Ti;https://www.youtube.com/watch?v=p38WgakuYDo&pp=ygUVTW9zY293IE11bGUgQmFkIEJ1bm55;True
Después de la Playa;Bad Bunny;Un Verano Sin Ti;2022-05-06;230400;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Después de la Playa (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=a5rlgE6dcBY&pp=ygUeRGVzcHXDqXMgZGUgbGEgUGxheWEgQmFkIEJ1bm55;True
Me Porto Bonito;Bad Bunny, Chencho Corleone;Un Verano Sin Ti;2022-05-06;178567;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny (ft. Chencho Corleone) - Me Porto Bonito (Official Video) | Un Verano Sin Ti;https://www.youtube.com/watch?v=saGYMhApaH8&pp=ygUrTWUgUG9ydG8gQm9uaXRvIEJhZCBCdW5ueSwgQ2hlbmNobyBDb3JsZW9uZQ%3D%3D;True
Tití Me Preguntó;Bad Bunny;Un Verano Sin Ti;2022-05-06;243716;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Tití Me Preguntó (Official Video) | Un Verano Sin Ti;https://www.youtube.com/watch?v=Cr8K88UcO0s&pp=ygUcVGl0w60gTWUgUHJlZ3VudMOzIEJhZCBCdW5ueQ%3D%3D;True
Un Ratito;Bad Bunny;Un Verano Sin Ti;2022-05-06;176936;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Un Ratito (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=tGhyQ7KanMU&pp=ygUTVW4gUmF0aXRvIEJhZCBCdW5ueQ%3D%3D;True
Yo No Soy Celoso;Bad Bunny;Un Verano Sin Ti;2022-05-06;230704;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Yo No Soy Celoso (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=kLUeP9E9f5k&pp=ygUaWW8gTm8gU295IENlbG9zbyBCYWQgQnVubnk%3D;True
Tarot;Bad Bunny, JHAYCO;Un Verano Sin Ti;2022-05-06;237894;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny (ft. Jhay Cortez) - Tarot (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=gwJ7YKhmWKg&pp=ygUXVGFyb3QgQmFkIEJ1bm55LCBKSEFZQ08%3D;True
Neverita;Bad Bunny;Un Verano Sin Ti;2022-05-06;173119;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Neverita (Official Video) | Un Verano Sin Ti;https://www.youtube.com/watch?v=ARWg160eaX4&pp=ygUSTmV2ZXJpdGEgQmFkIEJ1bm55;True
La Corriente;Bad Bunny, Tony Dize;Un Verano Sin Ti;2022-05-06;198367;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny (ft. Tony Dize) - La Corriente (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=A95yW-LVnbY&pp=ygUhTGEgQ29ycmllbnRlIEJhZCBCdW5ueSwgVG9ueSBEaXpl;True
Efecto;Bad Bunny;Un Verano Sin Ti;2022-05-06;213061;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Efecto (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=Nk8C9FdCdJQ&pp=ygUQRWZlY3RvIEJhZCBCdW5ueQ%3D%3D;True
Party;Bad Bunny, Rauw Alejandro;Un Verano Sin Ti;2022-05-06;227628;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny (ft. Rauw Alejandro) - Party (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=G9XrXnfJPsk&pp=ygUfUGFydHkgQmFkIEJ1bm55LCBSYXV3IEFsZWphbmRybw%3D%3D;True
Aguacero;Bad Bunny;Un Verano Sin Ti;2022-05-06;210989;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Aguacero (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=iBYndEtOVv4&pp=ygUSQWd1YWNlcm8gQmFkIEJ1bm55;True
Enséñame a Bailar;Bad Bunny;Un Verano Sin Ti;2022-05-06;176000;;['latin', 'reggaeton', 'trap latino', 'urbano latino'];Bad Bunny - Enséñame a Bailar (360° Visualizer) | Un Verano Sin Ti;https://www.youtube.com/watch?v=eopPKANmKyg&pp=ygUdRW5zw6nDsWFtZSBhIEJhaWxhciBCYWQgQnVubnk%3D;True
