name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Primera Conjugació;La Fúmiga, Suu;Espremedors;2019-11-05;178586;37.0;[];La Fúmiga - PRIMERA CONJUGACIÓ (feat. SUU) | VIDEOCLIP | Espremedors (2019);https://www.youtube.com/watch?v=hcc6G0Pzbgw&pp=ygUgUHJpbWVyYSBDb25qdWdhY2lvIExhIEZ1bWlnYSBTdXU%3D;True
L'Últim Segon;Aspencat;Naixen Primaveres;2011-02-19;229840;36.0;['ska'];Aspencat - L'últim Segon;https://www.youtube.com/watch?v=QCYaW8hs-7U&pp=ygUVTFVsdGltIFNlZ29uIEFzcGVuY2F0;True
PUNK;Flashy Ice Cream, Sr. Chen;HANGOVER;2022-02-18;219129;8.0;[];PUNK - FLASHY ICE CREAM & SR.CHEN;https://www.youtube.com/watch?v=zo3agL_pgx0&pp=ygUfUFVOSyBGbGFzaHkgSWNlIENyZWFtLCBTci4gQ2hlbg%3D%3D;True
SECR3T;Julieta, Figa Flawas;SECR3T;2022-11-07;138857;42.0;[];Julieta, Figa Flawas - SECR3T (Audio Oficial);https://www.youtube.com/watch?v=0fmOTi4seGM&pp=ygUaU0VDUjNUIEp1bGlldGEgRmlnYSBGbGF3YXM%3D;True
Saber Tornar;Adala;Klima;2022-02-22;218000;29.0;[];ADALA - SABER TORNAR;https://www.youtube.com/watch?v=mc2cnhzFD3k&pp=ygUSU2FiZXIgVG9ybmFyIEFkYWxh;True
Cap. 2: Havia de Passar;La Fúmiga, The Tyets;Pròxima Parada;2020-11-10;211435;51.0;[];LA FÚMIGA - Cap. 2: HAVIA DE PASSAR feat. The Tyets | VIDEOCLIP | EP Pròxima Parada;https://www.youtube.com/watch?v=TSdKSmEOvOM&pp=ygUpQ2FwIDIgSGF2aWEgZGUgUGFzc2FyIExhIEZ1bWlnYSBUaGUgVHlldHM%3D;True
Si tu vols;Auxili;Tresors;2018-03-16;235348;29.0;[];AUXILI - 02. Si tu vols (Tresors, 2018);https://www.youtube.com/watch?v=VNqUmcse4j8&pp=ygURU2kgdHUgdm9scyBBdXhpbGk%3D;True
Nomada;Adala;Blank Fosk;2018-09-25;209000;28.0;[];Nomada;https://www.youtube.com/watch?v=n9xRCtO-OFE&pp=ygUMTm9tYWRhIEFkYWxh;True
La Il·Lusió És El Finikitu De Les Ganes (Feat. Miki);At Versaris;A Cada Passa;2009-05-15;292880;16.0;[];At versaris La il·lusió és el finikitu de les ganes feat Miki;https://www.youtube.com/watch?v=AIYF4tW8WdE&pp=ygU8TGEgSWxMdXNpbyBFcyBFbCBGaW5pa2l0dSBEZSBMZXMgR2FuZXMgRmVhdCBNaWtpIEF0IFZlcnNhcmlz;True
Valentes jugades;Auxili;Guaret;2022-03-30;216857;27.0;[];AUXILI - Valentes jugades (Guaret, 2022);https://www.youtube.com/watch?v=o79989bYB88&pp=ygUXVmFsZW50ZXMganVnYWRlcyBBdXhpbGk%3D;True
Hui la liem;Auxili;Tresors;2018-03-16;226844;34.0;[];AUXILI - Hui la Liem (videoclip oficial);https://www.youtube.com/watch?v=HRIS4CscTNo&pp=ygUSSHVpIGxhIGxpZW0gQXV4aWxp;True
Música Naix de la Ràbia (Lo Puto Cat Remix);Aspencat, Lo Puto Cat;Música Naix de la Ràbia (Lo Puto Cat Remix);2021-07-23;264806;6.0;['ska'];ASPENCAT - MÚSICA NAIX DE LA RÀBIA (LO PUTO CAT TRALLA MIX);https://www.youtube.com/watch?v=9oAFnG42mxg&pp=ygU-TXVzaWNhIE5haXggZGUgbGEgUmFiaWEgTG8gUHV0byBDYXQgUmVtaXggQXNwZW5jYXQgTG8gUHV0byBDYXQ%3D;True
